,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-07-2008,Adelaide,8.8,15.7,5,1.6,2.6,NW,48,SW,W,13,15,92,67,1017.4,1017.7,0,0,13.5,14.9,1,0.8,0
2,02-07-2008,Adelaide,12.7,15.8,0.8,1.4,7.8,SW,35,SSW,SW,13,15,75,52,1022.4,1022.6,0,0,13.7,15.5,0,0,0
3,03-07-2008,Adelaide,6.2,15.1,0,1.8,2.1,W,20,NNE,SW,2,11,81,56,1027.8,1026.5,0,0,9.3,13.9,0,0,0
4,04-07-2008,Adelaide,5.3,15.9,0,1.4,8,NNE,30,NNE,NE,6,13,71,46,1028.7,1025.6,0,0,10.2,15.3,0,0,0
5,06-07-2008,Adelaide,11.3,15.7,0,0,1.5,NNW,52,NNE,NNW,15,22,62,62,1019.5,1016.2,0,0,13,14.4,0,16.2,1
6,07-07-2008,Adelaide,7.6,11.2,16.2,4.6,1.1,WSW,46,WNW,SW,17,13,83,88,1015.9,1017.9,0,0,9.8,9.3,1,17,1
7,08-07-2008,Adelaide,5.3,13.5,17,0.6,2.1,SW,43,SW,WSW,11,22,73,91,1025.8,1025.9,0,0,10.9,10.8,1,1.8,1
8,09-07-2008,Adelaide,8.4,14.3,1.8,1.6,0.8,NW,41,N,NW,9,19,90,64,1025.8,1022.7,0,0,10.8,13.5,1,9,1
9,10-07-2008,Adelaide,9.5,13.1,9,1.2,7.2,WSW,52,WSW,SW,24,20,54,66,1019.8,1019.6,0,0,10.9,11.2,1,0.2,0
10,13-07-2008,Adelaide,9.4,16.8,0,0,9.1,NNW,54,N,NNW,17,28,67,47,1011.2,1009.5,0,0,11.7,16.5,0,3.8,1
11,14-07-2008,Adelaide,10,15.4,3.8,7,0.5,N,48,W,W,15,19,85,72,1014,1015.4,0,0,13.2,15.2,1,4,1
12,15-07-2008,Adelaide,11.1,14.7,4,2.8,2.3,WSW,43,W,WSW,17,24,91,72,1020.4,1020.1,0,0,12,13,1,0.2,0
13,16-07-2008,Adelaide,6.3,14.1,0.2,1.6,3.8,NNW,39,NNE,N,7,19,74,52,1019.9,1015.3,0,0,10,13.9,0,0.2,0
14,17-07-2008,Adelaide,9.8,14.7,0.2,1.6,3.5,NW,44,N,NW,17,22,58,61,1009.8,1007.4,0,0,10.5,14.7,0,1.4,1
15,20-07-2008,Adelaide,9.9,12,0,0,0.3,N,46,N,ENE,26,11,67,91,1000.7,1000.4,0,0,10,9.6,0,6.8,1
16,21-07-2008,Adelaide,6.5,14.2,6.8,4,3.8,SSE,41,S,S,13,15,69,55,1021.2,1024.7,0,0,11.9,12.8,1,0,0
17,22-07-2008,Adelaide,6,13.8,0,1.2,3.3,SW,20,0,SSW,0,13,70,61,1032.8,1031.1,0,0,9.7,11.8,0,0,0
18,23-07-2008,Adelaide,5.4,14.2,0,1,9.2,ENE,19,ESE,NNW,7,9,49,36,1033.9,1029.8,0,0,10.7,13.7,0,0,0
19,24-07-2008,Adelaide,2.6,14.9,0,1.4,7.2,NNW,28,N,NNW,9,13,58,38,1027.5,1023.4,0,0,8.8,14.5,0,0,0
20,26-07-2008,Adelaide,7.1,13.8,0,0,9.5,SW,35,N,WSW,7,20,90,57,1019.1,1017.3,0,0,8.8,12.6,0,1.6,1
21,27-07-2008,Adelaide,2.8,11.8,1.6,0,8.1,WSW,37,NE,SW,7,15,85,58,1018.1,1016.2,0,0,6.9,11.1,1,0,0
22,28-07-2008,Adelaide,0.7,14,0,4.6,7.3,W,22,N,W,7,13,82,61,1024.1,1022.4,0,0,6.4,12.7,0,0,0
23,29-07-2008,Adelaide,4.9,13,0,0.8,0.1,NNW,56,NE,NNE,17,19,51,45,1017.9,1010.3,0,0,10.5,12.5,0,3.4,1
24,30-07-2008,Adelaide,8.5,16.1,3.4,1.4,7.2,WNW,28,NE,W,11,9,89,44,1013.7,1011.7,0,0,11.5,15.7,1,0.8,0
25,31-07-2008,Adelaide,7.6,19.3,0.8,1.8,5,W,69,NNE,NW,17,20,56,52,1006.8,1005.2,0,0,14.4,18.1,0,1.8,1
