,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-12-2008,Albany,13.3,18.5,0,3.8,8.9,0,0,NNW,SW,4,17,82,63,1017.9,1015.2,7,5,15.2,17.9,0,0,0
2,02-12-2008,Albany,14.7,21,0,5.4,9.1,0,0,NE,ESE,6,17,64,71,1012.8,1009.3,2,6,17.8,19.1,0,0.2,0
3,03-12-2008,Albany,16.5,24,0.2,4.8,10,0,0,ENE,WSW,19,24,36,73,999.8,998.7,7,7,20,21,0,7.8,1
4,04-12-2008,Albany,14.1,20.6,7.8,7,7.2,0,0,N,WSW,13,41,69,81,1006.7,1008.5,5,7,19.8,18,1,0,0
5,05-12-2008,Albany,13,17.8,0,3.6,4.9,0,0,SW,SW,13,19,73,63,1015.3,1016.3,3,5,16,17,0,0,0
6,06-12-2008,Albany,14.8,18.5,0,3.8,8.7,0,0,ESE,ESE,11,20,46,48,1020.1,1017.9,8,3,16.9,17.7,0,0,0
7,07-12-2008,Albany,14,20,0,6,12.8,0,0,ENE,ESE,7,31,62,72,1013.4,1007.9,2,2,18,19.5,0,0,0
8,08-12-2008,Albany,16.3,19.6,0,7,8.4,0,0,SW,WSW,20,31,68,55,1008.2,1008,5,3,18.3,18.7,0,0,0
9,09-12-2008,Albany,10.8,19.4,0,4.4,7.4,0,0,NNW,SSE,6,13,71,66,1010.5,1010.3,2,6,17,17.8,0,14.4,1
10,10-12-2008,Albany,13.6,19.2,14.4,4.4,4.7,0,0,ENE,SE,6,20,84,69,1013.1,1013,8,6,14.9,18.8,1,0.2,0
11,11-12-2008,Albany,14.6,19.7,0.2,2.2,12.1,0,0,ESE,ESE,22,20,71,67,1016.3,1015.1,5,3,18.5,18.9,0,0.2,0
12,12-12-2008,Albany,14.6,21,0.2,6.2,8.7,0,0,SW,SW,17,30,72,64,1018.1,1016.6,8,1,17.7,19.6,0,0.2,0
13,13-12-2008,Albany,16.5,21.3,0.2,5.8,8.9,0,0,W,WSW,4,31,90,82,1020,1019.1,8,6,18,21,0,0,0
14,14-12-2008,Albany,14.6,22.5,0,4.2,13,0,0,NE,N,6,22,72,75,1018.9,1015.6,0,0,19.5,20.8,0,0,0
15,15-12-2008,Albany,17.5,20.6,0,8,2.1,0,0,S,S,24,19,81,77,1012.4,1013.3,8,8,18.5,19.5,0,0.8,0
16,16-12-2008,Albany,14,18.8,0.8,4.2,5.9,0,0,N,S,9,19,87,69,1017.6,1016.9,7,7,14.9,17.7,0,0.2,0
17,17-12-2008,Albany,14.5,19,0.2,4,2.5,0,0,W,SW,6,28,69,64,1018.3,1018.3,7,5,17.2,18,0,0,0
18,18-12-2008,Albany,12,21,0,4.2,13.2,0,0,ENE,SE,6,33,85,60,1019.1,1014.8,2,1,17,20,0,0,0
19,19-12-2008,Albany,15.8,22,0,6.8,13.1,0,0,ESE,SSE,19,19,76,78,1010.6,1007.7,4,3,20.2,21.1,0,0.2,0
20,20-12-2008,Albany,18.9,27.7,0.2,6,11,0,0,WNW,W,9,19,71,53,998.9,997.6,6,6,21.9,24,0,0.6,0
21,21-12-2008,Albany,15.5,18.5,0.6,8.2,3.8,0,0,N,WSW,37,30,87,68,1011.9,1013.1,7,7,16,17.5,0,1.2,1
22,22-12-2008,Albany,10.5,20.8,1.2,3.8,12.6,0,0,NNE,0,4,0,68,0,1016.2,1014.4,1,0,17.5,0,1,0,0
23,23-12-2008,Albany,12,21.2,0,5.4,12.8,0,0,W,WSW,6,43,67,65,1012.5,1010.9,0,1,17.8,20.5,0,0,0
24,24-12-2008,Albany,14,19.6,0,8,12.2,0,0,SE,ESE,7,22,57,63,1016.5,1013.8,2,4,17.5,19,0,0,0
25,25-12-2008,Albany,12.2,21.1,0,6.8,12,0,0,WNW,WSW,9,30,66,56,1014.7,1013.1,1,1,18,20.5,0,0.8,0
26,26-12-2008,Albany,13.4,21,0.8,6.6,13.3,0,0,W,SW,6,30,58,60,1015.7,1013.4,3,1,18,20,0,0,0
27,27-12-2008,Albany,17.5,24.6,0,8.2,9.6,0,0,W,WSW,6,43,77,70,1013.2,1011,7,2,20,22.5,0,2.4,1
28,28-12-2008,Albany,0,20,2.4,7.6,9.5,0,0,S,SE,19,11,69,60,1018.4,1016.7,8,1,17.4,19.8,1,0,0
29,29-12-2008,Albany,12,21.5,0,6.6,13.4,0,0,SSW,S,4,19,77,62,1018.4,1017.3,2,0,17,21.5,0,0,0
30,30-12-2008,Albany,16.5,21,0,7.2,9.6,0,0,ESE,ESE,6,20,76,77,1018.1,1014.4,8,1,18.4,20.5,0,0,0
31,31-12-2008,Albany,16.9,20.5,0,7.2,9.8,0,0,SE,SE,19,22,73,69,1015.2,1014,7,5,18.3,19.2,0,0,0
32,01-01-2009,Albany,16.4,21.4,0,8,9.6,0,0,E,ESE,13,31,64,64,1017.9,1015.6,8,1,19.4,20.8,0,0,0
33,02-01-2009,Albany,0,22.8,0,9.4,10,0,0,ESE,ESE,31,28,79,77,1014.5,1011.1,8,1,19.8,21.8,0,0.4,0
34,03-01-2009,Albany,17.8,21.5,0.4,8,8.5,0,0,SSE,S,19,19,72,71,1017.1,1016.7,7,7,19.2,20.8,0,0,0
35,04-01-2009,Albany,15,24,0,7.2,13.3,0,0,WSW,ESE,2,17,77,53,1020.2,1017.7,2,0,19.5,24,0,0,0
36,05-01-2009,Albany,15,23.5,0,7.4,9.9,0,0,SE,N,7,20,84,73,1018.2,1014.9,1,1,19.6,22.4,0,0,0
37,06-01-2009,Albany,18.9,23,0,7.8,2.9,0,0,S,SSE,4,24,75,83,1018.5,1017.2,7,8,19.8,19.8,0,0,0
38,07-01-2009,Albany,16.5,23,0,5.6,11.7,0,0,ENE,ESE,9,26,56,53,1021,1018.3,7,2,18.8,21,0,0,0
39,08-01-2009,Albany,17.7,22.2,0,9.2,11.6,0,0,E,ESE,20,30,73,76,1020.5,1018.5,7,4,20.2,21.5,0,0,0
40,09-01-2009,Albany,17.9,23.5,0,7.2,12.9,0,0,ESE,ESE,15,26,74,74,1020.1,1017.7,6,2,21.5,22,0,0,0
41,10-01-2009,Albany,15,23.5,0,8,12.4,0,0,NNE,SSW,6,19,72,70,1015.8,1015.1,2,3,20,22.5,0,0,0
42,11-01-2009,Albany,15.5,28.3,0,7.4,13.5,0,0,NNE,ESE,7,26,73,71,1012.4,1006.4,2,1,21.2,24.5,0,0,0
43,12-01-2009,Albany,16.1,25.7,0,8,6.6,0,0,WNW,WSW,6,30,79,75,1005.5,1007.5,1,8,22,21,0,1.2,1
44,13-01-2009,Albany,13.5,20.5,1.2,6,10.7,0,0,WSW,SW,24,22,72,60,1016.4,1016.1,7,3,18,20.1,1,0.8,0
45,14-01-2009,Albany,14.4,22.5,0.8,6.2,11.6,0,0,W,SSW,6,19,68,53,1019.7,1019.5,7,1,18.5,21.8,0,0,0
46,15-01-2009,Albany,17,24.5,0,6.8,12.9,0,0,NNE,ESE,7,30,63,63,1022.5,1018.5,4,1,20.8,23,0,0,0
47,16-01-2009,Albany,18.5,31.7,0,9.8,13.1,0,0,ENE,E,7,26,63,52,1015.5,1009.8,0,0,22.5,29,0,0,0
48,17-01-2009,Albany,19.1,22,0,13.6,7.1,0,0,SSW,S,22,19,74,77,1018.2,1018.2,6,8,20.2,20.7,0,0,0
49,18-01-2009,Albany,18.3,19.6,0,6,0.2,0,0,S,SSE,7,22,70,71,1020.4,1019.3,8,8,19.3,18.6,0,0.2,0
50,19-01-2009,Albany,16.8,20.3,0.2,4.2,6.9,0,0,SSE,S,11,13,57,59,1021,1018.9,8,6,17.2,19.5,0,0,0
51,20-01-2009,Albany,14.8,22,0,6,6.4,0,0,N,WSW,7,31,68,72,1018.8,1016.8,8,5,17.8,21,0,0,0
52,21-01-2009,Albany,16,24.5,0,7.6,12.2,0,0,WSW,WSW,6,39,64,67,1012.9,1009.8,4,7,20,23,0,1.2,1
53,22-01-2009,Albany,17.6,22.7,1.2,8.4,11.2,0,0,WSW,WSW,30,37,74,69,1011.5,1009.9,5,1,19.5,21.8,1,2.8,1
54,23-01-2009,Albany,17.8,20.7,2.8,8,10.6,0,0,WSW,SW,20,30,91,87,1010.9,1012.1,8,5,18.7,20,1,0,0
55,24-01-2009,Albany,15.5,23.1,0,6.8,11.6,0,0,WSW,SW,6,19,68,63,1015.4,1013.8,7,0,18.4,22.4,0,1.4,1
56,25-01-2009,Albany,17.3,23,1.4,7.4,11.2,0,0,NNE,ESE,4,24,89,72,1017.2,1014.5,8,1,18.5,22,1,0,0
57,26-01-2009,Albany,18.5,23,0,8,10.5,0,0,ESE,WSW,9,30,78,82,1007.8,1007.8,8,6,22,22,0,0.8,0
58,27-01-2009,Albany,16.9,21,0.8,6.8,1,0,0,ESE,E,19,20,73,63,1012.9,1011.5,8,8,19.4,20.1,0,0,0
59,28-01-2009,Albany,18,20.5,0,5,0,0,0,SSE,SE,19,19,82,76,1008.6,1006.8,8,8,19.2,19.7,0,5.6,1
60,29-01-2009,Albany,16,21.5,5.6,2.4,5.2,0,0,S,SSW,15,11,70,52,1010.4,1011,7,6,18.2,21.1,1,0,0
61,30-01-2009,Albany,16.5,22.5,0,4.8,0,0,0,E,E,19,26,85,65,1014.2,1013,8,8,18.5,21,0,1,0
62,31-01-2009,Albany,17.5,24.7,1,4.2,12.4,0,0,ENE,ENE,11,39,70,74,1013.9,1011.3,7,6,21.5,23,0,0,0
63,01-02-2009,Albany,20.2,26,0,7.8,10.1,0,0,NE,ESE,6,24,84,74,1014.9,1012.7,8,1,22,24.4,0,0,0
64,02-02-2009,Albany,21,25,0,8,9.7,0,0,ENE,ESE,15,43,84,84,1013.1,1008.7,6,1,23,23.4,0,0,0
65,03-02-2009,Albany,20.2,23,0,8.4,3.6,0,0,WSW,SW,22,19,93,78,1011.2,1011.5,8,7,20.8,22.5,0,0.4,0
