,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-12-2008,AliceSprings,19.6,37.6,0,11.2,9.8,WNW,87,NNE,NE,20,11,17,16,1010.5,1005.8,0,3,30.4,37.2,0,1.2,1
2,02-12-2008,AliceSprings,21,39.1,1.2,9,12.2,NNW,41,NNW,S,24,9,18,13,1009.3,1004.6,2,5,32.5,38.2,1,0,0
3,03-12-2008,AliceSprings,22.9,40.9,0,11.6,12.6,NNW,48,ENE,N,7,24,17,11,1006.3,1003.4,0,3,35,40.4,0,0,0
4,04-12-2008,AliceSprings,24.7,40.5,0,16,7.8,WNW,72,SSW,W,2,22,29,24,1008.7,1006.9,3,6,32.3,36.5,0,0.2,0
5,05-12-2008,AliceSprings,23.4,32.4,0.2,12.2,4.1,SSW,46,S,S,9,17,58,43,1014,1010.7,7,6,26.8,31.1,0,2.6,1
6,06-12-2008,AliceSprings,21.7,25.1,2.6,8.4,0.2,SSE,35,SSW,N,19,11,90,78,1014.3,1011.1,8,7,21.9,22.9,1,4.8,1
7,07-12-2008,AliceSprings,20.9,25.7,4.8,4.6,2.1,N,31,SSW,NNW,11,17,70,77,1011.4,1009.9,7,8,25,24.3,1,0.6,0
8,08-12-2008,AliceSprings,17.7,34.6,0.6,3,12.2,E,26,ENE,NNW,15,9,63,27,1010.9,1005.9,3,1,24.5,33.6,0,0,0
9,09-12-2008,AliceSprings,24.4,39,0,8,11,S,50,N,WNW,28,11,40,20,1006.2,1002.6,3,3,32.5,38,0,0,0
10,10-12-2008,AliceSprings,25.3,38.6,0,11.8,8.7,W,54,NNE,WSW,22,35,38,51,1005.9,1004.4,4,7,32.8,29.6,0,0,0
11,11-12-2008,AliceSprings,25,32.3,0,12,4.2,NW,63,NNW,WSW,26,9,50,73,1005.6,1001.3,7,7,29.5,27.6,0,14.4,1
12,12-12-2008,AliceSprings,20.7,32.2,14.4,3.6,8.4,NW,41,NNW,WSW,13,19,88,37,1005.2,1002.7,6,6,22.5,31,1,0,0
13,13-12-2008,AliceSprings,16.6,26.6,0,9.6,13.3,S,37,S,S,26,24,55,39,1012.9,1009.6,3,1,20.7,25.9,0,0,0
14,14-12-2008,AliceSprings,13.7,26.8,0,9,13.3,SSE,46,SE,SSE,20,19,37,24,1014.1,1010.5,0,0,20.5,26,0,0,0
15,15-12-2008,AliceSprings,13.1,28.5,0,10.4,13.4,ESE,35,ESE,SE,20,13,30,15,1013.7,1009.6,0,0,21.7,27.3,0,0,0
16,16-12-2008,AliceSprings,13.6,31.7,0,10,13.4,ENE,31,E,SW,22,13,21,15,1011.9,1007.9,0,0,24.6,31.2,0,0,0
17,17-12-2008,AliceSprings,15.7,36.3,0,9.8,13.4,W,35,NE,W,9,9,18,11,1009.3,1004.9,0,0,29.2,36,0,0,0
18,18-12-2008,AliceSprings,19.6,36.9,0,10.6,10.4,S,41,SSW,SSW,15,17,21,12,1007.4,1004.9,3,2,31,36.2,0,0,0
19,19-12-2008,AliceSprings,24.5,35.2,0,14.6,9.6,ESE,41,ESE,SE,26,17,32,19,1010.1,1006.6,6,4,27.4,33.5,0,0,0
20,20-12-2008,AliceSprings,19.4,35.2,0,13.4,13,E,41,ESE,ESE,31,13,20,14,1010.9,1007,2,3,26.9,34.4,0,0,0
21,21-12-2008,AliceSprings,19.9,39.3,0,12,12.5,SE,30,E,SW,19,15,11,12,1007.8,1004.1,3,2,30.7,38.6,0,0,0
22,22-12-2008,AliceSprings,21.5,39.9,0,13.2,11.5,E,33,NE,ENE,13,19,16,13,1007.7,1004.9,2,3,33.2,38.2,0,0,0
23,23-12-2008,AliceSprings,21.6,39.4,0,13.8,9.7,ENE,48,NE,ESE,28,20,12,13,1007.9,1005,6,6,34,39,0,0,0
