,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-12-2008,Ballarat,5.8,17.6,3.2,0,0,W,52,W,WNW,26,30,71,37,1008.2,1007.5,6,0,10.4,15.7,1,0.4,0
2,02-12-2008,Ballarat,4.3,19.5,0.4,0,0,WNW,44,WNW,WNW,20,24,66,47,1009.3,1007.3,6,8,12.5,17.6,0,0.6,0
3,03-12-2008,Ballarat,9.5,18.8,0.6,0,0,W,43,WSW,SW,22,20,82,42,1009.5,1011.5,4,8,11.2,16.5,0,0.2,0
4,04-12-2008,Ballarat,6.7,21.8,0.2,0,0,NNE,39,ENE,N,9,22,60,33,1016.2,1012.6,4,0,14.4,20.6,0,1.2,1
5,05-12-2008,Ballarat,13.3,25.6,1.2,0,0,NW,61,NNW,NW,30,39,74,40,1006.6,1005.5,6,1,18.3,24.3,1,0,0
6,06-12-2008,Ballarat,9.6,23,0,0,0,WNW,61,WNW,WNW,15,39,76,42,1009.6,1005.7,6,6,13.8,20.8,0,0,0
7,07-12-2008,Ballarat,4.6,16.4,0,0,0,SW,39,SW,SW,20,24,71,42,1012.3,1012.1,4,4,9.6,15.6,0,0.2,0
8,08-12-2008,Ballarat,2.9,23.1,0.2,0,0,NW,43,SSE,WSW,17,7,64,30,1014,1010.5,4,0,9.7,20.6,0,0,0
9,09-12-2008,Ballarat,5.3,17.6,0,0,0,S,35,NW,SSE,9,19,55,87,1007.5,1006.4,8,8,13.2,12.4,0,5,1
10,10-12-2008,Ballarat,8.3,18.3,5,0,0,SE,50,SSE,SE,28,22,71,43,1011.8,1010.9,6,0,10.6,18.1,1,0,0
11,11-12-2008,Ballarat,6.9,23.8,0,0,0,SSE,54,SE,SSE,28,26,67,28,1013.8,1011,0,0,12.2,22.9,0,0,0
12,12-12-2008,Ballarat,12.1,19.6,0,0,0,SE,41,NE,E,24,11,47,97,1006.2,1002.2,8,8,18.8,15.3,0,53.6,1
13,13-12-2008,Ballarat,13.1,13.9,53.6,0,0,SW,63,SSW,SW,26,39,99,99,990.5,996.5,8,8,13.5,13,1,11,1
14,14-12-2008,Ballarat,10,16.2,11,0,0,SSW,46,SSW,SW,19,26,99,71,1005.8,1007.5,8,7,11,15,1,1.4,1
15,15-12-2008,Ballarat,8.3,18.7,1.4,0,0,W,37,SW,WNW,17,20,72,50,1012.3,1011.2,8,4,9.2,16.9,1,0,0
16,16-12-2008,Ballarat,7.9,19.1,0,0,0,W,35,W,W,15,24,84,57,1012.5,1011.6,7,0,13.4,17.9,0,1.8,1
17,17-12-2008,Ballarat,10.3,20.1,1.8,0,0,ESE,31,S,WSW,7,7,91,64,1012.3,1008.8,7,8,12.3,18.7,1,0.6,0
18,18-12-2008,Ballarat,11.1,19.2,0.6,0,0,SSW,48,SW,WSW,15,22,86,49,1005.6,1005.1,7,6,13.6,18.8,0,1.4,1
19,19-12-2008,Ballarat,6.3,16.9,1.4,0,0,SSW,52,SSW,SSW,26,26,69,41,1014.1,1014.6,6,1,8.9,16.3,1,0,0
20,20-12-2008,Ballarat,5.5,21.4,0,0,0,SSE,37,SSE,SE,22,20,76,44,1020.4,1018,6,0,11.6,20.6,0,0,0
21,21-12-2008,Ballarat,6.8,26.7,0,0,0,N,46,NNE,N,20,28,44,32,1017.6,1013.8,1,0,19.2,25.2,0,0,0
22,22-12-2008,Ballarat,18.8,32.2,0,0,0,NNW,72,N,NNW,44,41,39,21,1007.6,1004.2,6,2,22.3,30.2,0,0,0
23,23-12-2008,Ballarat,10.5,20.1,0,0,0,SSW,44,SSW,S,26,24,90,52,1013.2,1012.7,8,4,11.2,18,0,0.2,0
24,24-12-2008,Ballarat,7.2,24.8,0.2,0,0,SW,33,SE,WSW,15,17,68,27,1013.2,1011.3,2,0,12.8,24,0,0,0
25,25-12-2008,Ballarat,8.8,25.5,0,0,0,WSW,37,SE,SSW,13,9,61,32,1014.2,1012.3,2,0,15.9,22.7,0,0,0
26,26-12-2008,Ballarat,10.6,28.9,0,0,0,ESE,46,N,WNW,22,11,42,32,1010.3,1008.1,5,8,21.4,26.9,0,0,0
27,27-12-2008,Ballarat,11.3,28,0,0,0,S,43,N,W,13,19,55,43,1006.1,1003.2,4,1,22.6,26.5,0,0,0
