,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-01-2009,BadgerysCreek,13.3,34.2,0,0,0,W,61,NNE,0,11,0,67,0,1005.6,0,0,0,21,0,0,0,0
2,02-01-2009,BadgerysCreek,14.7,26.1,0,0,0,SE,46,SE,SE,7,24,59,54,1012.9,1013.5,0,0,20.7,22.2,0,0,0
3,03-01-2009,BadgerysCreek,13.6,22.3,0,0,0,NNE,30,ESE,NE,6,15,57,51,1021.9,1019.2,0,0,17.9,21.7,0,0,0
4,04-01-2009,BadgerysCreek,17.7,31.2,0,0,0,NE,39,NNE,N,9,15,62,43,1018.7,1013.6,0,0,22,30.6,0,0,0
5,05-01-2009,BadgerysCreek,15.5,38.8,0,0,0,SW,50,NNE,W,7,17,67,19,1013.2,1007.6,0,0,22.7,37.6,0,0,0
6,06-01-2009,BadgerysCreek,14,39.3,0,0,0,ESE,35,N,ENE,6,15,56,13,1011.9,1006.9,0,0,24.2,38,0,0,0
7,07-01-2009,BadgerysCreek,15.3,40.3,0,0,0,W,63,N,WNW,6,30,69,19,1010.1,1004.6,0,0,23.3,39.8,0,0,0
8,08-01-2009,BadgerysCreek,18.9,22.3,0,0,0,SE,31,SSE,SE,11,19,75,70,1012.7,1013.6,0,0,20.5,20.1,0,0.4,0
9,09-01-2009,BadgerysCreek,14.8,22.4,0.4,0,0,E,33,SSE,E,15,19,65,46,1020.6,1018.8,0,0,17.6,21.1,0,0.2,0
10,10-01-2009,BadgerysCreek,11.9,26,0.2,0,0,ENE,37,SSW,ENE,4,13,63,43,1017.2,1013.2,0,0,18,24.2,0,0,0
11,11-01-2009,BadgerysCreek,12.6,30.2,0,0,0,E,41,N,E,7,19,61,40,1014.3,1010.1,0,0,21.6,29,0,4,1
12,12-01-2009,BadgerysCreek,15.3,29.4,4,0,0,ESE,37,SW,ESE,4,22,78,50,1016,1015.8,0,0,21.2,27.7,1,0,0
13,13-01-2009,BadgerysCreek,18.4,32.7,0,0,0,NNE,39,NNE,ENE,7,17,83,40,1019.7,1015.3,0,0,21.5,30.5,0,0,0
14,14-01-2009,BadgerysCreek,15.9,39.9,0,0,0,ENE,50,ENE,NE,6,13,70,21,1014.7,1009.6,0,0,23.9,39.2,0,0,0
15,15-01-2009,BadgerysCreek,18,42.9,0,0,0,SE,50,E,WSW,7,17,43,16,1009.3,1005.5,0,0,29.1,40.7,0,0.4,0
16,16-01-2009,BadgerysCreek,14.6,34.5,0.4,0,0,SE,50,SE,NNE,7,15,50,22,1013,1007.5,0,0,21.4,33.9,0,0,0
17,17-01-2009,BadgerysCreek,15.5,23.7,0,0,0,ESE,33,SSE,E,15,15,53,38,1020.9,1020.1,0,0,17.6,21.8,0,0,0
18,18-01-2009,BadgerysCreek,10.3,28.7,0,0,0,E,37,0,NE,0,9,58,28,1022.1,1018.8,0,0,19.9,27.6,0,0,0
19,19-01-2009,BadgerysCreek,11.3,33.5,0,0,0,NE,35,NNE,NNE,9,19,63,18,1019.4,1013.9,0,0,19.9,30.3,0,0,0
20,20-01-2009,BadgerysCreek,14.6,39.2,0,0,0,ENE,43,W,NNE,4,20,61,20,1014,1008.9,0,0,23.4,37.8,0,0.4,0
21,21-01-2009,BadgerysCreek,20.5,38.4,0.4,0,0,N,41,NNW,WSW,11,11,58,31,1012,1007.1,0,0,27,35,0,19.4,1
22,22-01-2009,BadgerysCreek,19.6,33.7,19.4,0,0,N,56,NNE,N,17,28,69,41,1008.7,1004.8,0,0,25.8,32.4,1,0.2,0
23,23-01-2009,BadgerysCreek,20.3,36.1,0.2,0,0,NE,43,E,ENE,6,24,63,44,1009.4,1006.5,0,0,28.2,33.3,0,0,0
24,24-01-2009,BadgerysCreek,20.8,40.7,0,0,0,W,72,NNE,W,6,31,61,15,1005.2,1003,0,0,29.3,39.6,0,0,0
25,25-01-2009,BadgerysCreek,18.7,28.4,0,0,0,SSW,33,E,NE,7,15,61,39,1020,1017.8,0,0,20.9,27.7,0,0,0
26,26-01-2009,BadgerysCreek,19.7,31,0,0,0,SE,35,SW,E,7,19,65,55,1019.7,1018.5,0,0,22,29.1,0,3.6,1
27,27-01-2009,BadgerysCreek,19.3,28,3.6,0,0,E,30,SW,ENE,7,9,93,71,1021.5,1019.6,0,0,20,26.5,1,0,0
28,28-01-2009,BadgerysCreek,16.3,35.7,0,0,0,NE,35,NE,N,6,15,83,34,1018.7,1014.6,0,0,21.6,34.1,0,0,0
29,29-01-2009,BadgerysCreek,16.1,35.4,0,0,0,SE,41,SSE,E,2,15,75,29,1018.9,1015.2,0,0,23.6,33.6,0,0,0
30,30-01-2009,BadgerysCreek,17.4,34.6,0,0,0,NE,37,E,NE,7,11,68,36,1018.9,1014.3,0,0,24.3,33.2,0,0,0
31,31-01-2009,BadgerysCreek,15.9,36.6,0,0,0,ESE,37,SSE,ENE,6,13,75,32,1017.8,1012.7,0,0,24,36.4,0,0,0
32,01-02-2009,BadgerysCreek,18.3,31.3,0,0,0,E,39,SSE,ENE,15,22,70,49,1016.1,1015.8,0,0,24.9,29.6,0,0,0
33,02-02-2009,BadgerysCreek,19.5,35.1,0,0,0,ESE,41,NE,E,2,13,78,34,1016.7,1010.6,0,0,24.2,34.2,0,0,0
34,03-02-2009,BadgerysCreek,19.5,33.4,0,0,0,ESE,41,SSW,SE,7,26,67,42,1010.9,1009.6,0,0,24.1,29.3,0,0,0
35,04-02-2009,BadgerysCreek,20.6,32.6,0,0,0,E,35,ESE,NNE,2,17,72,46,1011.9,1008.3,0,0,24.2,32,0,0,0
36,05-02-2009,BadgerysCreek,18.9,39.7,0,0,0,ENE,35,0,NE,0,19,75,23,1009.5,1004.5,0,0,25.2,38.6,0,0,0
37,06-02-2009,BadgerysCreek,20.4,40.1,0,0,0,ENE,46,S,ESE,9,26,65,36,1011.2,1006.8,0,0,26.6,37.1,0,0.8,0
38,07-02-2009,BadgerysCreek,19.2,42,0.8,0,0,NE,46,0,NNE,0,30,59,14,1013.6,1009,0,0,26,41.5,0,0,0
39,08-02-2009,BadgerysCreek,17,40,0,0,0,SE,43,WNW,NE,6,22,51,28,1011.1,1006.2,0,0,25.3,38.6,0,0,0
40,09-02-2009,BadgerysCreek,20.6,23.3,0,0,0,S,30,S,SE,17,13,79,78,1012.4,1011.8,0,0,21.1,20.6,0,2,1
41,10-02-2009,BadgerysCreek,16.6,19.4,2,0,0,SSW,46,W,SSE,2,9,92,93,1011.9,1010.5,0,0,17.7,19.3,1,4.6,1
42,11-02-2009,BadgerysCreek,15.5,22.1,4.6,0,0,S,39,SSW,SE,13,11,79,70,1011.8,1012.1,0,0,16.7,19.5,1,4.2,1
43,12-02-2009,BadgerysCreek,14.3,20.3,4.2,0,0,E,37,S,SE,20,17,78,69,1018.2,1019.2,0,0,17,19.3,1,1,0
44,13-02-2009,BadgerysCreek,14.3,21.1,1,0,0,ESE,44,SW,SE,11,26,89,51,1025.7,1024.7,0,0,16,20.4,0,21.2,1
45,14-02-2009,BadgerysCreek,14.6,18.1,21.2,0,0,S,30,SW,SSE,19,15,94,92,1023.6,1019.9,0,0,15,16.5,1,36,1
46,15-02-2009,BadgerysCreek,15,21.9,36,0,0,S,41,SSW,SSE,15,17,91,82,1015.7,1014.6,0,0,17.8,21.9,1,23.4,1
47,16-02-2009,BadgerysCreek,16.2,25,23.4,0,0,SE,48,SE,SSE,19,28,78,56,1018.3,1018.1,0,0,21.3,23.2,1,0.8,0
48,17-02-2009,BadgerysCreek,15.8,22.3,0.8,0,0,ESE,28,SW,SE,15,17,91,61,1017.7,1016,0,0,18.1,21.1,0,9.8,1
49,18-02-2009,BadgerysCreek,17,27.4,9.8,0,0,SW,33,WSW,S,24,15,89,61,1011.1,1008.8,0,0,19.3,24.9,1,0,0
50,19-02-2009,BadgerysCreek,16.6,31.2,0,0,0,SE,31,NNW,NNE,11,19,78,46,1008.2,1004.9,0,0,21.9,30.2,0,0.2,0
51,20-02-2009,BadgerysCreek,17.4,31.3,0.2,0,0,ESE,43,N,E,9,19,76,40,1011.8,1009,0,0,21.8,30.8,0,1,0
52,21-02-2009,BadgerysCreek,20.2,26.7,1,0,0,SE,41,0,SE,0,24,92,77,1013.6,1013.3,0,0,21.5,22,0,0.2,0
53,22-02-2009,BadgerysCreek,17.8,26.1,0.2,0,0,E,28,SSW,E,4,9,80,59,1019,1017.4,0,0,19.9,25.1,0,0,0
54,23-02-2009,BadgerysCreek,17.4,30.3,0,0,0,WSW,57,NE,ENE,11,20,73,52,1017.1,1011.8,0,0,22.7,28.8,0,4.2,1
55,24-02-2009,BadgerysCreek,16.6,31.5,4.2,0,0,E,33,0,ESE,0,24,91,51,1014.7,1012.5,0,0,20,29.5,1,0.2,0
56,25-02-2009,BadgerysCreek,19.5,28.5,0.2,0,0,ESE,35,0,E,0,22,84,59,1016.9,1013.9,0,0,21.1,27.9,0,0,0
57,26-02-2009,BadgerysCreek,16.5,25.7,0,0,0,SE,35,SW,SE,9,11,75,52,1020.7,1018.5,0,0,19.6,24,0,0,0
58,27-02-2009,BadgerysCreek,12.9,25.8,0,0,0,ESE,28,SW,E,11,13,78,46,1018.7,1015.3,0,0,18.7,25.3,0,0,0
59,28-02-2009,BadgerysCreek,12.7,32,0,0,0,ESE,30,0,N,0,17,81,44,1010,1005.9,0,0,17.7,30.8,0,0,0
60,01-03-2009,BadgerysCreek,17.6,28.4,0,0,0,NNE,35,0,NNE,0,17,78,52,1011.1,1010.1,0,0,21.6,27.3,0,0,0
61,02-03-2009,BadgerysCreek,18.1,27.9,0,0,0,E,33,0,N,0,19,85,50,1016.8,1014.6,0,0,20.4,26.9,0,0,0
62,03-03-2009,BadgerysCreek,16.2,27.6,0,0,0,NE,30,0,NE,0,19,91,50,1018.5,1014.7,0,0,19.7,26.3,0,0,0
63,04-03-2009,BadgerysCreek,19.7,24.6,0,0,0,SW,57,0,SSE,0,7,88,48,1008.6,1008.9,0,0,21,22.5,0,0,0
64,05-03-2009,BadgerysCreek,9.4,25.8,0,0,0,SW,43,SW,S,22,17,44,24,1010.1,1008.3,0,0,18.6,24.8,0,0,0
65,06-03-2009,BadgerysCreek,8.6,25.4,0,0,0,E,35,SW,NE,9,9,76,39,1013.8,1010.8,0,0,14.8,24.2,0,0,0
66,07-03-2009,BadgerysCreek,13.1,28.8,0,0,0,SE,30,SW,E,11,13,80,34,1014.6,1011.6,0,0,18.8,27.8,0,0,0
67,08-03-2009,BadgerysCreek,17.4,25.1,0,0,0,SSE,37,SSW,SSE,13,22,80,66,1018.5,1018.8,0,0,20.4,23.7,0,12.4,1
68,09-03-2009,BadgerysCreek,16,24.1,12.4,0,0,ENE,26,SW,NNE,13,6,98,70,1022.7,1020.2,0,0,17,23.5,1,0.8,0
69,10-03-2009,BadgerysCreek,16.9,25.9,0.8,0,0,ENE,35,SSW,ENE,4,22,96,55,1022.2,1020.8,0,0,19.6,25,0,0.2,0
70,11-03-2009,BadgerysCreek,14.4,22.9,0.2,0,0,E,31,S,E,9,11,73,75,1024.2,1023.1,0,0,19.6,21.1,0,4.8,1
71,12-03-2009,BadgerysCreek,14.6,26.1,4.8,0,0,ENE,33,SW,NNE,6,15,99,53,1023.2,1020,0,0,17.9,25.3,1,0,0
72,13-03-2009,BadgerysCreek,16.4,27.2,0,0,0,WNW,24,SW,WSW,7,11,91,66,1018.9,1016,0,0,19.6,25.2,0,0,0
73,14-03-2009,BadgerysCreek,15.1,28.8,0,0,0,NW,70,0,N,0,15,96,62,1015.2,1010.1,0,0,18.8,27.2,0,24.6,1
74,15-03-2009,BadgerysCreek,15.1,30.4,24.6,0,0,WNW,37,0,NNE,0,9,99,49,1010.8,1007.3,0,0,19,29.1,1,0,0
75,16-03-2009,BadgerysCreek,11.9,27,0,0,0,SW,30,SW,SSE,6,6,50,31,1012.2,1007.9,0,0,17.5,26,0,0,0
76,17-03-2009,BadgerysCreek,9.4,25.8,0,0,0,NE,31,0,NNE,0,7,63,32,1013.9,1012,0,0,16.7,25.1,0,0,0
77,18-03-2009,BadgerysCreek,14.5,26.1,0,0,0,N,31,0,E,0,17,71,50,1019.4,1015.7,0,0,19.2,25,0,0,0
78,19-03-2009,BadgerysCreek,11.8,30,0,0,0,N,43,0,ENE,0,9,92,50,1016.7,1013.4,0,0,17.1,28.5,0,0,0
79,20-03-2009,BadgerysCreek,14.7,29.7,0,0,0,SE,31,WSW,E,7,11,90,48,1018.1,1015.8,0,0,18.5,29.1,0,0,0
80,21-03-2009,BadgerysCreek,14.7,26.5,0,0,0,ENE,33,SSW,E,6,22,99,61,1019.4,1016.8,0,0,17.3,25.2,0,0,0
81,22-03-2009,BadgerysCreek,12,28,0,0,0,N,35,NW,N,6,17,98,44,1018.4,1014.7,0,0,17.1,26.3,0,0,0
82,23-03-2009,BadgerysCreek,13.7,29.3,0,0,0,NNE,28,SE,NE,6,17,97,47,1017.3,1014.7,0,0,18.3,28.4,0,0,0
83,24-03-2009,BadgerysCreek,15.6,32.4,0,0,0,N,33,SW,NNE,2,19,97,35,1018.3,1015.1,0,0,19.8,32,0,0,0
84,25-03-2009,BadgerysCreek,15,33.1,0,0,0,SW,80,0,E,0,13,99,45,1019.7,1016.7,0,0,18.2,31.9,0,24.8,1
85,26-03-2009,BadgerysCreek,17,31.3,24.8,0,0,SW,76,0,NE,0,9,97,49,1019.9,1016.4,0,0,20,30,1,3.8,1
86,27-03-2009,BadgerysCreek,18.4,23.4,3.8,0,0,S,31,S,SE,15,15,80,61,1024.5,1023.6,0,0,19.4,22.9,1,0.2,0
87,28-03-2009,BadgerysCreek,12.6,25,0.2,0,0,ENE,26,SSW,ENE,2,9,89,46,1025.7,1022.8,0,0,16.4,24,0,0,0
88,29-03-2009,BadgerysCreek,11.3,26.4,0,0,0,E,31,E,NE,7,11,96,45,1023.9,1021,0,0,15,25.8,0,0,0
89,30-03-2009,BadgerysCreek,15,26.2,0,0,0,SE,39,S,SE,9,20,84,51,1024.5,1022.1,0,0,19.7,23.6,0,3.2,1
90,31-03-2009,BadgerysCreek,17.6,21.4,3.2,0,0,SE,41,SE,SE,19,19,87,87,1022.5,1020.9,0,0,19.5,19.3,1,32,1
