,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-12-2008,Bendigo,9.1,21.7,0,7.4,0,W,44,WNW,WSW,20,20,47,23,1009.1,1007.5,2,5,14,19.4,0,0,0
2,02-12-2008,Bendigo,6.2,23,0,8.8,0,W,48,WNW,WNW,20,26,49,29,1010.4,1007.8,1,5,15.2,21.2,0,0,0
3,03-12-2008,Bendigo,10.8,23.7,0,6.2,0,WSW,44,SW,W,17,24,49,23,1009.4,1010.7,5,3,17.1,21.8,0,0,0
4,04-12-2008,Bendigo,8.2,24.6,0,5.8,0,NNE,41,SE,NNE,17,13,50,22,1017,1012.5,2,8,16.1,23.6,0,0.2,0
5,05-12-2008,Bendigo,15.1,30.3,0.2,5.8,0,NW,54,NW,W,19,31,68,29,1008,1005,7,1,21.3,29.2,0,0.2,0
6,06-12-2008,Bendigo,9.9,27.2,0.2,9.6,0,WNW,54,WNW,NW,9,30,60,29,1010,1005.6,1,4,18,26.2,0,0.2,0
7,07-12-2008,Bendigo,8,22,0.2,4.4,0,SW,43,SSW,SSW,22,15,47,26,1012.4,1010.7,1,1,13.1,20.4,0,0,0
8,08-12-2008,Bendigo,7.8,25.5,0,5.6,0,W,35,S,WSW,11,17,47,17,1014.2,1010.6,0,1,13.9,23.5,0,0,0
9,09-12-2008,Bendigo,9.7,22,0,6.6,0,WSW,39,SSE,WSW,7,17,44,42,1007,1006.2,7,8,16.5,18.9,0,3.2,1
10,10-12-2008,Bendigo,9.8,23.2,3.2,2,0,SE,39,SE,S,24,17,62,30,1010.4,1009.3,1,3,15.3,21.6,1,0.2,0
11,11-12-2008,Bendigo,8.7,28.7,0.2,7.2,0,SSE,43,SSE,ESE,22,13,43,13,1012.8,1009.7,1,2,16.8,26.3,0,0,0
