,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-07-2008,Brisbane,10.3,25.2,0,1.4,9.5,WNW,26,SSW,W,6,15,81,37,1019.6,1014.8,0,1,14.9,24.6,0,0,0
2,02-07-2008,Brisbane,8.1,22.9,0,2,9.8,W,30,W,WNW,15,19,41,30,1018.8,1015,0,0,16.2,22.4,0,0,0
3,03-07-2008,Brisbane,9.7,22.4,0,5.8,9.4,E,22,SW,E,7,15,55,52,1021.4,1019.1,1,4,15.4,21.3,0,0.8,0
4,04-07-2008,Brisbane,11.8,20,0.8,1.8,1.1,SW,24,SW,SSE,9,7,76,53,1023.5,1021.7,7,7,14.1,19.6,0,0,0
5,05-07-2008,Brisbane,12.3,16.7,0,2,0.3,S,37,S,SSW,11,7,81,89,1027.3,1026.2,7,8,16.1,15,0,16.2,1
6,06-07-2008,Brisbane,12.6,21.5,16.2,5.2,6.4,ENE,31,SSW,E,7,17,78,52,1028.5,1025.7,5,2,15.9,20,1,0,0
7,07-07-2008,Brisbane,12.9,21.9,0,2.4,1.6,NE,17,SW,NE,9,9,83,63,1026.9,1023.1,7,7,14.7,20.1,0,24.2,1
8,08-07-2008,Brisbane,14.5,17.4,24.2,2,0.6,WSW,31,SW,NW,7,2,94,73,1024,1019.3,8,6,14.7,17,1,3.8,1
9,09-07-2008,Brisbane,6,16.7,3.8,1,0,W,43,WSW,W,13,19,48,34,1022.6,1020.2,1,1,12.4,16.2,1,0.2,0
10,10-07-2008,Brisbane,10.3,19.7,0.2,4,10,W,39,WSW,WSW,17,17,47,34,1021.8,1017,0,1,13.2,18.8,0,0,0
11,11-07-2008,Brisbane,6.6,19.6,0,4,7.9,W,28,WSW,WSW,11,9,48,38,1021.7,1019.4,7,7,14.2,18.7,0,0,0
12,12-07-2008,Brisbane,7.9,21.1,0,2.2,8.1,ENE,30,SW,E,7,15,60,48,1025.9,1023.4,1,6,12.8,19.3,0,0,0
13,13-07-2008,Brisbane,12,22.8,0,3,2.2,ENE,20,SSW,ENE,6,9,72,69,1026.6,1023.3,7,7,15.3,21.2,0,0,0
14,14-07-2008,Brisbane,13.6,25.7,0,1,4.5,N,19,SSW,NE,4,9,86,65,1025.3,1021,7,1,18.3,23.3,0,0,0
15,15-07-2008,Brisbane,16.7,24.8,0,1.2,5.9,W,31,SSW,NNE,9,9,80,65,1022.2,1018.7,5,6,19.1,23.4,0,5.4,1
16,16-07-2008,Brisbane,16.5,18.9,5.4,2.6,0,SW,19,WSW,WSW,2,4,93,71,1020.1,1017.8,8,8,17.1,18.7,1,2.8,1
17,17-07-2008,Brisbane,12.2,21.5,2.8,0.8,8.7,WSW,17,SW,NE,7,9,80,57,1020.6,1016.1,3,3,15.6,21.2,1,0,0
18,18-07-2008,Brisbane,9.4,25.4,0,1.2,9.6,WNW,37,SW,WNW,6,15,72,34,1017.3,1011.9,2,2,15.2,25,0,0,0
19,19-07-2008,Brisbane,6.8,22.9,0,3.2,9.8,W,33,SW,WNW,2,15,55,25,1018.3,1015.7,0,0,15.4,22.4,0,0,0
20,20-07-2008,Brisbane,7.5,22.9,0,3.4,9,NNE,30,SW,NNE,6,15,60,45,1020.6,1015.4,1,1,13.6,21.3,0,0,0
21,21-07-2008,Brisbane,12.5,22.8,0,2.2,3.3,W,35,N,W,6,15,83,54,1014.9,1013.8,8,7,17.4,18.7,0,0,0
22,22-07-2008,Brisbane,12.1,20.4,0,3.6,7.5,W,33,SW,E,7,15,48,52,1022.1,1021.3,1,8,16.6,18.7,0,0.2,0
23,23-07-2008,Brisbane,12.5,15.7,0.2,4.4,0,SSE,26,SW,S,6,7,73,77,1026.7,1023.1,8,8,12.7,15.2,0,12.6,1
24,24-07-2008,Brisbane,12.4,14.3,12.6,0.6,0,S,28,SSW,0,9,0,92,0,1021,0,8,8,12.9,0,1,22.4,1
25,25-07-2008,Brisbane,12.5,18.9,22.4,0.6,1.9,SW,28,WSW,SW,9,11,86,67,1014.8,1014.1,8,6,13.8,17.9,1,0.4,0
26,26-07-2008,Brisbane,8.3,19.9,0.4,1.4,9.5,WSW,24,SW,WNW,9,11,62,42,1018,1014.1,0,1,14.7,19.4,0,0,0
27,27-07-2008,Brisbane,8,18.2,0,2.8,2.3,SSW,30,SW,W,6,4,64,41,1016.7,1011.7,7,7,12.7,17.1,0,2.4,1
28,28-07-2008,Brisbane,8.2,15.7,2.4,2,5.2,WSW,39,WSW,WSW,11,15,75,49,1010.5,1005.9,7,6,11.5,14.3,1,0,0
29,29-07-2008,Brisbane,8.8,20.3,0,3.2,9.8,WSW,33,WSW,SW,11,9,53,36,1012.3,1010,1,3,13.1,19.3,0,0,0
30,30-07-2008,Brisbane,6.3,20.6,0,3.8,9.5,WNW,22,WSW,WSW,11,6,55,25,1017.5,1014.2,0,0,13.8,20.3,0,0,0
31,31-07-2008,Brisbane,3.7,21.3,0,2.6,9.9,WSW,26,SSE,W,6,11,47,29,1020.5,1016.1,0,0,13.9,20.6,0,0,0
