,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-01-2009,Cobar,17.9,35.2,0,12,12.3,SSW,48,ENE,SW,6,20,20,13,1006.3,1004.4,2,5,26.6,33.4,0,0,0
2,02-01-2009,Cobar,18.4,28.9,0,14.8,13,S,37,SSE,SSE,19,19,30,8,1012.9,1012.1,1,1,20.3,27,0,0,0
3,03-01-2009,Cobar,15.5,34.1,0,12.6,13.3,SE,30,0,N,0,7,0,7,0,1011.6,0,1,0,32.7,0,0,0
4,04-01-2009,Cobar,19.4,37.6,0,10.8,10.6,NNE,46,NNE,NNW,30,15,42,22,1012.3,1009.2,1,6,28.7,34.9,0,0,0
5,05-01-2009,Cobar,21.9,38.4,0,11.4,12.2,WNW,31,WNW,WSW,6,6,37,22,1012.7,1009.1,1,5,29.1,35.6,0,0,0
6,06-01-2009,Cobar,24.2,41,0,11.2,8.4,WNW,35,NW,WNW,17,13,19,15,1010.7,1007.4,1,6,33.6,37.6,0,0,0
7,07-01-2009,Cobar,27.1,36.1,0,13,0,N,43,N,WNW,7,20,26,19,1007.7,1007.4,8,8,30.7,34.3,0,0,0
8,08-01-2009,Cobar,23.3,34,0,9.8,12.6,SSW,41,S,SSE,17,19,33,15,1011.3,1009.9,3,1,25,31.5,0,0,0
9,09-01-2009,Cobar,16.1,34.2,0,14.6,13.2,SE,37,SE,S,15,6,25,9,1013.3,1009.2,1,1,20.7,32.8,0,0,0
10,10-01-2009,Cobar,19,35.5,0,12,12.3,ENE,48,ENE,WSW,30,9,46,28,1008.3,1004,1,5,23.4,33.3,0,0,0
11,11-01-2009,Cobar,19.7,35.5,0,11,12.7,NE,41,NNE,WSW,15,17,61,14,1007.9,1005.8,1,5,24,33.6,0,0,0
12,12-01-2009,Cobar,20.9,37.8,0,12.8,13.2,E,30,SE,ENE,11,7,27,9,1012.6,1010.1,0,1,29.8,36.4,0,0,0
13,13-01-2009,Cobar,23.9,39.1,0,13.8,12.1,ENE,39,NE,N,24,9,40,15,1013.6,1010.4,0,2,29.1,37,0,0,0
14,14-01-2009,Cobar,24.9,41.2,0,14.8,13,SSW,43,N,NNW,17,11,25,15,1012.9,1010.1,1,3,31.5,38.1,0,0,0
15,15-01-2009,Cobar,25.2,40.5,0,16.4,10.3,SW,44,W,SW,13,22,24,15,1012.4,1009,4,6,31.4,37.8,0,0,0
16,16-01-2009,Cobar,21.6,34.2,0,17.4,13.1,SW,44,S,S,17,19,19,8,1014.1,1012.3,0,0,25,32.2,0,0,0
17,17-01-2009,Cobar,18.4,31.8,0,16,12.9,S,33,S,SW,17,15,25,5,1016.3,1013.8,0,1,19.9,30.3,0,0,0
18,18-01-2009,Cobar,17.9,34.2,0,12,11.3,SE,61,NE,SE,22,17,46,19,1016.4,1013.5,1,2,21.6,32.2,0,0,0
19,19-01-2009,Cobar,21.4,37.5,0,14.8,6.9,NNE,43,ENE,NNE,26,9,34,29,1013.1,1009.6,7,6,26.2,34.1,0,4.8,1
20,20-01-2009,Cobar,23.3,39.4,4.8,12,10.9,W,59,N,NW,19,17,54,14,1011.1,1008.5,1,7,27,37,1,0,0
21,21-01-2009,Cobar,25.4,33.5,0,13.6,3.7,N,46,NW,N,9,28,46,52,1012,1009.8,4,7,28.9,29.7,0,0,0
22,22-01-2009,Cobar,21.8,30.7,0,8,5.9,WNW,56,N,N,24,19,71,63,1008.6,1006.2,7,7,24.4,27.3,0,18,1
23,23-01-2009,Cobar,20.3,36,18,8.2,10.5,WSW,94,NNE,NW,13,7,89,50,1008.6,1006.7,7,4,24.7,33.4,1,8.6,1
24,24-01-2009,Cobar,22.1,34.7,8.6,8.6,12.4,NNW,50,SSW,SW,11,15,46,23,1008.6,1008.3,2,6,28.1,33.2,1,0,0
25,25-01-2009,Cobar,19.7,37.3,0,14.2,13.4,SSW,28,SE,ENE,13,6,19,10,1013.1,1011.8,1,1,26.4,35,0,0,0
26,26-01-2009,Cobar,23.8,39.9,0,12.6,13.2,S,31,ENE,E,17,7,50,16,1014.6,1012.1,0,1,28.7,38.7,0,0,0
27,27-01-2009,Cobar,27,38.7,0,14.2,13,ENE,46,ENE,ESE,24,7,45,22,1015.2,1012.6,1,3,29,36.4,0,0,0
28,28-01-2009,Cobar,26.2,38.5,0,14.6,13.3,E,39,NNE,ENE,15,19,37,17,1014.4,1011.5,0,2,29.6,37,0,0,0
29,29-01-2009,Cobar,25,39.5,0,14.6,13.6,ENE,52,NNE,NNE,19,20,31,14,1014.6,1011.2,0,1,29.9,38.4,0,0,0
30,30-01-2009,Cobar,25.1,39.3,0,15.8,13.2,ESE,44,NNE,ESE,20,20,34,18,1013.8,1010.5,0,1,29.9,37.5,0,0,0
31,31-01-2009,Cobar,25.2,38.5,0,16.2,13.1,ENE,44,NNE,NE,24,20,35,18,1015.2,1011.9,1,2,29,36.9,0,0,0
32,01-02-2009,Cobar,24.8,40.8,0,13.4,11.3,SE,30,W,SSE,9,9,34,16,1012.9,1009.8,5,3,30.1,38.9,0,0,0
33,02-02-2009,Cobar,27.6,40.3,0,14.4,10.9,S,57,NNE,NNE,17,9,32,20,1010.4,1007.1,5,2,32,38.5,0,0.6,0
34,03-02-2009,Cobar,23.6,40.4,0.6,11.8,12.2,WSW,54,E,SSW,9,11,42,17,1008.4,1005,1,2,29.9,38.7,0,1.6,1
35,04-02-2009,Cobar,24.1,41.4,1.6,12.6,12.3,ENE,39,NE,WSW,17,7,50,21,1007,1003.5,0,4,28.2,38.8,1,0,0
36,05-02-2009,Cobar,27.2,43.4,0,14.2,12.6,NNW,37,N,N,15,7,33,14,1005.9,1003.3,1,3,32.6,43,0,0,0
