,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-01-2009,CoffsHarbour,16.1,31.4,0,7.4,11.4,NNE,54,N,NNE,7,37,51,58,1005.9,1002.3,1,5,26.5,28.4,0,0,0
2,02-01-2009,CoffsHarbour,22.8,24.7,0,8,0.2,SSW,56,SSW,S,35,15,68,67,1010.9,1011.4,7,7,23.4,24.4,0,4.6,1
3,03-01-2009,CoffsHarbour,20,24.1,4.6,3.4,0.2,SE,35,SE,E,20,19,70,59,1019.3,1018.8,8,7,21.7,23.7,1,0.8,0
4,04-01-2009,CoffsHarbour,14.8,25,0.8,3,12.6,E,24,SSE,ESE,7,17,62,45,1019.5,1017,5,2,22.5,24.8,0,0,0
5,05-01-2009,CoffsHarbour,15.5,27.3,0,6.6,13.1,NE,41,NW,NE,7,30,54,62,1015.7,1012.7,1,6,24.6,26.1,0,0,0
6,06-01-2009,CoffsHarbour,19.8,30.2,0,5.4,13.4,NNE,54,NW,NE,24,39,55,58,1012.9,1011,0,1,27.1,27.3,0,0,0
7,07-01-2009,CoffsHarbour,22.7,29.6,0,8,9.8,NNE,56,NNW,NNE,20,37,60,66,1012.3,1009.7,5,5,26.7,27.1,0,0,0
8,08-01-2009,CoffsHarbour,22.7,29.2,0,6.4,1.9,SSW,44,NW,NNE,9,20,70,71,1009.4,1008.8,7,8,25.8,26.4,0,7.8,1
9,09-01-2009,CoffsHarbour,19.5,21.4,7.8,4.2,0.2,S,56,SSW,SSE,26,28,85,73,1015.7,1015.9,8,8,20,21.1,1,3.2,1
10,10-01-2009,CoffsHarbour,16.9,24.2,3.2,2.6,12,SW,30,SW,SE,20,15,59,47,1015.5,1013.5,2,2,21.2,23.3,1,0,0
11,11-01-2009,CoffsHarbour,13.7,25.5,0,6.2,12.2,E,26,SW,ESE,13,15,55,63,1013.7,1012,2,2,23.2,24.5,0,0,0
12,12-01-2009,CoffsHarbour,17.5,27.4,0,5.6,12,E,31,E,E,11,19,67,63,1014.5,1014.3,5,3,24.8,26,0,0,0
13,13-01-2009,CoffsHarbour,17.7,27,0,5.6,10.8,E,28,SSW,E,15,20,64,62,1019.1,1017.2,3,1,24.2,26.1,0,0,0
14,14-01-2009,CoffsHarbour,16.9,27.4,0,6.6,13.2,N,43,NNW,NNE,13,30,58,49,1017.8,1015.9,3,1,24.9,26.1,0,0,0
15,15-01-2009,CoffsHarbour,19.1,32.2,0,7.6,13.2,NNE,61,NNW,NNE,31,46,50,57,1013.9,1010.4,0,1,25.1,27.6,0,0,0
16,16-01-2009,CoffsHarbour,21,27.5,0,7.8,10.8,SSW,39,SSE,E,6,15,68,74,1011,1008.8,3,5,26.3,26.5,0,6.4,1
17,17-01-2009,CoffsHarbour,19,21.3,6.4,4.8,0.3,S,50,SSW,S,19,30,93,84,1016.6,1017.8,8,8,19.1,19.3,1,7.2,1
18,18-01-2009,CoffsHarbour,14.8,23.1,7.2,1.6,2.8,SW,28,SW,SE,17,9,69,57,1021.2,1020.1,6,7,20.9,21.7,1,0,0
19,19-01-2009,CoffsHarbour,14.3,25.9,0,4,11.2,NNE,44,NNW,NE,7,31,59,55,1019.9,1016.8,5,7,22.3,23.9,0,0,0
20,20-01-2009,CoffsHarbour,20.2,28.5,0,5.4,8,NNE,59,NNW,NNE,17,39,64,60,1016.9,1014,7,5,23.4,26.4,0,0,0
21,21-01-2009,CoffsHarbour,22.2,30.8,0,6.8,3.6,NNE,48,NNW,NNE,17,31,58,61,1014.9,1012,6,7,26.8,26.7,0,0.2,0
22,22-01-2009,CoffsHarbour,22.6,28.2,0.2,3.8,0.7,NNW,48,NNW,NNW,24,20,76,68,1013.2,1010.6,7,8,24.7,26.1,0,0,0
23,23-01-2009,CoffsHarbour,22.2,29.4,0,1.6,9.9,NNE,50,NNW,NNE,17,31,70,71,1011.7,1009.1,5,4,27.3,28.6,0,0,0
24,24-01-2009,CoffsHarbour,23.6,30.6,0,6,11.4,NNE,56,N,NNE,24,35,68,70,1008.6,1006.2,2,4,29.3,28,0,0,0
25,25-01-2009,CoffsHarbour,22.1,25.6,0,7,0,S,41,S,S,19,17,94,76,1014.9,1015.3,8,8,22.3,24.4,0,6,1
26,26-01-2009,CoffsHarbour,20.1,27.1,6,9.2,8,SSE,31,SSW,SE,20,15,87,76,1018.2,1017,7,3,23,26.1,1,3,1
27,27-01-2009,CoffsHarbour,20.8,27.7,3,4.6,10.6,S,30,SW,SSE,13,15,92,72,1018.9,1017.8,6,3,23.2,26.5,1,2,1
28,28-01-2009,CoffsHarbour,20.1,28.2,2,6,11.4,SSW,30,SSW,E,19,15,78,66,1017.7,1017.3,3,3,24.9,26.8,1,0.4,0
29,29-01-2009,CoffsHarbour,19.8,29.1,0.4,5.2,12.5,NE,31,ESE,NE,6,19,74,59,1018.3,1017.6,4,2,25.4,28.1,0,0.6,0
30,30-01-2009,CoffsHarbour,18.2,29,0.6,6.8,9.7,ENE,35,WSW,NE,11,19,87,57,1018.8,1017.1,7,1,22.9,28,0,0,0
31,31-01-2009,CoffsHarbour,20.7,28.7,0,5.8,10.4,ENE,33,NNW,ENE,7,24,69,55,1019.1,1016.9,6,3,25.5,28.1,0,0,0
32,01-02-2009,CoffsHarbour,20,29.6,0,7,12.2,ENE,30,NNE,E,7,19,61,62,1015.9,1015.1,5,5,26.6,27.2,0,2.4,1
33,02-02-2009,CoffsHarbour,21.6,28.3,2.4,6.8,9,SE,26,SW,E,11,15,83,62,1014.9,1012.7,7,6,24.8,26.6,1,0.2,0
34,03-02-2009,CoffsHarbour,19.3,28,0.2,5.2,3.6,NNE,30,NW,NNE,7,20,88,74,1011.8,1009.5,7,6,22.3,25.8,0,1,0
35,04-02-2009,CoffsHarbour,21.2,29.2,1,3.6,10.3,ENE,31,N,ENE,4,20,80,59,1010.8,1009.3,6,1,24.7,28.6,0,0.6,0
36,05-02-2009,CoffsHarbour,20.1,29.1,0.6,5.6,10.9,NE,33,SE,ENE,9,20,81,60,1010.2,1008.7,5,1,24.3,28.5,0,0,0
37,06-02-2009,CoffsHarbour,19.1,29.4,0,6.4,12.6,NE,39,NNW,NE,15,24,62,59,1011.9,1011.4,1,1,26.4,28.4,0,0,0
38,07-02-2009,CoffsHarbour,19.1,29.9,0,7.2,12.5,ENE,31,NNW,NE,9,20,62,55,1015.3,1013.9,1,1,26.6,28.7,0,0,0
39,08-02-2009,CoffsHarbour,17.4,29.2,0,7.2,12.2,ENE,31,WSW,ENE,7,20,64,57,1013.3,1010.2,3,1,25.7,27.3,0,0,0
40,09-02-2009,CoffsHarbour,16.4,28.1,0,7.8,12.4,SE,22,SW,ESE,13,15,68,61,1010.1,1008.8,1,1,24.3,27.8,0,0,0
41,10-02-2009,CoffsHarbour,21,30,0,4.2,6.6,NNE,56,N,NNE,19,39,68,73,1010,1005.8,6,8,26.2,27.9,0,0,0
42,11-02-2009,CoffsHarbour,21.6,27.6,0,6,3.3,S,48,SW,S,24,31,73,66,1006.8,1006.1,8,7,23.6,25.8,0,19.8,1
43,12-02-2009,CoffsHarbour,19.4,0,19.8,6.2,9.3,S,48,SSW,SSE,28,31,67,74,1013.6,1014.5,3,6,22.1,23.6,1,16.6,1
44,13-02-2009,CoffsHarbour,18.8,23.7,16.6,5.8,0.4,ENE,65,WSW,WSW,20,20,88,89,1020.9,1019.5,7,7,19.6,20.1,1,30,1
45,14-02-2009,CoffsHarbour,18.6,22.5,30,3.2,0,E,59,NNW,E,9,24,90,83,1017.8,1012.6,8,8,18.6,20.8,1,38.6,1
46,15-02-2009,CoffsHarbour,18.3,24.8,38.6,3.4,6.2,SW,57,SW,SW,28,31,95,74,1007.2,1006.7,8,7,19.2,23.3,1,63.6,1
47,16-02-2009,CoffsHarbour,19,23.4,63.6,0,0,S,57,S,S,39,33,98,95,1011.3,1011.2,8,8,20.6,21,1,189,1
48,17-02-2009,CoffsHarbour,19.9,27.1,189,0,4.9,E,54,SW,SW,31,30,98,64,1008.2,1007.6,8,7,20.5,26.5,1,58.6,1
49,18-02-2009,CoffsHarbour,20.4,23.8,58.6,0,0,SSW,31,SW,S,15,24,96,84,1010.2,1007.5,8,7,20.9,23.2,1,1.6,1
50,19-02-2009,CoffsHarbour,18.9,26.1,1.6,2,8.6,ESE,43,SSW,ENE,13,13,72,78,1008.5,1006.2,2,6,23.8,24.4,1,4,1
51,20-02-2009,CoffsHarbour,19.5,27.6,4,3.4,6.8,SSW,24,SE,S,9,7,78,85,1010.6,1010,1,6,25.1,25.2,1,0.6,0
52,21-02-2009,CoffsHarbour,19,27.8,0.6,3.4,11.1,SW,41,S,ESE,9,15,75,71,1011.9,1010.6,3,2,24.5,26.6,0,15.8,1
