,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-07-2008,Darwin,20,33.1,0,4.4,11,E,41,ENE,SSE,13,17,81,32,1016,1012.1,1,2,25.4,32.3,0,0,0
2,02-07-2008,Darwin,19.4,32.4,0,6,10.4,ENE,50,SE,E,15,28,81,17,1016.8,1012.4,1,1,24.3,31.9,0,0,0
3,03-07-2008,Darwin,18.2,31.8,0,8,11,E,46,ESE,ENE,22,19,38,24,1017.2,1013,0,1,24.3,31.2,0,0,0
4,04-07-2008,Darwin,17.3,30.7,0,7,10.4,E,44,SE,E,22,13,55,16,1017.3,1013.6,2,6,21.3,29.8,0,0,0
5,05-07-2008,Darwin,15.5,30.8,0,7,10.8,ESE,46,E,E,20,19,37,16,1016.3,1012.6,1,1,22.2,29.6,0,0,0
6,06-07-2008,Darwin,16.2,31.9,0,7.2,10.7,E,41,ESE,SE,11,13,62,18,1015.8,1012.2,0,0,22.8,30.5,0,0,0
7,07-07-2008,Darwin,17,32.7,0,5.2,7.8,E,48,SE,ESE,11,22,54,18,1016.7,1013.1,5,2,23.3,31.5,0,0,0
8,08-07-2008,Darwin,19.6,30.8,0,9.2,10.6,ESE,54,SE,ESE,20,33,36,12,1018.2,1014.6,1,0,22.3,30.2,0,0,0
9,09-07-2008,Darwin,17.3,29.2,0,9.6,10.6,ESE,50,SE,ESE,31,24,26,15,1019.1,1015.2,1,0,20.3,28.6,0,0,0
10,10-07-2008,Darwin,17.1,30.3,0,9.2,11.1,ESE,48,SE,ESE,17,13,33,14,1018.3,1013.2,1,1,19.5,28.8,0,0,0
11,11-07-2008,Darwin,17.7,30.6,0,8,10.9,E,41,ESE,NE,20,11,21,11,1015.7,1011,1,0,22.4,30,0,0,0
12,12-07-2008,Darwin,14.7,30.9,0,7,11,NE,35,E,WSW,13,15,43,40,1014.5,1010.6,0,1,22.2,29,0,0,0
13,13-07-2008,Darwin,18.7,31.3,0,4.8,10.4,WNW,28,SSE,NW,13,22,75,42,1015.8,1012.1,0,1,22.7,29.9,0,0,0
14,14-07-2008,Darwin,18.8,31,0,4.8,8.9,ENE,33,ESE,NNW,7,20,69,56,1015.8,1012.1,5,6,25.3,28.7,0,0,0
15,15-07-2008,Darwin,21.4,33.1,0,4,11,ESE,41,SE,NNW,9,20,64,45,1014.9,1010.5,1,1,26.5,30.2,0,0,0
16,16-07-2008,Darwin,18.7,33.5,0,7.4,11,ESE,41,SSE,ESE,15,22,71,32,1014,1009.7,0,0,25.1,32.3,0,0,0
17,17-07-2008,Darwin,17.2,33.4,0,6.6,11.3,E,43,SE,ENE,15,20,41,15,1013.7,1009.4,0,0,24.8,32.7,0,0,0
18,18-07-2008,Darwin,17.6,32.3,0,7.6,11,N,41,ESE,NNE,13,24,44,41,1013.4,1010.1,0,3,25.5,31.3,0,0,0
