,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,05-03-2009,Dartmoor,0,21.7,0,3,7.8,SW,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0
2,06-03-2009,Dartmoor,8.2,17.6,0.8,3,0,W,26,0,W,0,19,86,68,1018.2,1016.7,0,0,12.7,16.7,0,0.8,0
3,07-03-2009,Dartmoor,10.1,19.9,0.8,1.2,5.8,SSW,41,WNW,SSW,9,24,98,52,1017.8,1018.1,0,0,12.8,18,0,0.2,0
4,08-03-2009,Dartmoor,8.8,20.5,0.2,3.6,7.4,SE,41,SE,ESE,13,26,68,54,1021.9,1020.9,0,0,14.1,19.8,0,0,0
5,09-03-2009,Dartmoor,8,23.9,0,4,11.2,SSE,39,SE,SE,17,22,82,47,1021.7,1019.1,0,0,13,23,0,0,0
6,10-03-2009,Dartmoor,12.9,27.6,0,4.2,4.9,ESE,44,ESE,SE,22,24,86,44,1020.4,1017.8,0,0,16.7,27.2,0,0,0
7,11-03-2009,Dartmoor,14.1,29.7,0,3,4.6,NW,44,ESE,NE,17,20,91,42,1019.7,1016.2,0,0,17,27.8,0,19,1
8,12-03-2009,Dartmoor,15.8,28.1,19,5,10.5,SW,35,0,NW,0,19,90,51,1015.6,1014.1,0,0,18.8,27.9,1,0,0
9,13-03-2009,Dartmoor,14.3,29.4,0,4,8.7,SW,31,S,WNW,7,11,0,43,1015.9,1013.6,0,0,16.5,27.6,0,14.2,1
10,14-03-2009,Dartmoor,14.5,20.1,14.2,6.4,8.1,W,72,W,WSW,17,44,93,81,1008.8,1009.5,0,0,15,12.7,1,9.6,1
11,15-03-2009,Dartmoor,9.3,17.8,9.6,4.6,7.8,SW,54,WNW,WSW,20,33,91,57,1012.3,1012.4,0,0,11,17.2,1,3.8,1
12,16-03-2009,Dartmoor,10.2,18,3.8,3,5.9,SW,41,WSW,SW,17,24,94,72,1014.4,1015.6,0,0,13,16.7,1,0.2,0
13,17-03-2009,Dartmoor,11.1,15.9,0.2,3,0,SSW,31,SSW,SSW,9,17,75,74,1019.9,1019.7,0,0,13.5,15.2,0,0,0
14,18-03-2009,Dartmoor,5.6,24.8,0,1.8,9.5,NNW,33,NE,NW,11,19,91,44,1016.3,1012.6,0,0,10.5,23.6,0,0,0
15,19-03-2009,Dartmoor,8,22.3,0,5.2,10.7,SW,33,ENE,SW,7,15,82,67,1012.3,1012.8,0,0,12.9,21.2,0,0,0
16,20-03-2009,Dartmoor,5.2,23.6,0,3.2,10.6,SSW,28,0,W,0,6,98,50,1016.5,1013.5,0,0,9.7,22.4,0,0,0
17,21-03-2009,Dartmoor,7.9,34.6,0,3.6,7.5,NW,57,0,NNW,0,31,93,22,1010.1,1006.4,0,0,12.2,34.3,0,0.4,0
18,22-03-2009,Dartmoor,11.3,18.5,0.4,4,1.5,SSW,39,S,S,13,22,92,65,1015.3,1016,0,0,14.1,17,0,0,0
19,23-03-2009,Dartmoor,5.1,20.7,0,2.8,10.5,SE,35,0,SSW,0,17,93,56,1018.6,1016.8,0,0,9.5,19.9,0,0,0
20,24-03-2009,Dartmoor,7.1,20.6,0,3.8,0.2,E,24,E,0,7,0,90,58,1017.6,1014.8,0,0,11.3,19.5,0,4.8,1
21,25-03-2009,Dartmoor,10.5,23.1,4.8,3,6.5,SW,30,NNE,WSW,6,13,98,68,1015.9,1015.1,0,0,15.7,22.6,1,0,0
22,26-03-2009,Dartmoor,14,20.4,0,1.8,7.2,SW,46,NW,SW,15,31,95,71,1021,1023.7,0,0,15.9,18.6,0,0.2,0
23,27-03-2009,Dartmoor,3.4,19.8,0.2,3.6,9.4,SW,30,0,SSW,0,13,97,59,1028.2,1026.5,0,0,7.1,18.8,0,0,0
