,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-12-2008,GoldCoast,17,30.4,0,0,0,NNW,31,NNW,NE,17,22,52,61,1013.5,1010.7,0,0,26.2,28.5,0,0,0
2,02-12-2008,GoldCoast,19,29.7,0,0,0,NNE,37,NNW,NNE,19,31,55,70,1013.1,1010.2,0,0,27.8,26.2,0,0,0
3,03-12-2008,GoldCoast,21.3,28.6,0,0,0,NNE,52,N,N,24,31,61,74,1013.4,1009.8,0,0,27.8,24.6,0,0.8,0
4,04-12-2008,GoldCoast,20.9,28.7,0.8,0,0,SE,52,ENE,SE,15,39,65,75,1014.7,1014.5,0,0,27.5,23.6,0,0.2,0
5,05-12-2008,GoldCoast,19.7,29.5,0.2,0,0,NW,43,E,SE,11,11,67,83,1017.5,1015.2,0,0,26,23.8,0,3.6,1
6,06-12-2008,GoldCoast,22.8,34.5,3.6,0,0,NW,48,NW,NW,22,17,52,50,1011.2,1006.7,0,0,29.4,31.9,1,15.4,1
7,07-12-2008,GoldCoast,22.1,29.1,15.4,0,0,SSE,54,NNW,SSE,17,39,82,75,1007.2,1006.2,0,0,26,23.6,1,0.2,0
8,08-12-2008,GoldCoast,20.2,27.7,0.2,0,0,SE,41,S,SE,26,26,64,62,1013.4,1011,0,0,25.1,25.5,0,1.2,1
9,10-12-2008,GoldCoast,0,30.3,0,0,0,NNE,41,N,NNE,19,31,58,70,1011.3,1007.5,0,0,27.3,26.5,0,0,0
10,11-12-2008,GoldCoast,23.4,31,0,0,0,SSE,50,SE,NNE,20,30,70,80,1011.1,1006.7,0,0,26.7,25.5,0,13.2,1
11,12-12-2008,GoldCoast,21.5,27.5,13.2,0,0,S,39,S,S,28,22,99,100,1014.4,1010.9,0,0,21.6,22.3,1,6.2,1
12,13-12-2008,GoldCoast,21.5,32,6.2,0,0,N,41,NNW,N,22,30,63,77,1006.4,1000.7,0,0,27.5,26.5,1,0,0
13,14-12-2008,GoldCoast,23.1,32.9,0,0,0,WNW,61,NW,W,35,33,40,27,1001.2,999.4,0,0,29.9,31.3,0,0,0
14,15-12-2008,GoldCoast,17.7,30.3,0,0,0,SSE,39,W,SSE,22,31,29,48,1006.2,1007,0,0,26.8,25.8,0,0,0
15,16-12-2008,GoldCoast,17.4,29.6,0,0,0,NNE,33,E,NE,11,26,56,53,1014.8,1012.3,0,0,25.5,28.5,0,0,0
16,17-12-2008,GoldCoast,18.5,31,0,0,0,NNE,37,NW,NNE,24,31,52,58,1014.3,1010.9,0,0,27.1,28.9,0,0,0
17,18-12-2008,GoldCoast,21.2,30.1,0,0,0,SSW,56,NW,N,20,33,49,69,1010.6,1005,0,0,27.8,25.7,0,11,1
18,19-12-2008,GoldCoast,20.8,30.7,11,0,0,S,56,NNW,N,28,19,60,71,1006.2,1002.4,0,0,28.3,26,1,0,0
19,20-12-2008,GoldCoast,20.6,26.1,0,0,0,SSE,54,SSE,SSE,37,37,61,58,1013.8,1013.6,0,0,25.4,24.6,0,0,0
20,21-12-2008,GoldCoast,19.3,26.8,0,0,0,SE,54,S,SSE,33,39,51,58,1017.9,1016.3,0,0,24,24,0,0,0
21,22-12-2008,GoldCoast,18.7,27.9,0,0,0,ESE,39,S,SE,24,30,47,54,1018.7,1015.8,0,0,24.1,25.8,0,0,0
22,23-12-2008,GoldCoast,17.4,29.8,0,0,0,NNE,43,NNE,NNE,15,33,51,49,1015.2,1011.6,0,0,26.2,28,0,0,0
23,24-12-2008,GoldCoast,20.7,30.3,0,0,0,NNE,46,NNE,NNE,19,37,57,58,1012.1,1008.1,0,0,27.9,28.4,0,14.2,1
24,25-12-2008,GoldCoast,20.6,28.7,14.2,0,0,NE,31,SE,E,19,11,87,74,1013.1,1011.7,0,0,24.5,26.1,1,6.8,1
25,26-12-2008,GoldCoast,21.5,28.5,6.8,0,0,NNE,26,NE,NNE,17,17,96,73,1014.9,1012.8,0,0,24,26.6,1,0,0
26,27-12-2008,GoldCoast,23.1,29.9,0,0,0,NNE,30,NNE,NNE,17,26,66,63,1014,1010.4,0,0,27.7,27.5,0,20,1
27,28-12-2008,GoldCoast,21.3,28.9,20,0,0,NNE,50,NW,NNE,17,28,84,66,1009.2,1005.9,0,0,23.3,27.4,1,22.8,1
28,29-12-2008,GoldCoast,21.6,30,22.8,0,0,WSW,74,NE,NNE,17,28,78,73,1006.4,1002.7,0,0,26.2,27,1,8.2,1
29,30-12-2008,GoldCoast,19.1,31.5,8.2,0,0,NW,35,NW,NNE,24,26,53,74,1003.8,999.8,0,0,28.7,27,1,0,0
30,31-12-2008,GoldCoast,20.1,30.3,0,0,0,NW,24,NNE,N,11,19,65,72,1005,1003.4,0,0,28.4,28.7,0,0,0
31,01-01-2009,GoldCoast,21.6,31,0,0,0,WNW,50,NNE,NNE,13,22,69,82,1006.9,1004.6,0,0,28.8,26.9,0,5,1
32,02-01-2009,GoldCoast,22.4,28,5,0,0,SE,46,WSW,SE,13,31,73,81,1010,1010,0,0,24.5,24.8,1,4,1
33,03-01-2009,GoldCoast,21.5,25.9,4,0,0,SSE,70,SSE,SE,46,50,81,72,1015.2,1015,0,0,24,23.9,1,2.4,1
34,04-01-2009,GoldCoast,21.9,27.5,2.4,0,0,SE,56,SE,SSE,41,33,54,49,1017.3,1014.9,0,0,25.9,26.3,1,0,0
35,05-01-2009,GoldCoast,21.7,28.8,0,0,0,SE,41,SSE,SE,28,30,64,64,1014.4,1012.4,0,0,27.1,26.9,0,0,0
36,06-01-2009,GoldCoast,22.2,29.7,0,0,0,ESE,30,SE,ESE,22,24,61,59,1013.7,1011.5,0,0,28.5,27.5,0,0,0
37,07-01-2009,GoldCoast,23.8,30.7,0,0,0,E,28,ESE,E,19,17,62,57,1013.1,1010.5,0,0,28.6,29,0,1.4,1
38,08-01-2009,GoldCoast,22.5,27.6,1.4,0,0,N,22,WSW,NNE,11,15,93,75,1010.3,1008.4,0,0,24,27.5,1,0.2,0
39,09-01-2009,GoldCoast,22.1,29.5,0.2,0,0,SSE,74,S,S,43,54,64,55,1011.8,1010.7,0,0,25.3,27.7,0,0,0
40,10-01-2009,GoldCoast,20.5,28.4,0,0,0,S,56,SSE,SSE,46,39,53,53,1012.5,1010.8,0,0,25.9,26.8,0,0.8,0
41,11-01-2009,GoldCoast,20.1,28.9,0.8,0,0,SSE,33,SSE,SE,24,24,60,60,1012.5,1010.9,0,0,25.6,26.9,0,0,0
42,12-01-2009,GoldCoast,20.2,29.3,0,0,0,SE,39,SSE,SE,17,22,59,56,1014.6,1013.5,0,0,27.1,27.6,0,0,0
43,13-01-2009,GoldCoast,23.1,29.3,0,0,0,SE,52,SE,ESE,33,35,61,61,1017.5,1015.9,0,0,27.3,26.4,0,0,0
44,14-01-2009,GoldCoast,21.6,28.5,0,0,0,SE,41,ESE,ESE,26,24,60,51,1017.4,1015.9,0,0,25.1,27.5,0,0,0
45,15-01-2009,GoldCoast,18.7,31,0,0,0,NE,39,NE,NE,9,33,56,54,1016.1,1013,0,0,28.1,29.3,0,0,0
46,16-01-2009,GoldCoast,21.6,32.1,0,0,0,N,50,NNW,NNE,24,35,53,62,1013.1,1009.5,0,0,28.3,29.1,0,0,0
47,17-01-2009,GoldCoast,24.3,28.8,0,0,0,SSE,70,SSE,SSE,41,44,73,74,1012.9,1015,0,0,26.6,23.3,0,0.2,0
48,18-01-2009,GoldCoast,19.5,27.7,0.2,0,0,S,52,SSE,SSE,31,31,56,52,1019.6,1018.4,0,0,25.4,25.3,0,0,0
49,19-01-2009,GoldCoast,18.4,29.2,0,0,0,SSE,31,SSE,E,24,15,50,47,1019.4,1016.9,0,0,26.2,28.4,0,0,0
50,20-01-2009,GoldCoast,19.9,30.9,0,0,0,NE,30,SE,NE,7,20,46,47,1017.6,1015.7,0,0,27.4,29.7,0,0,0
51,21-01-2009,GoldCoast,22.3,31.6,0,0,0,NNE,41,NE,NNE,15,33,62,64,1016.3,1013.6,0,0,28.9,29.7,0,0,0
52,22-01-2009,GoldCoast,24.1,32.6,0,0,0,NNE,35,NNE,NNE,17,28,64,61,1014.5,1010.9,0,0,28.7,31.7,0,48.2,1
53,23-01-2009,GoldCoast,23.9,30.9,48.2,0,0,NNW,39,NNW,NNE,15,28,98,74,1012.7,1009,0,0,24.8,28.9,1,10.8,1
54,24-01-2009,GoldCoast,24.1,31.3,10.8,0,0,NNE,37,NW,NNE,13,28,74,80,1011.1,1007.5,0,0,28.2,28.3,1,0,0
55,25-01-2009,GoldCoast,24.8,30.5,0,0,0,ENE,37,NNE,NE,13,19,79,96,1013.1,1013.5,0,0,28.4,25.3,0,7.8,1
56,26-01-2009,GoldCoast,23.4,30.4,7.8,0,0,SE,35,SE,SE,11,17,84,69,1016.6,1015.4,0,0,26.4,28,1,2,1
57,27-01-2009,GoldCoast,22.3,30.2,2,0,0,S,48,S,SE,20,31,75,58,1017,1015.4,0,0,26.7,28.7,1,0.4,0
58,28-01-2009,GoldCoast,23.5,30.3,0.4,0,0,SE,48,SSE,SE,28,30,60,59,1016.2,1015.7,0,0,28.3,28.9,0,3.4,1
59,29-01-2009,GoldCoast,22.7,28.4,3.4,0,0,E,54,SSE,E,20,20,68,79,1017.4,1016,0,0,27.3,26.9,1,6,1
60,30-01-2009,GoldCoast,21.6,30.1,6,0,0,ESE,57,E,E,24,28,66,69,1017.5,1015.4,0,0,28.2,28,1,0.6,0
61,31-01-2009,GoldCoast,24.2,29.9,0.6,0,0,ESE,41,SE,SSE,24,24,70,65,1017.4,1015.7,0,0,27.4,28.8,0,0.6,0
62,01-02-2009,GoldCoast,22.4,30.4,0.6,0,0,SE,52,SSE,SE,28,33,67,64,1015.1,1012.9,0,0,28.1,28.4,0,0,0
63,02-02-2009,GoldCoast,24.5,29.3,0,0,0,SE,48,SE,SSE,35,33,69,59,1012.7,1010.7,0,0,26.7,28.9,0,3.8,1
64,03-02-2009,GoldCoast,21.7,29.9,3.8,0,0,ESE,35,SSW,ESE,13,19,77,67,1010.9,1008.3,0,0,25.5,28.3,1,0.6,0
65,04-02-2009,GoldCoast,23.9,30.6,0.6,0,0,SSE,44,SE,SE,30,31,64,58,1009.3,1007.7,0,0,28.6,29,0,0,0
66,05-02-2009,GoldCoast,23.3,30.4,0,0,0,SE,39,SSE,SE,26,31,63,62,1009,1007.8,0,0,28.6,28.8,0,0,0
67,06-02-2009,GoldCoast,22.8,30.6,0,0,0,SE,41,SSE,SE,24,31,57,60,1011.6,1011.1,0,0,28.6,28.7,0,0,0
68,07-02-2009,GoldCoast,24.6,30.1,0,0,0,SE,41,SE,SE,28,30,62,59,1014.6,1012.8,0,0,28.5,29,0,0,0
69,08-02-2009,GoldCoast,20.7,30,0,0,0,S,37,SSE,ESE,28,17,58,53,1012.3,1009.5,0,0,27.7,28.5,0,0,0
70,09-02-2009,GoldCoast,20.4,34.1,0,0,0,NW,31,NW,ENE,20,24,57,61,1009.5,1007,0,0,28.4,30.9,0,0,0
71,10-02-2009,GoldCoast,23.7,31.4,0,0,0,NNE,37,N,NNE,13,26,71,68,1011.1,1007.5,0,0,28.2,29,0,0,0
72,11-02-2009,GoldCoast,23.3,29.5,0,0,0,S,54,N,ESE,13,15,61,65,1005.4,1005,0,0,27,29.2,0,3.8,1
73,12-02-2009,GoldCoast,22,29.5,3.8,0,0,SE,56,S,SSE,31,33,68,62,1012.1,1011.8,0,0,24.6,26.8,1,39.4,1
74,13-02-2009,GoldCoast,20.8,24.5,39.4,0,0,ESE,74,SE,SE,39,33,99,92,1017,1015.7,0,0,21.7,21.7,1,39.8,1
75,14-02-2009,GoldCoast,20.7,26.3,39.8,0,0,SSE,70,SE,S,37,33,99,79,1012.4,1006.3,0,0,21.5,24.4,1,21,1
76,15-02-2009,GoldCoast,19.3,29,21,0,0,SSE,37,ESE,E,9,17,68,60,1006.6,1005.3,0,0,25.9,28.1,1,1.4,1
77,16-02-2009,GoldCoast,19.6,30.4,1.4,0,0,SE,52,SSE,SE,11,39,65,70,1009.4,1007.4,0,0,25.9,27.1,1,0,0
78,17-02-2009,GoldCoast,21.3,28.3,0,0,0,ENE,39,ESE,E,9,15,69,83,1009.6,1008,0,0,26.3,25.8,0,5.6,1
79,18-02-2009,GoldCoast,22.4,28.6,5.6,0,0,ENE,39,S,WSW,13,11,93,79,1008,1004.9,0,0,24.5,26,1,1,0
80,19-02-2009,GoldCoast,21.3,30.7,1,0,0,NE,28,ESE,NE,9,20,76,67,1009.3,1006.2,0,0,26.9,29.3,0,4.2,1
81,20-02-2009,GoldCoast,22.6,31.5,4.2,0,0,SSW,41,NW,SSE,2,30,72,68,1010.9,1009.4,0,0,27.4,27.7,1,6.8,1
82,21-02-2009,GoldCoast,21.7,29.7,6.8,0,0,SSE,57,SSW,SE,6,26,78,74,1011.4,1009.6,0,0,24.8,27,1,29.2,1
83,22-02-2009,GoldCoast,21.4,29.3,29.2,0,0,SE,52,SSE,SE,33,31,75,72,1014.6,1013.7,0,0,27.4,26.5,1,1.6,1
84,23-02-2009,GoldCoast,22.3,29.4,1.6,0,0,SE,35,SSE,SE,22,28,70,60,1016.9,1015.4,0,0,27.6,28.5,1,0,0
85,24-02-2009,GoldCoast,20.4,30.6,0,0,0,ENE,30,SSE,ENE,15,19,61,56,1017.2,1015.4,0,0,27.2,29.5,0,0,0
86,25-02-2009,GoldCoast,21.1,30,0,0,0,ENE,24,E,ENE,6,13,62,58,1016.5,1014.1,0,0,27,27.7,0,0,0
87,26-02-2009,GoldCoast,21.3,29.8,0,0,0,SSE,69,S,SSE,22,39,61,59,1015.1,1013.2,0,0,27.9,28.2,0,8.6,1
88,27-02-2009,GoldCoast,20.4,28.7,8.6,0,0,SE,57,S,SSE,24,46,53,60,1014.7,1012.1,0,0,25.1,26.2,1,0,0
89,28-02-2009,GoldCoast,18.9,31.7,0,0,0,NNE,33,NNW,NNE,9,26,55,59,1012.3,1008.9,0,0,25.9,29.7,0,0,0
90,01-03-2009,GoldCoast,21.2,33.6,0,0,0,NNW,33,NW,NNE,20,24,53,58,1010.3,1007.6,0,0,28.7,29.6,0,0,0
91,02-03-2009,GoldCoast,23.9,30.6,0,0,0,SE,33,SSE,SE,17,28,69,74,1014,1012.8,0,0,28.4,27.6,0,0,0
92,03-03-2009,GoldCoast,24.1,29.9,0,0,0,SSE,31,SSE,ESE,22,11,75,69,1016.9,1014.4,0,0,26.6,28.2,0,9.8,1
93,04-03-2009,GoldCoast,22.8,29.7,9.8,0,0,NNE,44,N,NNE,11,35,76,68,1014.1,1009.5,0,0,27,27.7,1,4,1
94,05-03-2009,GoldCoast,20.8,27.9,4,0,0,SSE,37,WNW,ESE,9,19,59,50,1008.6,1007.4,0,0,26.4,26.6,1,0,0
95,06-03-2009,GoldCoast,19.2,30.1,0,0,0,NE,30,SE,NE,11,22,56,49,1013,1010.7,0,0,26,28.9,0,0,0
96,07-03-2009,GoldCoast,20.6,30.3,0,0,0,NNE,28,NNW,NE,9,19,59,54,1014.4,1011.5,0,0,26.7,29,0,0,0
97,08-03-2009,GoldCoast,20.9,29.7,0,0,0,SE,46,ESE,SE,20,31,59,56,1015.1,1013.5,0,0,27.7,28.1,0,0,0
98,09-03-2009,GoldCoast,24.2,28.1,0,0,0,SE,65,SE,SE,43,44,66,69,1016.5,1014,0,0,25.7,26.1,0,3.6,1
99,10-03-2009,GoldCoast,22.2,26.8,3.6,0,0,ESE,72,SSE,ESE,44,39,78,76,1015.3,1014,0,0,25.1,22.7,1,8.4,1
100,11-03-2009,GoldCoast,21.2,26.4,8.4,0,0,SE,76,SSE,SE,44,44,87,72,1017.3,1015.9,0,0,23,25.3,1,2.4,1
101,12-03-2009,GoldCoast,21.7,27.3,2.4,0,0,SE,57,SSE,SE,31,35,77,64,1019.9,1018,0,0,24.2,26.3,1,0.8,0
102,13-03-2009,GoldCoast,21.8,26.9,0.8,0,0,ESE,44,SSE,SSE,13,17,79,69,1018.1,1015.7,0,0,23.5,25,0,1,0
103,14-03-2009,GoldCoast,19.9,28.4,1,0,0,E,28,E,ESE,17,13,66,62,1016.6,1013.1,0,0,25.9,27.2,0,0,0
104,15-03-2009,GoldCoast,19.9,29.8,0,0,0,NE,28,ENE,NE,4,20,61,54,1014.5,1010.1,0,0,27.4,28.7,0,0,0
105,16-03-2009,GoldCoast,20.5,31,0,0,0,SSE,70,NW,NNE,19,30,63,65,1012.1,1007.2,0,0,27.5,29.1,0,21.2,1
106,17-03-2009,GoldCoast,18.7,28,21.2,0,0,ESE,28,NW,E,7,19,65,68,1012,1010.2,0,0,25,27.8,1,0,0
107,18-03-2009,GoldCoast,22.1,28.8,0,0,0,SSE,46,SSE,SSE,31,35,66,61,1016.5,1014.2,0,0,26.5,26.9,0,0,0
108,19-03-2009,GoldCoast,22.3,27.1,0,0,0,SSE,41,S,SE,22,20,72,72,1016.7,1014.4,0,0,25.3,25.9,0,0,0
109,20-03-2009,GoldCoast,21.2,29.1,0,0,0,ESE,50,SSE,SE,28,35,67,68,1015.5,1012.7,0,0,26.8,26.2,0,5.2,1
110,21-03-2009,GoldCoast,20.7,27.6,5.2,0,0,SE,61,S,SSE,30,37,78,60,1014.8,1012.5,0,0,23.5,26.5,1,1,0
111,22-03-2009,GoldCoast,19.7,28,1,0,0,SSE,50,SSE,SE,31,35,62,60,1015,1013,0,0,25.9,26.6,0,0.6,0
112,23-03-2009,GoldCoast,19.8,28.5,0.6,0,0,SE,41,SSE,SE,24,28,63,55,1017,1015.4,0,0,26.1,26.9,0,0,0
113,24-03-2009,GoldCoast,18.7,28,0,0,0,SSE,39,SSE,SSE,28,28,59,53,1019.3,1017.5,0,0,26.1,26.5,0,0,0
114,25-03-2009,GoldCoast,18.6,28.6,0,0,0,SSE,37,SSE,SSE,26,26,55,53,1021.9,1019.8,0,0,26,27,0,0,0
115,26-03-2009,GoldCoast,19.5,28.2,0,0,0,SSE,35,SSE,SE,22,24,59,52,1021.7,1018.8,0,0,26.7,26.7,0,0,0
116,27-03-2009,GoldCoast,18.3,28.4,0,0,0,SSE,69,SSE,SE,13,33,63,61,1019.3,1017.1,0,0,26.1,26.5,0,8.2,1
117,28-03-2009,GoldCoast,20,27.2,8.2,0,0,SSE,65,S,SSE,33,44,71,58,1020.1,1018,0,0,24.6,26.1,1,1.2,1
118,29-03-2009,GoldCoast,19.9,27.3,1.2,0,0,SSE,69,SSE,SSE,33,43,69,60,1018.8,1015.8,0,0,24.9,26.4,1,21,1
119,30-03-2009,GoldCoast,20.2,24.4,21,0,0,SSE,80,SSE,S,44,39,85,91,1013.7,1011.7,0,0,22.4,20.9,1,3,1
120,31-03-2009,GoldCoast,19.7,30.4,3,0,0,WNW,30,WNW,WNW,20,20,64,47,1008.5,1006.5,0,0,24.1,30.1,1,0,0
121,01-04-2009,GoldCoast,19.5,28.1,0,0,0,SE,59,SSE,SE,19,28,73,72,1012.7,1011.4,0,0,25.9,26.2,0,33.4,1
122,02-04-2009,GoldCoast,21.1,24.8,33.4,0,0,SE,81,SE,SSE,56,37,99,100,1016.1,1015.6,0,0,22.2,22.5,1,118.2,1
123,03-04-2009,GoldCoast,21,27.2,118.2,0,0,ENE,50,ESE,E,19,20,90,75,1018.1,1015.3,0,0,24.5,27.1,1,143.8,1
124,04-04-2009,GoldCoast,21.1,27.6,143.8,0,0,SSE,44,SW,ENE,7,13,100,79,1016.8,1013.5,0,0,22.7,25.4,1,4.6,1
125,05-04-2009,GoldCoast,20.3,27.3,4.6,0,0,SE,48,SSE,SE,31,35,74,78,1015.5,1012.5,0,0,25,25.2,1,2,1
126,06-04-2009,GoldCoast,20.4,27.1,2,0,0,SSE,46,S,SSE,24,35,99,75,1016,1013.4,0,0,21.6,25.7,1,16,1
127,07-04-2009,GoldCoast,19.8,25.7,16,0,0,SSE,67,SSE,SSE,37,50,84,64,1020.1,1018.8,0,0,22.1,23.8,1,0.4,0
128,08-04-2009,GoldCoast,19.5,26.1,0.4,0,0,SSE,52,S,SSE,33,39,61,61,1023,1020.6,0,0,23.7,24.4,0,1.8,1
129,09-04-2009,GoldCoast,18.2,25,1.8,0,0,SSE,52,S,SSE,30,30,73,65,1022.7,1020.2,0,0,22,24.6,1,14.4,1
130,10-04-2009,GoldCoast,17.7,25.1,14.4,0,0,SSE,31,SSE,SSE,24,24,83,72,1023.5,1021.5,0,0,21.3,23.8,1,0.8,0
131,11-04-2009,GoldCoast,18.3,26.4,0.8,0,0,SE,37,SSE,SSW,24,7,68,85,1024.4,1022.9,0,0,24.7,22.7,0,4.6,1
132,12-04-2009,GoldCoast,19.6,25.2,4.6,0,0,SSE,28,SSE,SE,17,24,89,83,1023.3,1020.3,0,0,22.8,23.7,1,3,1
133,13-04-2009,GoldCoast,20.3,25.7,3,0,0,E,44,S,ESE,17,17,99,88,1019.9,1016.5,0,0,21.9,23.9,1,42.6,1
