,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-07-2008,Hobart,4.6,12.2,3,3.4,6,WSW,81,NNE,NW,17,24,72,42,988.3,992.3,6,5,6.5,12.1,1,16.2,1
2,02-07-2008,Hobart,5.1,10.8,16.2,3.6,3.2,W,83,NW,SW,24,26,78,60,991.7,1002.5,8,6,6,8.5,1,3,1
3,03-07-2008,Hobart,5.5,12.4,3,2,4.3,SW,100,WNW,SW,37,39,55,53,1008.7,1015.1,4,1,10.1,9.3,1,1,0
4,04-07-2008,Hobart,0.9,10.4,1,0.2,8.3,NNW,28,NW,N,17,9,76,54,1028.9,1028.1,1,1,3.2,9.6,0,0,0
5,05-07-2008,Hobart,0.5,10,0,1.4,8.1,NNW,28,NNW,NW,13,15,79,53,1028.2,1025.4,1,7,2.9,9.7,0,0,0
6,06-07-2008,Hobart,1.3,10,0,1.4,2.7,NNW,41,NNW,N,19,7,77,70,1021.6,1017.8,7,7,4.2,9.1,0,0,0
7,07-07-2008,Hobart,4.1,15.8,0,1,5.3,NNW,39,NNW,WNW,13,4,82,61,1017.2,1015.2,3,5,7.7,13.8,0,8.4,1
8,08-07-2008,Hobart,7.3,14.2,8.4,0.2,3.4,NNW,24,N,NNW,7,13,96,72,1017.6,1017.2,7,2,8.3,14,1,0.4,0
9,09-07-2008,Hobart,5.4,11.4,0.4,0.8,6,NW,35,NW,N,11,13,88,74,1017.8,1012.4,2,7,7.5,10.7,0,0.6,0
10,10-07-2008,Hobart,5.2,12.9,0.6,4.6,5.2,NNW,44,NNW,NW,19,20,68,49,998.7,996.5,7,2,9,10.3,0,2.6,1
11,11-07-2008,Hobart,3.7,10,2.6,0.2,5,SW,52,NW,SW,20,28,66,52,1002.3,1007.4,7,2,7.1,9.5,1,0.2,0
12,12-07-2008,Hobart,6.4,10.9,0.2,1.8,0,NW,43,SW,N,6,9,73,63,1016.5,1014.8,8,7,8.3,10.8,0,0,0
13,13-07-2008,Hobart,6.5,13,0,3,4.4,N,30,NW,NNW,17,11,77,56,1016.2,1016,7,6,7.6,12.2,0,0,0
14,14-07-2008,Hobart,5.1,13.1,0,2.4,7.4,NNW,28,NW,E,13,9,88,64,1020.4,1019.6,5,5,5.8,11.6,0,0.8,0
15,15-07-2008,Hobart,5.7,12.4,0.8,1,3.7,SSE,26,NNW,SSE,11,11,88,69,1023.3,1022.4,7,4,7.1,11.6,0,0.8,0
16,16-07-2008,Hobart,6.1,10.1,0.8,1,0,NNW,17,NNW,0,11,0,88,87,1023.8,1021.5,7,7,7.3,10.1,0,0.2,0
17,17-07-2008,Hobart,4.9,12.6,0.2,3,3.5,NNE,20,0,ENE,0,7,91,66,1015.9,1010,7,7,6.2,11.4,0,0,0
18,18-07-2008,Hobart,3.6,13.9,0,0.2,6,NNW,46,NNE,NW,4,22,85,53,1001.7,999.7,5,3,6,13.2,0,0,0
19,19-07-2008,Hobart,3.9,12.1,0,0.8,7,WNW,41,NE,NNW,11,17,66,50,1005,1005.2,5,4,7.4,10.8,0,0,0
20,20-07-2008,Hobart,1.3,8.2,0,4,1.2,NNW,28,N,NNW,9,7,74,70,1011.4,1008.5,5,7,3.5,7.2,0,3.2,1
21,21-07-2008,Hobart,3.3,8,3.2,0.4,3.4,SW,65,SSW,SSW,30,28,80,74,1000.6,1004.5,7,6,5.1,4.6,1,5.2,1
22,22-07-2008,Hobart,3.3,10.9,5.2,1.6,6.2,WSW,52,N,SW,11,20,59,54,1020.3,1022.2,2,2,7.9,10.6,1,0,0
23,23-07-2008,Hobart,4.6,12.5,0,5,7.1,WSW,30,NW,NW,13,15,76,58,1031.2,1030.3,3,6,7.4,11.2,0,0,0
24,24-07-2008,Hobart,2.7,12.8,0,1.2,7.1,NW,30,NW,NNW,17,11,75,45,1032.2,1028.9,2,2,5.3,12.1,0,0,0
25,25-07-2008,Hobart,2.7,13,0,1.6,8.9,NNW,30,NW,NNW,19,13,74,43,1024.9,1021,2,1,4.2,12.6,0,0,0
26,26-07-2008,Hobart,1.5,11.4,0,0,8,NW,30,NW,SE,19,7,78,60,1017.3,1014.5,3,3,3.6,9.9,0,0.6,0
27,27-07-2008,Hobart,3.6,10.8,0.6,2,4.4,S,37,WNW,SSE,9,24,96,62,1017.6,1017.9,7,7,4.8,9.6,0,1.2,1
28,28-07-2008,Hobart,4.8,10,1.2,1,1.3,S,39,S,SSW,19,13,73,88,1024.2,1024.1,7,7,6.9,7.7,1,1,0
29,29-07-2008,Hobart,5.4,11.5,1,0.6,2.4,N,28,NNW,NNW,15,15,82,47,1024,1019.4,6,2,6.5,10.7,0,0,0
30,30-07-2008,Hobart,0.3,11.1,0,0,8.3,NW,28,N,NNW,15,15,93,48,1017.6,1013.5,5,1,1.2,10.6,0,0,0
31,31-07-2008,Hobart,1.1,14.1,0,0.6,8.3,NW,35,NNW,NNW,28,19,73,54,1008.9,1003.8,7,5,5.3,13.4,0,1,0
32,01-08-2008,Hobart,4.9,13.1,1,1,4.8,WSW,33,NNW,ESE,20,2,85,68,993.8,991.7,4,6,6.7,11.4,0,0,0
33,02-08-2008,Hobart,6.4,12,0,0.4,3.9,WSW,57,NNE,WSW,13,31,69,55,1004.5,1006.2,6,5,8.4,10.8,0,0,0
34,03-08-2008,Hobart,4.7,15.2,0,1.8,9.3,NNW,33,NW,ESE,17,13,71,52,1014.5,1013,1,1,7.8,12.6,0,0,0
35,04-08-2008,Hobart,4.7,15.9,0,2.2,9.3,NNW,35,NNW,NNW,19,7,74,41,1017.7,1017.4,1,1,6.6,15,0,0,0
36,05-08-2008,Hobart,4.5,16.2,0,1.4,8.6,NNW,35,NNW,NNW,17,15,74,43,1021.8,1020,2,2,7.9,16,0,0,0
37,06-08-2008,Hobart,3.7,14.3,0,1.6,8.5,NNW,28,NNW,ESE,17,9,72,50,1018.9,1017.6,5,5,7.6,12.9,0,0,0
38,07-08-2008,Hobart,6.6,12.9,0,1.2,8.4,SE,20,0,SE,0,15,76,63,1020.5,1019.2,5,3,9,12.2,0,0,0
39,08-08-2008,Hobart,6.1,13.2,0,1.4,2.2,NNW,24,NNW,ENE,13,9,84,70,1019,1015.6,7,6,7.2,11.7,0,0.4,0
40,09-08-2008,Hobart,3.9,13.1,0.4,0.8,8.6,NNW,28,NNW,SE,17,17,70,51,1015.7,1013.3,1,2,7.1,10.9,0,0,0
41,10-08-2008,Hobart,1.8,10.4,0,2,2.1,NNW,22,NNW,SE,7,9,85,66,1012.4,1011.8,6,7,3.4,9.9,0,0,0
42,11-08-2008,Hobart,1.7,12.7,0,0.6,9.1,NNW,50,NNW,E,19,9,78,53,1014.9,1012.5,1,5,4.7,10.5,0,0.4,0
43,12-08-2008,Hobart,4.6,11.9,0.4,1.8,5.1,WSW,63,N,W,19,28,71,46,1006.1,1004.7,8,3,8.2,8.3,0,3,1
44,13-08-2008,Hobart,2,11.1,3,2.4,3.6,W,78,NW,W,22,31,62,44,1012,1009.4,7,7,7,10.5,1,15,1
45,14-08-2008,Hobart,6.6,11.1,15,3.2,5,SW,57,SW,WSW,20,26,77,73,1009,1007.7,7,7,8.5,8.8,1,1.8,1
46,15-08-2008,Hobart,5.4,9.5,1.8,2,6.6,SW,44,SSE,S,7,15,78,63,1011.2,1010.2,4,6,6.5,8.5,1,5.6,1
47,16-08-2008,Hobart,4.3,10,5.6,3.8,5.6,SW,61,SSW,S,26,22,67,65,1013.7,1015.7,8,6,6.1,9.1,1,3.2,1
48,17-08-2008,Hobart,5,12.3,3.2,0.2,5.8,WSW,33,NW,S,9,17,73,84,1021.9,1020.8,2,6,7.7,8.3,1,1,0
