,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-03-2013,Katherine,24.7,34.6,0,4,0,WNW,43,NW,W,17,19,74,49,1008.5,1005,7,3,28.7,34.1,0,0.8,0
2,02-03-2013,Katherine,25.2,31.1,0.8,6.4,0,WNW,26,WNW,SW,11,7,88,77,1008.6,1004.1,8,8,27,29,0,0,0
3,03-03-2013,Katherine,25.4,35.9,0,3.8,0,S,48,WSW,SW,13,15,82,55,1004.1,999.6,6,6,29.2,35.1,0,81,1
4,04-03-2013,Katherine,21.6,33,81,0,0,W,37,NW,WNW,13,20,95,64,1005.1,1002,8,5,25.1,31.2,1,0,0
5,05-03-2013,Katherine,24.9,0,0,4,0,NW,30,WNW,WNW,13,13,89,61,1007.1,1003.8,7,3,26.9,33.6,0,0,0
6,06-03-2013,Katherine,0,35.9,0,0,0,NNE,46,NNW,WNW,19,13,0,49,1008,1004.3,0,2,0,35,0,0,0
7,07-03-2013,Katherine,24.5,35.7,0,12,0,NW,26,WNW,W,17,11,81,49,1008.4,1004.8,3,5,28,35,0,0,0
8,08-03-2013,Katherine,25.2,36.5,0,6,0,NNW,39,W,N,9,9,77,50,1009.3,1004.3,7,5,28.5,35.2,0,6.6,1
9,09-03-2013,Katherine,21.7,32.8,6.6,6.6,0,SSE,61,ESE,WNW,22,13,93,63,1009.8,1003.9,8,3,22.6,31.4,1,0.4,0
10,10-03-2013,Katherine,21.7,35.9,0.4,4.2,0,SSW,46,W,S,9,9,85,53,1007.7,1002.3,7,5,28.5,34.8,0,6.6,1
11,11-03-2013,Katherine,23.4,34.6,6.6,6,0,SSE,31,S,SSE,4,15,83,54,1007.1,1003,6,8,27.7,34.5,1,0,0
12,12-03-2013,Katherine,23.9,34.8,0,6.4,0,SSW,20,0,S,0,9,87,47,1008.2,1003.6,6,3,26.8,34,0,0,0
13,13-03-2013,Katherine,23.2,37.3,0,4,0,NE,59,WNW,WNW,13,15,78,48,1007.8,1004.2,1,2,28,35.8,0,0,0
14,14-03-2013,Katherine,22.9,37,0,5.4,0,NW,30,NNW,WSW,13,13,76,55,1008.5,1004.9,7,2,27,35.2,0,0,0
15,15-03-2013,Katherine,25.1,37.5,0,6,0,E,74,WNW,W,20,11,77,47,1011.2,1007.2,6,2,29.5,36.2,0,1,0
16,16-03-2013,Katherine,23.4,37.4,1,9,0,SE,63,WNW,S,11,9,68,0,1012.1,1008.1,0,2,29,36.1,0,3.2,1
17,17-03-2013,Katherine,23,36.8,3.2,7.2,0,ENE,24,NNW,E,9,9,75,38,1011.4,1007.7,0,5,28.2,36,1,0,0
18,18-03-2013,Katherine,22.9,37,0,5,0,WNW,22,NW,E,4,7,74,40,1011.1,1007.1,0,2,28.8,36.3,0,0,0
19,19-03-2013,Katherine,22.6,37,0,7.4,0,NE,35,N,WSW,11,9,67,41,1011.2,1007.2,0,2,30,36.1,0,0,0
20,20-03-2013,Katherine,24.8,37.5,0,9.4,0,SE,22,NW,NNW,15,6,65,35,1012.3,1007.7,1,2,29.8,36.8,0,0,0
21,21-03-2013,Katherine,24,38.1,0,3.8,0,ENE,24,WNW,NW,7,9,67,0,1010.1,1005.6,1,2,30.1,37.3,0,0,0
22,22-03-2013,Katherine,24.4,37.9,0,6,0,W,28,WNW,NNE,13,7,71,0,1010.8,1007.2,2,0,29.2,0,0,0,0
23,23-03-2013,Katherine,23.8,36.5,0,10,0,NE,28,NE,E,11,17,66,43,1011.5,1007.3,1,8,30,35.2,0,0,0
24,24-03-2013,Katherine,24.4,32.5,0,6,0,E,43,SE,SE,15,11,69,77,1010.4,1006.5,4,8,29.7,30,0,1.2,1
25,25-03-2013,Katherine,23.2,35,1.2,7.2,0,SE,54,S,E,9,13,78,0,1009.8,1005,7,0,27.3,0,1,0.8,0
26,26-03-2013,Katherine,23.5,32.7,0.8,5.6,0,ENE,43,ESE,ESE,13,20,82,57,1008,1003.8,7,4,26.7,32,0,3.4,1
27,27-03-2013,Katherine,24.8,33.8,3.4,5.2,0,ESE,43,E,ESE,19,26,87,88,1006.7,1002.6,6,6,26,28.1,1,117.6,1
28,28-03-2013,Katherine,23.7,33.8,117.6,0,0,ESE,35,E,ESE,15,15,98,98,1006.4,1003.1,8,8,25.1,25.4,1,79.4,1
29,29-03-2013,Katherine,23.2,29.6,79.4,0,0,NE,43,ENE,ENE,19,15,91,92,1006.5,1003.7,8,8,26,27,1,63.4,1
30,30-03-2013,Katherine,24,25.8,63.4,0,0,E,28,NE,NE,15,13,96,0,1006.4,1003.9,8,0,24.7,0,1,23.6,1
31,31-03-2013,Katherine,24.1,0,23.6,0,0,E,31,ENE,ENE,15,11,96,98,1007.5,1005.1,8,8,25.2,25.6,1,96.4,1
32,01-04-2013,Katherine,0,30.4,96.4,0,0,E,31,E,E,11,11,0,66,1011.2,1008.8,0,8,0,30.5,1,0,0
33,02-04-2013,Katherine,22.5,33.6,0,0,0,E,37,E,ENE,9,13,86,55,1011.9,1008.1,8,5,26.1,31.5,0,6,1
34,03-04-2013,Katherine,24.1,33.5,6,3.4,0,ESE,28,SE,ESE,7,15,87,52,1010.9,1007.7,8,3,26.5,32.5,1,0,0
35,04-04-2013,Katherine,22.9,34.3,0,8,0,NE,59,ESE,E,13,19,64,48,1011.2,1007,2,3,27.8,34,0,0.8,0
36,05-04-2013,Katherine,23.6,34.6,0.8,6.8,0,ENE,33,ENE,E,15,13,78,48,1010.9,1007.9,1,5,28.2,33.9,0,0,0
37,06-04-2013,Katherine,23.9,33,0,6,0,SE,39,ESE,ESE,17,19,81,60,1011.6,1007.8,8,8,27,31.9,0,0,0
38,07-04-2013,Katherine,22.6,34.4,0,5.4,0,E,39,ESE,ESE,17,19,78,53,1010.3,1007.5,1,6,27.3,32.5,0,0,0
39,08-04-2013,Katherine,21.6,34.3,0,6.2,0,E,46,ESE,E,11,24,74,43,1011,1008.2,5,3,27,33.3,0,0,0
40,09-04-2013,Katherine,21.8,35.2,0,6.8,0,E,35,SSE,ESE,15,17,81,36,1011.7,1007.9,3,3,27.5,34.6,0,0,0
41,10-04-2013,Katherine,20.6,34.3,0,7.2,0,ESE,44,SE,SE,19,19,53,30,1009.8,1006.5,1,1,26.8,33.9,0,0,0
42,11-04-2013,Katherine,18.2,33.8,0,8,0,SSE,37,SE,SE,19,20,44,32,1009.7,1006.5,0,1,26.2,33.1,0,0,0
43,12-04-2013,Katherine,17.2,33.4,0,6,0,SSE,41,SE,SSE,13,15,62,31,1011.5,1008.2,0,2,24.8,32.8,0,0,0
44,13-04-2013,Katherine,16.3,33.4,0,8,0,ESE,31,0,SSE,0,17,66,36,1012.3,1008.4,2,3,23.8,32.2,0,0,0
