,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-12-2008,Launceston,9.5,17.9,3.4,15.2,0,WNW,57,WNW,NW,19,28,53,61,1000.6,1000.7,0,0,12.9,14.1,1,4,1
2,02-12-2008,Launceston,9.4,18.3,4,6,0,WNW,46,NW,NW,24,28,60,46,1001.4,1000.5,0,0,14.6,17.3,1,1,0
3,03-12-2008,Launceston,9.1,18.4,1,5.8,0,WSW,50,NW,WNW,17,24,62,37,1002.4,1004.2,0,0,13.7,16.5,0,0,0
4,04-12-2008,Launceston,2.2,19.4,0,6.8,0,NW,39,N,NW,7,19,56,41,1017.8,1014.6,0,0,10.8,18.1,0,4.6,1
5,05-12-2008,Launceston,9.6,19.8,4.6,5.6,0,NNW,39,SE,NNW,7,11,91,89,1008.7,1004.2,0,0,11.2,15.9,1,1,0
6,06-12-2008,Launceston,10.6,19.3,1,0,0,N,54,NNW,NNW,24,26,71,70,1003.8,1001.1,0,0,16.1,16.8,0,0.4,0
7,07-12-2008,Launceston,6.7,20.4,0.4,0,0,W,37,NNW,WNW,17,17,59,37,1005.5,1005.3,0,0,13.4,19.1,0,0,0
8,08-12-2008,Launceston,4.3,18.8,0,12.6,0,NW,43,NW,NNW,9,24,63,52,1011.8,1008.8,0,0,12,16.9,0,0.8,0
9,09-12-2008,Launceston,10.7,17.5,0.8,6,0,NNW,39,NNW,N,13,24,93,63,1005.4,1002.8,0,0,12.6,16.3,0,0,0
10,10-12-2008,Launceston,5,19.7,0,3.6,0,NNW,37,SSE,NW,15,11,46,27,1013.3,1012,0,0,12.9,18.6,0,0,0
11,11-12-2008,Launceston,7,21.8,0,6.2,0,NW,37,SE,NNW,7,19,63,41,1017,1014.9,0,0,14.7,21,0,0,0
12,12-12-2008,Launceston,8.3,22.8,0,7,0,SE,65,SE,NNE,7,19,55,44,1014,1008.7,0,0,16.7,22.2,0,13.6,1
13,13-12-2008,Launceston,14.9,15.4,13.6,0,0,SSE,74,SSE,SSE,22,39,85,80,997.7,996,0,0,15.3,14.5,1,15,1
14,14-12-2008,Launceston,12.7,18.6,15,0,0,S,56,SSE,SSE,30,28,65,58,1003.6,1005.3,0,0,14.9,17.9,1,0,0
15,15-12-2008,Launceston,5.5,19.8,0,12.3,0,NW,44,W,NNW,4,28,67,62,1008.4,1005.3,0,0,12.6,18.4,0,0,0
16,16-12-2008,Launceston,11.4,19.8,0,5.2,0,NNW,43,NNW,NNW,15,22,62,77,1006.9,1006.3,0,0,16.8,16.1,0,0.2,0
17,17-12-2008,Launceston,6.2,20.4,0.2,5.2,0,NNW,33,ESE,NW,11,20,61,49,1010.5,1008.2,0,0,14.8,19.3,0,0,0
18,18-12-2008,Launceston,9.6,19.1,0,5.6,0,NNW,37,WNW,NW,9,20,58,51,1005.6,1001.3,0,0,14.6,17.8,0,2,1
19,19-12-2008,Launceston,10.1,21,2,6.6,0,S,46,SSE,S,30,19,46,37,1008.5,1011.1,0,0,13.7,19.7,1,0,0
20,20-12-2008,Launceston,6.6,22.6,0,0,0,NNW,35,NNW,NW,9,17,75,54,1018.9,1016.8,0,0,15.2,21.8,0,0,0
21,21-12-2008,Launceston,11.4,23.4,0,0,0,NW,35,NW,NW,11,22,80,51,1019.5,1016.3,0,0,15.9,22.3,0,0,0
22,22-12-2008,Launceston,13.1,26.3,0,18.6,0,NW,46,NE,NW,4,17,64,62,1009.5,1003.9,0,0,18.7,21.4,0,0.2,0
23,23-12-2008,Launceston,11.1,27.7,0.2,5.2,0,N,48,SE,S,7,11,63,24,1009.2,1008.6,0,0,19.3,26.4,0,0,0
24,24-12-2008,Launceston,13.1,21.9,0,9.8,0,NW,41,W,NW,6,17,75,52,1015.3,1011.5,0,0,15,19.6,0,1.2,1
25,25-12-2008,Launceston,12.3,24.3,1.2,4,0,N,39,S,N,7,17,71,33,1013.4,1011.2,0,0,15.3,23.7,1,0,0
26,26-12-2008,Launceston,10.4,21.4,0,7.2,0,NW,41,WNW,NW,11,24,76,67,1011.1,1009.2,0,0,15.4,17.4,0,0.2,0
27,27-12-2008,Launceston,9.4,25.3,0.2,0,0,NW,50,SE,NNW,6,28,75,50,1004.6,999.6,0,0,15.4,24.2,0,0,0
28,28-12-2008,Launceston,15.3,21.8,0,0,0,NNW,52,NNW,NNW,28,30,74,81,998.1,996,0,0,17.3,17.8,0,0.2,0
29,29-12-2008,Launceston,10.5,20,0.2,15.2,0,WNW,43,NW,NNW,19,26,52,47,1001.1,1000.6,0,0,14.8,19.2,0,6.6,1
30,30-12-2008,Launceston,11.3,22.5,6.6,7.8,0,NNW,48,NNW,W,13,26,92,45,992.8,991.5,0,0,14.3,19.6,1,0.2,0
31,31-12-2008,Launceston,9.2,20.1,0.2,7.4,0,WNW,44,NW,WNW,13,24,53,37,997.2,996.6,0,0,12.8,18.4,0,0,0
32,01-01-2009,Launceston,12.6,19.6,0,6.2,0,WNW,54,WNW,WNW,20,24,48,33,994.3,997.1,0,0,16,18.5,0,0,0
33,02-01-2009,Launceston,5.8,19.9,0,8,0,S,39,SW,SSW,6,19,51,36,1010.7,1012.7,0,0,12.7,18,0,0,0
34,03-01-2009,Launceston,5.5,20.3,0,0,0,NNW,35,ENE,NW,2,20,64,50,1018.6,1015.5,0,0,10.6,18.5,0,0,0
35,04-01-2009,Launceston,9.4,22,0,0,0,NW,43,WNW,NNW,9,28,66,51,1015.2,1011.8,0,0,15.9,20.8,0,0,0
36,05-01-2009,Launceston,12.5,21.5,0,20.6,0,N,50,NNW,N,22,28,62,58,1008.5,1004.9,0,0,16.1,19.7,0,0,0
37,06-01-2009,Launceston,16,23.8,0,7.2,0,NNW,54,NNW,NNW,28,33,68,63,1004.7,1002.4,0,0,19.3,22.8,0,0,0
38,07-01-2009,Launceston,10.3,22.1,0,7.4,0,NNW,54,NNW,NNW,17,28,72,48,1006.7,1004.1,0,0,15.1,20.5,0,0,0
39,08-01-2009,Launceston,8.5,21.6,0,8,0,WSW,43,WSW,WSW,17,22,45,29,1011.5,1013.1,0,0,13.8,20.1,0,0,0
40,09-01-2009,Launceston,5.2,22.2,0,8,0,NW,33,SSE,NNW,11,13,48,38,1021,1018.3,0,0,13.7,20.2,0,0,0
41,10-01-2009,Launceston,11.9,23.8,0,0,0,N,39,NW,N,7,22,69,48,1015,1011.2,0,0,16.3,21.9,0,0,0
42,11-01-2009,Launceston,11.2,23.3,0,0,0,WNW,44,NNW,NW,6,24,81,36,1010,1007.3,0,0,16,22,0,0,0
43,12-01-2009,Launceston,10.6,26,0,18.6,0,NW,39,NW,NW,11,20,67,31,1015.8,1015.3,0,0,16,24.6,0,0,0
44,13-01-2009,Launceston,12,24.6,0,8,0,NW,43,NW,NW,11,24,70,58,1016.2,1011.9,0,0,17.3,22.2,0,0,0
45,14-01-2009,Launceston,13.6,32.7,0,8,0,NNW,41,N,NW,9,26,67,38,1003.8,1003.4,0,0,21.6,30.1,0,0,0
46,15-01-2009,Launceston,15.5,24,0,10.8,0,NNW,56,NW,WNW,15,24,73,34,1006.5,1006.9,0,0,17.3,22.8,0,0,0
47,16-01-2009,Launceston,10.9,19.6,0,9.2,0,W,54,WNW,W,20,26,47,36,1006.7,1009.4,0,0,14.3,19,0,0,0
48,17-01-2009,Launceston,6.6,22.3,0,0,0,N,41,WSW,NNW,6,22,56,40,1021.7,1019.6,0,0,13.5,19.7,0,0,0
49,18-01-2009,Launceston,8.9,25.4,0,0,0,NNW,37,NNW,NW,9,15,74,43,1018.5,1015.4,0,0,15.6,25.4,0,0,0
50,19-01-2009,Launceston,13.6,26.9,0,23.8,0,NW,33,NNW,NNW,15,22,73,39,1013.8,1010.7,0,0,17.1,26.4,0,0,0
51,20-01-2009,Launceston,14.7,29.5,0,5.6,0,NNW,50,ENE,NNW,9,22,65,30,1006.4,1002.3,0,0,17.9,29.1,0,0,0
52,21-01-2009,Launceston,12.8,23.5,0,9.6,0,NNW,46,NNW,NNW,19,24,68,44,1008.3,1005.4,0,0,17,22.7,0,0,0
53,22-01-2009,Launceston,14.1,26,0,9,0,NNW,83,NW,NNW,20,37,71,83,993.6,991.2,0,0,18.5,17.5,0,7.2,1
54,23-01-2009,Launceston,10.6,20.2,7.2,6.2,0,NNW,52,NNW,NNW,13,31,68,51,1004.8,1003.1,0,0,14.9,19.1,1,0,0
55,24-01-2009,Launceston,13.2,21.3,0,0,0,SW,57,NW,WNW,20,22,76,40,998.1,1004.6,0,0,15.8,20,0,0,0
56,25-01-2009,Launceston,9.5,21.5,0,0,0,NNW,44,NNW,NNW,15,26,68,55,1016.7,1015,0,0,14.3,21.3,0,0,0
57,26-01-2009,Launceston,11.4,28.7,0,22.6,0,N,46,NNW,SW,11,7,76,28,1019.8,1019.8,0,0,16.9,27.1,0,0,0
58,27-01-2009,Launceston,12.3,25.9,0,7.2,0,NW,37,E,NW,7,20,59,48,1022.1,1017.2,0,0,18,24.4,0,0,0
59,28-01-2009,Launceston,12.3,33.8,0,8,0,NNW,41,ESE,NNW,6,19,72,20,1013.9,1011.1,0,0,19,33.1,0,0,0
60,29-01-2009,Launceston,16.3,36.9,0,10.4,0,NW,44,E,NNW,6,28,54,25,1011.2,1008.3,0,0,24,35.5,0,0.1,0
61,30-01-2009,Launceston,20.9,39,0.1,12.6,0,NW,39,NNE,NNW,7,19,49,25,1011.4,1009.3,0,0,26.8,38.2,0,0,0
62,31-01-2009,Launceston,19.6,38.2,0,0,0,S,43,E,NNW,4,19,66,30,1014.5,1012.5,0,0,22.6,36.2,0,0,0
63,01-02-2009,Launceston,15.9,27.4,0,0,0,SE,48,SSE,WNW,26,7,58,34,1023.8,1021.2,0,0,17.3,24.8,0,3,1
64,02-02-2009,Launceston,14.7,21.6,3,30.4,0,SSE,31,SSE,SSE,7,17,88,92,1016.2,1014,0,0,15.5,17.4,1,1.6,1
65,03-02-2009,Launceston,12.5,27.1,1.6,1.6,0,NW,41,SE,SSE,22,9,59,36,1017.9,1015.3,0,0,16,23.8,1,0,0
66,04-02-2009,Launceston,15,27.1,0,5,0,WNW,37,WNW,NW,9,15,77,40,1014.5,1010.8,0,0,16.8,25,0,0,0
67,05-02-2009,Launceston,15.1,28.2,0,8,0,NNW,41,NW,N,11,19,72,52,1005,1002.9,0,0,20.5,27.4,0,0,0
68,06-02-2009,Launceston,13.3,25.6,0,7.2,0,NNW,44,ESE,N,6,26,69,49,1010.6,1007.8,0,0,18.8,24.4,0,4,1
69,07-02-2009,Launceston,14.4,30.3,4,0,0,NW,41,NE,SSW,4,7,92,53,1006.6,1000.3,0,0,16.3,28.3,1,0.2,0
70,08-02-2009,Launceston,15.2,24.1,0.2,0,0,WNW,48,WNW,WSW,17,20,52,32,1006.6,1008,0,0,17.6,23.3,0,0,0
71,09-02-2009,Launceston,6.4,23,0,20.8,0,NNW,35,E,NNW,11,11,54,28,1015.5,1013.4,0,0,14.5,21,0,0,0
72,10-02-2009,Launceston,11.9,22.4,0,6,0,N,37,SE,SE,15,9,55,24,1016.8,1015,0,0,13.6,21.3,0,11,1
73,11-02-2009,Launceston,11.2,20.4,11,6.2,0,SE,41,SE,SSE,17,9,57,29,1019.6,1017.8,0,0,13.6,19.2,1,0,0
74,12-02-2009,Launceston,8.9,21.1,0,5,0,S,43,SSE,SE,22,20,60,33,1025.7,1025.5,0,0,12.4,19.8,0,0,0
75,13-02-2009,Launceston,7.6,23.1,0,6.4,0,N,31,SE,NNW,13,15,67,36,1032.5,1029.5,0,0,13.6,22.1,0,0,0
76,14-02-2009,Launceston,8.2,24.6,0,0,0,NNW,35,E,NNW,11,22,69,43,1028.3,1023.1,0,0,14.6,23.3,0,0,0
77,15-02-2009,Launceston,10.7,27.2,0,0,0,NW,33,ESE,S,4,13,71,31,1023.1,1020.9,0,0,16.4,25.7,0,1.4,1
78,16-02-2009,Launceston,12.9,21.7,1.4,18,0,S,24,SSE,NNE,11,2,77,58,1025.9,1024.2,0,0,15.2,19.8,1,0,0
79,17-02-2009,Launceston,14.1,24.6,0,2.8,0,NW,39,ESE,N,9,7,66,39,1023.1,1020,0,0,17.8,23.4,0,0,0
80,18-02-2009,Launceston,12.8,24.7,0,5.6,0,N,26,ESE,NNE,11,17,62,49,1018.4,1015,0,0,18.6,23.1,0,0,0
