,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-01-2009,MelbourneAirport,11.2,19.9,0,5.6,8.8,SW,69,W,SW,33,43,55,37,1005.1,1006.4,7,7,15.9,18.1,0,1.2,1
2,02-01-2009,MelbourneAirport,7.8,17.8,1.2,7.2,12.9,SSE,56,SW,SSE,31,26,50,43,1018,1019.3,6,7,12.5,15.8,1,0,0
3,03-01-2009,MelbourneAirport,6.3,21.1,0,6.2,10.5,SSE,31,E,S,13,19,51,35,1020.8,1017.6,1,7,13.4,19.6,0,0,0
4,04-01-2009,MelbourneAirport,8.1,29.2,0,6.4,12.5,SSE,35,NE,SSE,2,20,67,23,1016.2,1012.8,5,4,16,28.2,0,0,0
5,05-01-2009,MelbourneAirport,9.7,29,0,7.4,12.3,SE,33,SW,SSE,9,20,51,31,1011.9,1010.3,6,2,19.4,27.1,0,0,0
6,06-01-2009,MelbourneAirport,13.5,31.7,0,7.2,13.7,SSE,50,NNE,S,11,28,50,34,1010.7,1007.7,0,1,21.3,29.8,0,0.2,0
7,07-01-2009,MelbourneAirport,15.8,21.4,0.2,8.8,4.4,S,46,SSW,SSE,17,28,98,67,1010,1009.9,8,7,16,19.9,0,0.2,0
8,08-01-2009,MelbourneAirport,9.7,18.4,0.2,5.2,11.5,SE,56,SSW,SSE,28,35,51,42,1017.4,1018.9,2,5,14.5,17.7,0,0,0
9,09-01-2009,MelbourneAirport,10.2,19.7,0,5.6,12.6,S,43,SSE,S,19,28,51,42,1021.4,1018,2,7,14.2,19.3,0,0,0
10,10-01-2009,MelbourneAirport,10.7,23.6,0,7.2,10.2,S,43,WSW,S,7,24,76,46,1013.8,1010.3,7,1,14.5,21.8,0,0,0
11,11-01-2009,MelbourneAirport,10.7,23.5,0,6.6,10.2,S,41,SW,SSE,9,17,77,52,1012,1009.7,8,1,14.8,23,0,0,0
12,12-01-2009,MelbourneAirport,10.4,25.1,0,5.2,7.8,SSE,26,SSW,SE,11,17,73,47,1018.6,1017.4,8,5,15.3,22.4,0,0,0
13,13-01-2009,MelbourneAirport,11.5,37.1,0,6.8,13.5,N,52,N,NNW,35,22,39,12,1013.8,1010,0,0,25,35.1,0,0,0
14,14-01-2009,MelbourneAirport,24.9,33.5,0,18.6,12.3,N,57,N,S,35,24,12,45,1007.5,1009.4,3,4,31.2,24.8,0,0,0
15,15-01-2009,MelbourneAirport,13.8,23.1,0,9.2,10.1,SW,44,SW,SE,28,22,56,44,1015.8,1014.5,7,5,16.5,21.4,0,0,0
16,16-01-2009,MelbourneAirport,12.7,21.6,0,8.6,9.9,WSW,61,SW,S,28,28,59,33,1017.4,1018.4,7,6,15.5,19.8,0,0,0
17,17-01-2009,MelbourneAirport,12.5,19.8,0,8.8,12.1,S,41,SSE,S,28,26,50,44,1022.7,1022.7,4,2,14.5,18.8,0,0,0
18,18-01-2009,MelbourneAirport,7.5,26.3,0,6.6,13,SSE,31,SE,SSE,7,20,67,32,1021.9,1019,1,0,14.7,24.5,0,0,0
19,19-01-2009,MelbourneAirport,11.9,37,0,7.8,13.4,N,54,N,WNW,28,22,22,7,1013.6,1009,1,1,26.3,35.3,0,0,0
20,20-01-2009,MelbourneAirport,18.4,40.2,0,15.8,12,SW,100,N,SSE,37,37,18,26,1005.6,1006,1,3,29.5,29.3,0,0,0
21,21-01-2009,MelbourneAirport,12.8,28.8,0,14.4,10.9,S,37,NE,SSE,9,24,73,40,1010.4,1006.6,7,6,17.6,27.3,0,0,0
22,22-01-2009,MelbourneAirport,15.1,35.6,0,8,7.6,W,94,NNW,NW,41,46,57,9,998.1,994.2,8,7,27.1,34.7,0,0,0
23,23-01-2009,MelbourneAirport,9.8,32.3,0,15.6,12.3,WNW,59,N,NW,9,24,46,11,1008.1,1002.9,3,2,16.7,28.9,0,0,0
24,24-01-2009,MelbourneAirport,15.3,24.2,0,12.8,11.4,WSW,54,WSW,WSW,30,30,55,24,1008.1,1011.6,6,2,17.1,22.7,0,0,0
25,25-01-2009,MelbourneAirport,9.2,29,0,8,13.3,S,39,NNE,SE,7,24,54,18,1018.3,1016.4,0,0,16.9,28,0,0,0
26,26-01-2009,MelbourneAirport,11.4,24.8,0,7.2,12.7,SSE,46,SSE,SSE,13,26,72,46,1022.3,1020.8,7,1,16.7,23.8,0,0,0
27,27-01-2009,MelbourneAirport,14.9,36,0,7.6,12.3,N,37,NNE,SSE,7,26,71,22,1017.8,1014,1,1,19.1,34.2,0,0,0
28,28-01-2009,MelbourneAirport,16.6,43.1,0,12,13.4,N,50,N,NNW,24,15,18,7,1012.3,1009.3,0,1,31.2,41.6,0,0,0
29,29-01-2009,MelbourneAirport,30.5,44.2,0,20.4,10.3,N,59,N,N,39,26,15,10,1011.2,1009.6,1,4,35.4,42.4,0,0,0
30,30-01-2009,MelbourneAirport,23.9,44.2,0,18.6,12.8,N,50,N,N,15,22,23,8,1012.2,1009.3,1,1,33.9,42.9,0,0,0
31,31-01-2009,MelbourneAirport,19.6,31.6,0,14.2,10.8,SSW,46,SW,S,7,26,52,39,1013.7,1014.3,1,6,25,30.9,0,0,0
32,01-02-2009,MelbourneAirport,18.1,34.1,0,7.6,7.1,SSW,39,SSW,ESE,11,11,75,46,1016.8,1012.5,7,7,20.8,31.7,0,0,0
