,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-07-2008,Melbourne,9.5,15.4,2,2.8,7,W,63,W,W,37,35,60,38,1006.8,1010.3,1,7,11,14.6,1,0.6,0
2,02-07-2008,Melbourne,11,14.5,0.6,5.2,4,W,63,W,WSW,30,35,66,52,1013.4,1016.2,7,4,11.8,13.7,0,1.4,1
3,03-07-2008,Melbourne,8.4,14.1,1.4,2,0.8,W,39,W,W,17,24,72,58,1024.8,1024.3,7,7,10.6,13.9,1,0.6,0
4,04-07-2008,Melbourne,9.1,14.5,0.6,1.8,4.2,E,19,NNW,N,9,7,87,49,1030.2,1029,7,6,10.2,13.1,0,0,0
5,05-07-2008,Melbourne,4.3,15.5,0,0.8,8.4,N,52,N,NNE,24,30,81,52,1028.9,1024.9,2,5,5.5,14.6,0,0,0
6,06-07-2008,Melbourne,5.5,15.4,0,2.8,3,N,74,N,NNW,31,44,68,48,1023.1,1020.1,6,6,11.6,14.6,0,0,0
7,07-07-2008,Melbourne,11.5,14.3,0,3,1,NNE,57,N,N,28,22,73,63,1016.3,1012.9,8,7,12.2,13.3,0,5,1
8,08-07-2008,Melbourne,6.9,10.4,5,1.2,0.3,N,37,N,N,13,11,80,71,1017.1,1017,8,7,7.3,10.3,1,1.2,1
9,09-07-2008,Melbourne,3.6,14.8,1.2,0.4,6.5,N,35,N,WSW,11,17,95,61,1023.1,1019.6,1,7,4.2,13.1,1,3,1
10,10-07-2008,Melbourne,4.2,13.5,3,2.2,7,WNW,69,N,WNW,15,46,87,33,1009.4,1006.7,6,3,9,12.2,1,0.2,0
11,11-07-2008,Melbourne,7.4,13.5,0.2,1.8,5.6,WSW,52,W,WSW,26,26,71,56,1016.3,1018.5,3,6,9.2,13,0,0,0
12,12-07-2008,Melbourne,6.6,11.3,0,2,0,N,91,N,N,22,46,68,53,1023.2,1018.5,7,8,8.4,10.3,0,0,0
13,13-07-2008,Melbourne,8.4,14.3,0,3.8,4.2,N,87,N,N,33,44,49,55,1017.1,1014.4,7,4,11.3,13.8,0,0,0
14,14-07-2008,Melbourne,7.4,18.9,0,2.6,9.4,N,54,SSW,N,7,26,78,24,1017.4,1016.2,1,5,8.5,17.9,0,0,0
