,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-12-2008,MountGinini,5.2,13,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0
2,02-12-2008,MountGinini,3,15,0.4,0,0,0,0,W,WNW,26,24,66,51,0,0,0,0,7.1,14.2,0,0,0
3,03-12-2008,MountGinini,6,15,0,0,0,0,0,W,W,33,30,58,50,0,0,0,0,9.8,14.2,0,0,0
4,04-12-2008,MountGinini,2,15,0,0,0,0,0,NNE,N,11,15,82,52,0,0,0,0,6.9,13.4,0,3,1
5,05-12-2008,MountGinini,8,17.8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,0
6,06-12-2008,MountGinini,9.4,17,0.4,0,0,0,0,0,W,0,30,0,45,0,0,0,0,0,14.8,0,0,0
7,07-12-2008,MountGinini,6,16,0,0,0,0,0,WSW,W,30,24,72,30,0,0,0,0,9.5,15.5,0,0,0
8,08-12-2008,MountGinini,1.7,16,0,0,0,0,0,0,W,0,22,0,45,0,0,0,0,0,14.2,0,0,0
9,09-12-2008,MountGinini,6,17.9,0,0,0,0,0,W,W,22,17,43,33,0,0,0,0,11,17.2,0,2,1
10,10-12-2008,MountGinini,6.5,17.8,2,0,0,0,0,0,NW,0,13,0,64,0,0,0,0,0,15,1,0.6,0
11,11-12-2008,MountGinini,5.6,13.1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
12,12-12-2008,MountGinini,4.9,14,5,0,0,0,0,0,ENE,0,26,0,0,0,0,0,0,0,7.9,1,46,1
13,13-12-2008,MountGinini,6,13.8,46,0,0,0,0,WNW,0,37,0,100,0,0,0,0,0,9.1,0,1,9,1
14,14-12-2008,MountGinini,2.8,8,9,0,0,0,0,0,WSW,0,24,0,100,0,0,0,0,0,5.5,1,0,0
15,15-12-2008,MountGinini,1,15,0,0,0,0,0,S,WSW,11,20,94,68,0,0,0,0,5.5,13.5,0,0,0
