,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-12-2008,MountGambier,6.6,18.7,4,5,10.6,WNW,61,WNW,WNW,20,30,73,39,1009.4,1008.9,3,3,13.4,17.8,1,0,0
2,02-12-2008,MountGambier,8.9,18.1,0,5.4,3.6,W,50,NW,WNW,17,31,74,49,1009.8,1008.9,8,8,14.4,16.2,0,1,0
3,03-12-2008,MountGambier,10.1,19.3,1,3.2,12,WSW,43,WSW,SW,20,24,73,47,1011.9,1013.9,5,6,13.6,18.2,0,0,0
4,04-12-2008,MountGambier,5.9,21.2,0,4.4,1.6,NNE,50,ENE,NNE,17,26,69,39,1014.8,1009.5,8,8,13.7,20.5,0,12.8,1
5,05-12-2008,MountGambier,13.6,19.3,12.8,3.8,1.8,WNW,63,NW,WNW,24,39,86,65,1005.7,1006.9,8,7,16.1,18.7,1,0.6,0
6,06-12-2008,MountGambier,12.7,19.6,0.6,2.4,8.6,W,57,NW,W,26,39,81,46,1008.9,1008.7,7,5,15.7,18.5,0,0,0
7,07-12-2008,MountGambier,10.2,16.8,0,5.8,2.3,SW,39,WSW,SSW,11,26,65,46,1015.3,1014.6,7,7,12.6,16.4,0,0,0
8,08-12-2008,MountGambier,11.1,21,0,4,9.4,SSW,35,WNW,SSW,15,26,51,42,1015.3,1011,7,6,13.9,20.4,0,0.4,0
9,09-12-2008,MountGambier,6.9,16.5,0.4,3.4,3.9,SSE,33,S,N,22,15,87,91,1006.9,1007.8,8,7,11.1,13.1,0,4.2,1
10,10-12-2008,MountGambier,7.5,19.9,4.2,2,14,SSE,50,SE,SSE,20,35,58,43,1014.2,1012.2,4,3,14.9,19.3,1,0,0
11,11-12-2008,MountGambier,6.2,25.8,0,5,10.8,ESE,35,ESE,E,26,15,56,25,1014.8,1010.3,1,1,14.7,24.7,0,0.8,0
12,12-12-2008,MountGambier,13.6,15.4,0.8,6.8,0,SSE,59,NNE,E,7,22,85,93,1005.2,1000.3,8,8,15.2,13.5,0,78.8,1
13,13-12-2008,MountGambier,11.4,14.9,78.8,0,0,SSE,63,S,SSW,37,33,86,74,1002.3,1005.8,8,8,11.9,13.6,1,2,1
14,14-12-2008,MountGambier,11,15.9,2,1,1.9,SSW,41,S,S,24,22,69,61,1011.4,1012.5,8,7,13,15.8,1,0,0
15,15-12-2008,MountGambier,10.6,19.9,0,3,8.6,WSW,46,WSW,W,17,30,61,50,1014.4,1012.3,8,7,13.2,19.6,0,0.4,0
16,16-12-2008,MountGambier,11.4,19.3,0.4,4.4,2.8,SW,43,NW,WSW,15,22,89,72,1013.6,1012.6,7,7,14.1,18.4,0,6,1
17,17-12-2008,MountGambier,12.4,19.7,6,2.2,0.1,SSE,31,ESE,ESE,15,15,87,64,1012.8,1009.1,7,7,14.5,18.5,1,0,0
18,18-12-2008,MountGambier,10.4,19.1,0,3.2,6.1,WSW,50,0,WSW,0,33,63,58,1008,1008.8,7,7,15.2,16.2,0,0.6,0
19,19-12-2008,MountGambier,8.9,18.5,0.6,4,12.5,SSW,41,S,S,28,26,46,45,1017.9,1018.4,2,1,15.4,18,0,0,0
20,20-12-2008,MountGambier,6.2,24.9,0,4.8,14,S,33,E,SSE,20,11,63,39,1021.5,1017.8,2,1,15.5,24,0,0,0
21,21-12-2008,MountGambier,11.3,30.2,0,5.4,9.3,NNE,41,NNE,N,20,19,38,18,1014.6,1010.2,7,7,22,28.2,0,0,0
22,22-12-2008,MountGambier,18.2,20.6,0,12.2,2.3,N,54,WNW,W,30,30,71,64,1006.1,1007.2,7,8,18.2,19.8,0,0,0
23,23-12-2008,MountGambier,13.7,20.5,0,3.4,6.5,S,33,S,S,20,19,61,51,1016.2,1015.3,8,3,15.6,19,0,0,0
24,24-12-2008,MountGambier,6.6,25.4,0,3.8,13.8,WSW,46,NE,WNW,17,28,57,35,1013.5,1011.8,1,1,16.2,24.8,0,0,0
25,25-12-2008,MountGambier,9.3,24,0,7,13.2,SSW,33,ESE,SSW,13,19,63,40,1015.9,1012.6,7,4,16.8,23.5,0,0,0
26,26-12-2008,MountGambier,11.2,25.8,0,5.2,11.8,SSW,30,SSW,SSW,13,13,68,45,1010.8,1008.1,6,7,18.4,24.8,0,0,0
27,27-12-2008,MountGambier,12.9,22.8,0,4.6,13.4,W,39,SW,WSW,15,22,66,50,1007.6,1005.6,4,7,18,21.6,0,0,0
28,28-12-2008,MountGambier,13.3,20.6,0,6.2,5.1,WNW,56,NW,WSW,24,28,89,59,1004.6,1004.3,8,7,16.2,20.1,0,0.8,0
29,29-12-2008,MountGambier,10.7,19.1,0.8,4.8,9.3,W,48,WSW,W,28,30,45,49,1010.5,1009.8,5,7,16.2,17.9,0,6,1
30,30-12-2008,MountGambier,13.2,18.8,6,4,8.8,W,59,WSW,W,30,39,60,50,1006.2,1006.6,7,7,16.4,17.4,1,0,0
31,31-12-2008,MountGambier,12.2,19.6,0,4.6,7.1,W,52,WSW,WNW,24,31,64,51,1007.7,1006.3,8,6,14.6,18.6,0,0.8,0
