,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-01-2009,Mildura,13.8,27.4,0,9.6,12.6,SSW,56,SW,WSW,17,31,51,24,1009.8,1008.5,6,1,19.2,26,0,0,0
2,02-01-2009,Mildura,8.9,24.8,0,12.4,13.3,S,39,SSE,SSE,24,15,39,21,1019.8,1017.7,0,0,14.1,23.3,0,0,0
3,03-01-2009,Mildura,10.6,28.6,0,9.2,13.6,ESE,30,E,SW,20,9,39,18,1019.2,1016,0,1,17,27.1,0,0,0
4,04-01-2009,Mildura,13.2,34.5,0,8.8,13.5,NNW,26,E,NW,9,17,24,9,1014.2,1012.1,2,2,24.1,32.8,0,0,0
5,05-01-2009,Mildura,16.5,37.3,0,10.4,13.4,WSW,37,SSE,WNW,11,13,37,7,1013.7,1010.8,1,1,23.7,35.6,0,0,0
6,06-01-2009,Mildura,15.7,39.2,0,13.4,13.4,W,37,SSE,W,9,15,34,6,1011.8,1007.7,0,0,23.3,37.8,0,0,0
7,07-01-2009,Mildura,17,32.3,0,12.6,13.1,WSW,48,SSW,SW,11,26,67,22,1010,1008.7,3,1,19.9,31.5,0,0,0
8,08-01-2009,Mildura,12.9,27.3,0,13.6,12.5,SSE,46,SSE,SSW,24,17,50,20,1018.3,1017,0,1,16.1,24.7,0,0,0
9,09-01-2009,Mildura,12.3,27.8,0,11.2,7.8,SE,35,SE,ESE,20,17,43,14,1019.1,1014.8,2,7,15.7,26.4,0,0,0
10,10-01-2009,Mildura,12.7,32.2,0,8.4,11.6,SW,52,SSE,SE,13,11,35,11,1010.9,1008,7,1,19.1,30.4,0,0,0
11,11-01-2009,Mildura,15.4,33.4,0,11.6,11.8,WSW,56,SW,SW,11,17,53,14,1010,1008.9,7,1,18.5,32,0,0,0
12,12-01-2009,Mildura,15.3,34.4,0,12.4,13.3,SSE,50,SSE,S,17,20,40,9,1016.6,1013.9,0,0,19.7,33,0,0,0
13,13-01-2009,Mildura,17.7,40.4,0,10.4,13.7,N,35,NE,N,13,6,22,9,1012.7,1009.4,0,0,28,38.7,0,0,0
14,14-01-2009,Mildura,22.3,42.4,0,11.2,13,W,41,N,WNW,11,20,13,7,1009.1,1007.6,0,0,31.4,41.4,0,0,0
15,15-01-2009,Mildura,16.4,29.7,0,21,11.8,S,52,S,SSW,24,20,51,23,1016.8,1015.8,4,4,18.4,25.9,0,0,0
16,16-01-2009,Mildura,12.8,29.8,0,10,12.9,SSW,48,S,SSW,24,20,53,21,1021.3,1018.3,0,0,16.8,27.6,0,0,0
17,17-01-2009,Mildura,12,28.6,0,12,13.1,SSE,43,SE,SSE,17,20,45,15,1022.8,1019.5,1,3,15.5,25.7,0,0,0
18,18-01-2009,Mildura,15.4,32.7,0,10.2,11.7,SE,28,SE,SE,15,13,30,12,1019,1016,7,6,19.6,30,0,0,0
19,19-01-2009,Mildura,17.2,39,0,8,13.3,WNW,26,NNE,N,9,9,24,8,1012.5,1008.8,1,0,27.2,36.8,0,0,0
20,20-01-2009,Mildura,20.1,42.3,0,11.8,12.9,NW,46,NNE,NW,9,20,19,4,1007.1,1005.2,0,5,28.7,41.3,0,0,0
21,21-01-2009,Mildura,19.2,36.7,0,18.2,12.7,WNW,54,SSE,WNW,4,11,44,18,1010.7,1007,2,1,23.2,34.5,0,0.8,0
22,22-01-2009,Mildura,22.9,38.3,0.8,10.4,10.3,W,78,NW,WNW,28,31,63,8,1002.8,1000.8,7,2,27.6,37.1,0,0,0
23,23-01-2009,Mildura,14.8,36.4,0,18.4,12.8,WNW,41,S,WNW,13,15,41,24,1008.3,1003.8,0,0,19.7,33.3,0,0,0
24,24-01-2009,Mildura,18.6,30.3,0,11.6,12.2,SW,39,SSW,SSW,22,13,53,24,1011.5,1011.9,7,3,19.9,27.1,0,0,0
25,25-01-2009,Mildura,14.7,34.7,0,10.6,13.4,ESE,30,SE,SSE,11,9,36,12,1017.3,1015.8,0,0,19.8,32.4,0,0,0
26,26-01-2009,Mildura,17.7,38,0,10.6,13.4,SE,35,SE,ESE,19,17,38,9,1018.6,1016.1,0,0,22.2,35.7,0,0,0
27,27-01-2009,Mildura,19.6,41.5,0,12,12.3,SE,26,E,E,15,11,28,8,1014.9,1011.9,1,3,25.9,40,0,0,0
28,28-01-2009,Mildura,25.3,43.7,0,12,13.2,NNW,50,N,NNW,24,13,23,14,1011,1008.4,1,3,34.6,42.4,0,0,0
29,29-01-2009,Mildura,25.6,42.8,0,18,13.2,NNE,44,N,N,19,19,22,11,1011.9,1009.7,1,1,34.2,42.3,0,0,0
30,30-01-2009,Mildura,24.8,43.3,0,16,13.1,N,35,N,SSW,17,11,18,12,1011.5,1008.7,0,1,33.9,41.9,0,0,0
31,31-01-2009,Mildura,26.7,44.1,0,14.4,9.8,NNE,33,N,NNE,11,9,20,9,1011.8,1009.2,6,5,32.6,42.4,0,0,0
32,01-02-2009,Mildura,24.6,42.9,0,14.4,10.2,SSE,33,ESE,NNW,15,13,42,11,1012.3,1009.3,1,4,28.1,41.5,0,0,0
33,02-02-2009,Mildura,24.6,42.6,0,13.2,9.1,SSE,24,S,S,9,20,50,13,1009.8,1007,5,4,26.5,41.6,0,0,0
34,03-02-2009,Mildura,24.8,40.1,0,15.6,12.1,SSW,31,SSE,SE,17,11,46,22,1009.5,1006.1,1,1,27.5,38.2,0,0,0
35,04-02-2009,Mildura,22.5,40.9,0,11.8,13,NNW,35,S,NW,9,19,37,13,1007,1003.7,1,0,27.7,39.6,0,0,0
36,05-02-2009,Mildura,20.1,41.1,0,13.2,13,S,44,SSW,S,13,19,41,12,1006.4,1004.5,0,0,25.4,39.5,0,0,0
37,06-02-2009,Mildura,22.5,43.1,0,14.4,12.9,S,33,ENE,NNW,11,15,38,12,1008.4,1005.2,0,0,27.5,41.4,0,0,0
