,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-01-2009,Moree,16.4,38.7,0,12.2,9.3,NW,54,N,WNW,15,28,27,11,1005.5,1003.3,6,8,28.9,37.4,0,0,0
2,02-01-2009,Moree,22.3,30.3,0,11.2,3,NNE,30,NNE,N,19,15,68,40,1009.5,1009,6,7,25.2,29.4,0,0,0
3,03-01-2009,Moree,21.2,33.3,0,6.2,11.7,ENE,46,ENE,ENE,22,22,57,31,1014.9,1012.2,6,5,24.5,32.7,0,0,0
4,04-01-2009,Moree,16.4,33.5,0,11.2,13.3,ENE,39,NE,ENE,20,20,51,28,1016.9,1012.2,1,3,22.9,31.9,0,0,0
5,05-01-2009,Moree,19.2,34.5,0,12.6,13.4,SE,35,ENE,S,19,11,44,22,1015.1,1010.6,1,6,24.2,32.9,0,0,0
6,06-01-2009,Moree,21.3,36.8,0,10.8,12.4,SSE,33,NNE,NE,24,9,54,26,1013.6,1009.1,1,5,25.4,34.6,0,0,0
7,07-01-2009,Moree,22.2,34.5,0,10,7.6,NNE,39,NNE,N,26,7,56,23,1012.7,1008.5,7,7,25.2,32.5,0,0,0
8,08-01-2009,Moree,23.7,36.4,0,8.6,7.7,ENE,46,NNE,ENE,24,9,46,31,1009.6,1007,7,5,26.3,34.3,0,0,0
9,09-01-2009,Moree,20.4,34.3,0,12,6.8,SSW,69,E,SE,26,7,53,31,1011.2,1008,5,5,26.3,32.1,0,9.2,1
10,10-01-2009,Moree,16,32.1,9.2,9.8,9.6,SW,76,0,N,0,9,51,29,1012,1007.3,2,5,21.1,30.4,1,3.4,1
11,11-01-2009,Moree,18.2,33,3.4,8.6,11.8,SW,76,NNE,NNE,24,13,56,37,1011.2,1008,1,5,22.5,30.3,1,0,0
12,12-01-2009,Moree,21.5,34.6,0,8,9.8,ENE,41,NNE,NE,26,11,55,26,1013.3,1010.1,5,5,25.5,33.7,0,0,0
13,13-01-2009,Moree,21.2,35.9,0,10.4,13.1,ENE,43,ENE,E,19,15,47,19,1016.3,1012.3,1,3,25.4,34.3,0,0,0
14,14-01-2009,Moree,19.5,35,0,13.4,13.2,NE,39,NE,NE,24,11,47,24,1016.8,1012.7,1,1,24.3,33,0,0,0
15,15-01-2009,Moree,20.5,36.1,0,12.2,13.2,NNE,43,NNE,NNE,30,11,48,24,1015.5,1011.4,0,1,24.4,33.2,0,0,0
16,16-01-2009,Moree,21.1,40.1,0,12.8,12.9,WSW,48,N,NW,22,17,32,15,1011.5,1007.6,2,3,28.1,38.2,0,0,0
17,17-01-2009,Moree,15,35.6,0,16.8,13.3,E,57,SSE,WSW,9,24,32,11,1011.7,1009.4,0,1,25.6,34.2,0,0,0
18,18-01-2009,Moree,18.5,33.3,0,13.8,12.2,ENE,48,NE,E,24,11,51,36,1018.1,1014.4,5,4,22.4,30.7,0,0,0
19,19-01-2009,Moree,19.7,31.6,0,12.2,3.7,NE,52,NE,N,30,17,52,35,1017.8,1013.4,8,8,22.5,30.7,0,0,0
20,20-01-2009,Moree,22.1,33.6,0,10.4,5.2,NNE,44,NNE,N,30,11,48,29,1016.6,1012.7,7,6,24.6,32.2,0,0,0
21,21-01-2009,Moree,23.8,32.5,0,8.8,0.7,SSW,76,NE,N,28,11,54,36,1014.8,1011.7,8,8,25.1,31.3,0,47.6,1
22,22-01-2009,Moree,20.5,24.5,47.6,9.2,0,NNE,48,NE,NNE,26,31,97,95,1012.4,1009.3,8,8,21.1,22.5,1,23,1
23,23-01-2009,Moree,21.1,32.1,23,1.6,6.8,NE,22,NNE,N,13,9,86,54,1011.4,1008.7,7,5,24.3,31.2,1,0,0
24,24-01-2009,Moree,23.2,35.5,0,5.2,10.9,NNE,28,N,WNW,15,11,79,47,1010.1,1007.4,5,7,27,34.2,0,0,0
25,25-01-2009,Moree,24.4,36,0,8,9,SW,57,NNE,NNE,13,37,68,48,1011.1,1009.5,5,5,28.8,32.7,0,5.4,1
