,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-12-2008,Newcastle,13.2,0,0,0,0,0,0,NW,NW,6,19,50,24,0,0,3,4,21.8,30.6,0,0,0
2,02-12-2008,Newcastle,0,32.2,0,0,0,0,0,0,NE,0,19,0,59,0,0,0,0,0,25.4,0,0,0
3,03-12-2008,Newcastle,16.2,32.2,0,0,0,0,0,N,SE,2,2,74,26,0,0,4,4,22.2,32,0,0,0
4,04-12-2008,Newcastle,19.2,24,0,0,0,0,0,SE,SE,22,22,66,61,0,0,7,5,20.4,23,0,0,0
5,05-12-2008,Newcastle,18.8,30.2,0,0,0,0,0,NE,0,4,0,85,0,0,0,8,0,20,0,0,0,0
6,06-12-2008,Newcastle,19.8,34.2,0,0,0,0,0,NW,NW,4,7,56,39,0,0,6,7,29.2,31.8,0,0,0
7,07-12-2008,Newcastle,19.4,27.8,0,0,0,0,0,0,SE,0,6,91,39,0,0,8,4,20.8,27,0,0,0
8,08-12-2008,Newcastle,0,26.2,0,0,0,0,0,0,NE,0,22,0,71,0,0,0,7,0,22.2,0,0,0
9,09-12-2008,Newcastle,15.6,29.4,0,0,0,0,0,NE,NW,4,19,78,53,0,0,1,3,21.2,28.2,0,0,0
10,10-12-2008,Newcastle,19.2,26.4,0,0,0,0,0,SE,0,22,0,63,0,0,0,0,0,25.8,0,0,0,0
11,11-12-2008,Newcastle,19.4,21.4,0,0,0,0,0,NE,SE,2,9,83,72,0,0,8,8,19.6,20,0,0.4,0
12,12-12-2008,Newcastle,18,22.4,0.4,0,0,0,0,NE,NE,4,9,87,96,0,0,8,8,18.8,18.8,0,29.8,1
13,13-12-2008,Newcastle,18.2,31.6,29.8,0,0,0,0,0,NW,0,50,95,51,0,0,8,7,22.2,28.8,1,1,0
14,14-12-2008,Newcastle,18.2,27.2,1,0,0,0,0,SW,NW,19,46,55,39,0,0,3,3,22,25.4,0,0,0
15,15-12-2008,Newcastle,16.6,22.8,0,0,0,0,0,S,SE,9,28,42,49,0,0,4,1,20.4,21.8,0,0,0
16,16-12-2008,Newcastle,11.6,27,0,0,0,0,0,0,NE,0,4,72,51,0,0,0,1,18.8,26,0,0,0
17,17-12-2008,Newcastle,14.4,29,0,0,0,0,0,0,SE,0,7,51,44,0,0,2,1,23.2,28.2,0,0,0
18,18-12-2008,Newcastle,17.6,34,0,0,0,0,0,SE,SE,4,56,91,34,0,0,2,7,20,31,0,1.2,1
19,19-12-2008,Newcastle,18,26.6,1.2,0,0,0,0,0,SE,0,46,71,98,0,0,1,2,22.4,23,1,0,0
20,20-12-2008,Newcastle,17.6,21.6,0,0,0,0,0,S,SE,19,9,96,96,0,0,6,5,19.4,20.8,0,0,0
21,21-12-2008,Newcastle,12.6,24.2,0,0,0,0,0,SE,SE,4,19,96,98,0,0,3,2,20,23.6,0,0,0
22,22-12-2008,Newcastle,15.2,26.4,0,0,0,0,0,NE,NE,7,19,100,49,0,0,1,1,20.6,25.4,0,0,0
23,23-12-2008,Newcastle,16,31,0,0,0,0,0,NW,0,4,0,62,42,0,0,6,8,21.6,29,0,2,1
24,24-12-2008,Newcastle,18.8,0,2,0,0,0,0,SE,SE,9,9,81,73,0,0,8,8,20.2,21,1,0,0
25,25-12-2008,Newcastle,0,25.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26-12-2008,Newcastle,19.2,29.4,0,0,0,0,0,NE,SE,4,11,87,63,0,0,6,1,21.8,29,0,0,0
27,27-12-2008,Newcastle,19.2,30.6,0,0,0,0,0,NE,NE,4,19,88,51,0,0,8,8,23.4,30.4,0,0,0
28,28-12-2008,Newcastle,18.6,31.2,0,0,0,0,0,NW,0,4,0,74,0,0,0,1,0,23.8,0,0,0,0
29,29-12-2008,Newcastle,20.2,28.8,0,0,0,0,0,NW,SW,2,19,57,80,0,0,7,6,28,21.6,0,10.6,1
30,30-12-2008,Newcastle,19.2,33.4,10.6,0,0,0,0,0,NW,0,7,77,36,0,0,5,4,22,30.8,1,0,0
31,31-12-2008,Newcastle,15.4,33.4,0,0,0,0,0,0,NW,0,15,50,23,0,0,0,0,23.8,32.2,0,0,0
32,01-01-2009,Newcastle,15.2,32.8,0,0,0,0,0,N,NW,4,9,71,47,0,0,1,6,22.8,28,0,0,0
33,02-01-2009,Newcastle,19.2,25.6,0,0,0,0,0,0,SE,0,11,65,52,0,0,4,1,21.2,24.8,0,0.8,0
34,03-01-2009,Newcastle,16.4,22.6,0.8,0,0,0,0,SE,NE,4,4,64,60,0,0,8,8,19.6,22.2,0,0,0
35,04-01-2009,Newcastle,17.8,28.8,0,0,0,0,0,NE,SE,4,37,67,53,0,0,0,0,21.6,27,0,0,0
36,05-01-2009,Newcastle,16.8,36,0,0,0,0,0,NE,SE,7,4,69,40,0,0,1,2,22.2,34.4,0,0,0
37,06-01-2009,Newcastle,19.6,31.8,0,0,0,0,0,SE,SE,4,4,55,65,0,0,0,1,28,26.8,0,0,0
38,07-01-2009,Newcastle,21.2,34.8,0,0,0,0,0,0,0,0,0,77,57,0,0,2,8,24.2,30.6,0,0,0
39,08-01-2009,Newcastle,21.2,23.8,0,0,0,0,0,SE,SE,11,15,74,77,0,0,8,8,22.4,21.6,0,2.4,1
40,09-01-2009,Newcastle,16.8,22.6,2.4,0,0,0,0,SE,SE,19,28,61,48,0,0,8,6,19,22.2,1,0.2,0
41,10-01-2009,Newcastle,15.4,25.4,0.2,0,0,0,0,SE,N,7,28,58,45,0,0,7,5,21.6,24.4,0,0,0
42,11-01-2009,Newcastle,17.4,27.6,0,0,0,0,0,NE,SE,6,46,59,74,0,0,1,1,22.6,22.6,0,0,0
43,12-01-2009,Newcastle,18.4,28.2,0,0,0,0,0,0,SE,0,19,70,46,0,0,0,1,23.4,27.6,0,0,0
44,13-01-2009,Newcastle,19.2,28.4,0,0,0,0,0,NE,SE,4,28,65,56,0,0,2,5,24.6,27.6,0,0,0
45,14-01-2009,Newcastle,18.6,35.2,0,0,0,0,0,NE,NE,4,22,74,35,0,0,0,0,23,34.4,0,0,0
46,15-01-2009,Newcastle,19,40.6,0,0,0,0,0,N,NW,4,7,54,17,0,0,0,1,26.6,40.2,0,6.6,1
47,16-01-2009,Newcastle,19.6,27,6.6,0,0,0,0,NE,SE,4,7,80,60,0,0,8,1,20.6,25.8,1,1.6,1
48,17-01-2009,Newcastle,17.4,22,1.6,0,0,0,0,SE,SE,19,22,61,53,0,0,7,7,19,20,1,0,0
49,18-01-2009,Newcastle,12.2,25,0,0,0,0,0,0,SE,0,11,69,47,0,0,1,1,19.6,23.8,0,0,0
50,19-01-2009,Newcastle,15.4,28.6,0,0,0,0,0,NE,SE,4,19,66,48,0,0,5,6,20.6,26.8,0,0,0
51,20-01-2009,Newcastle,15.5,35,0,0,0,0,0,NW,NW,4,4,69,35,0,0,0,2,22.4,33.2,0,0,0
52,21-01-2009,Newcastle,22,38.2,0,0,0,0,0,0,NW,0,28,63,26,0,0,5,6,26.4,37.8,0,0,0
53,22-01-2009,Newcastle,22.2,28.8,0,0,0,0,0,NE,NW,4,19,72,71,0,0,8,8,25.4,26.6,0,2,1
54,23-01-2009,Newcastle,21.8,35.4,2,0,0,0,0,NW,NE,4,11,63,46,0,0,1,5,28,33.6,1,0,0
55,24-01-2009,Newcastle,23.6,40,0,0,0,0,0,NW,NW,9,9,53,35,0,0,0,6,30.6,38.2,0,2.4,1
56,25-01-2009,Newcastle,18.8,24,2.4,0,0,0,0,SE,SE,11,22,65,65,0,0,8,8,21.4,23.2,1,0,0
57,26-01-2009,Newcastle,19.2,26.4,0,0,0,0,0,0,SE,0,9,92,81,0,0,8,8,20.6,25.4,0,0,0
58,27-01-2009,Newcastle,20.6,29,0,0,0,0,0,NE,SE,7,28,83,70,0,0,7,6,24.4,27.4,0,0,0
59,28-01-2009,Newcastle,20.2,30.8,0,0,0,0,0,NE,NE,4,19,81,51,0,0,6,1,24,29.8,0,0,0
60,29-01-2009,Newcastle,20.2,32,0,0,0,0,0,N,NE,19,22,80,59,0,0,3,1,24,30.4,0,0,0
61,30-01-2009,Newcastle,19.8,32.2,0,0,0,0,0,NE,NE,4,28,67,51,0,0,0,1,24,30.4,0,0,0
62,31-01-2009,Newcastle,20.6,34.8,0,0,0,0,0,NW,NW,4,15,67,26,0,0,1,2,25.2,34.4,0,0,0
63,01-02-2009,Newcastle,19.6,31.4,0,0,0,0,0,0,SE,0,28,75,53,0,0,0,0,23.6,30.2,0,0,0
64,02-02-2009,Newcastle,20.6,31,0,0,0,0,0,NE,NE,4,28,74,52,0,0,3,3,25.4,29.4,0,0,0
65,03-02-2009,Newcastle,19.6,31.8,0,0,0,0,0,N,SE,4,11,74,51,0,0,3,3,23,31.5,0,0,0
66,04-02-2009,Newcastle,21.4,31,0,0,0,0,0,SE,SE,4,7,76,62,0,0,6,1,25,29.4,0,0,0
67,05-02-2009,Newcastle,21,34.2,0,0,0,0,0,NE,SE,4,7,74,47,0,0,0,0,24.8,33,0,0,0
68,06-02-2009,Newcastle,21.4,35,0,0,0,0,0,0,SE,0,15,72,44,0,0,0,0,25.6,33.2,0,0,0
69,07-02-2009,Newcastle,22.2,37.8,0,0,0,0,0,NE,SE,7,19,51,31,0,0,1,0,27.4,35.6,0,0,0
70,08-02-2009,Newcastle,20,34.2,0,0,0,0,0,NE,SE,15,11,61,43,0,0,0,0,24.8,33.2,0,0,0
71,09-02-2009,Newcastle,20.2,27.6,0,0,0,0,0,SE,0,7,0,77,0,0,0,5,0,24.4,0,0,0.8,0
72,10-02-2009,Newcastle,20,25,0.8,0,0,0,0,SW,WSW,4,7,89,83,0,0,8,8,21,22.6,0,13.4,1
73,11-02-2009,Newcastle,17.2,23.8,13.4,0,0,0,0,SW,SE,11,15,94,69,0,0,8,8,17.4,22.6,1,13.2,1
