,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-03-2013,Nhil,9.8,27.4,0.2,0,0,SE,54,SSE,SE,28,30,62,27,1021.2,1019.3,0,0,14.3,25.3,0,0,0
2,02-03-2013,Nhil,12.6,30.1,0,0,0,ESE,46,ESE,ESE,35,19,60,22,1022.7,1019.9,0,0,16,27.6,0,0,0
3,03-03-2013,Nhil,13.7,30.6,0,0,0,ENE,50,ENE,NE,22,20,51,26,1021,1017.8,0,0,18.9,29.4,0,0,0
4,04-03-2013,Nhil,16.9,32.4,0,0,0,ENE,48,ENE,NE,20,17,52,23,1018.9,1015.9,0,0,21,32,0,0,0
5,05-03-2013,Nhil,18.9,34.2,0,0,0,SE,54,ENE,ESE,28,20,48,25,1016.9,1014.5,0,0,22.3,32.6,0,0.4,0
6,06-03-2013,Nhil,19.4,35.2,0.4,0,0,E,28,ENE,SSW,17,9,41,26,1015.3,1012.8,0,0,23.7,32.7,0,0,0
7,07-03-2013,Nhil,21.5,35.2,0,0,0,ESE,33,SE,NW,9,9,45,29,1015.5,1014.2,0,0,24.7,32.8,0,0,0
8,08-03-2013,Nhil,23.1,37.3,0,0,0,NE,33,ENE,NNE,19,11,42,18,1017.1,1014.3,0,0,25.7,35.4,0,0,0
9,09-03-2013,Nhil,20.5,36.5,0,0,0,SW,43,NNE,N,11,20,33,17,1015.1,1012.8,0,0,26.1,34.4,0,0,0
10,10-03-2013,Nhil,21.7,37.7,0,0,0,E,30,E,W,15,9,44,20,1015.8,1013.9,0,0,25.1,34.6,0,0,0
11,11-03-2013,Nhil,21.4,39,0,0,0,NNW,43,ENE,N,13,13,35,16,1015.8,1013.5,0,0,26.2,37.5,0,0,0
12,12-03-2013,Nhil,22.4,38.5,0,0,0,NNW,50,NE,N,9,26,31,15,1014.1,1010.2,0,0,26.5,36.8,0,0,0
13,13-03-2013,Nhil,18.1,25.4,0,0,0,W,54,SW,SSW,31,30,54,30,1011.6,1011.6,0,0,19.2,24.7,0,0,0
14,14-03-2013,Nhil,11.9,26.5,0,0,0,S,46,SSW,SW,22,22,55,28,1017.1,1015,0,0,16,24.7,0,0,0
15,15-03-2013,Nhil,9.2,26.9,0,0,0,SW,41,S,S,9,19,81,28,1019.1,1016.7,0,0,13.5,25.1,0,0,0
16,16-03-2013,Nhil,13.5,23.8,0,0,0,SW,63,SSW,SW,20,28,69,80,1017.5,1016.8,0,0,16.4,17.6,0,0.2,0
17,17-03-2013,Nhil,6.7,21.3,0.2,0,0,SSE,50,S,S,19,26,71,28,1026.3,1024.6,0,0,10.6,19.2,0,0,0
18,18-03-2013,Nhil,6.7,23.5,0,0,0,E,48,SSE,SSE,13,19,77,33,1025.2,1022.6,0,0,10.8,21.4,0,0,0
19,19-03-2013,Nhil,9.9,25.9,0,0,0,ESE,30,ESE,ESE,15,7,72,26,1023.5,1020.6,0,0,14.1,24.8,0,0,0
20,20-03-2013,Nhil,12.1,30.9,0,0,0,NNW,39,ENE,N,20,19,41,15,1018.6,1013.1,0,0,16.2,29.8,0,0,0
21,21-03-2013,Nhil,16.2,25,0,0,0,WNW,89,N,WNW,31,57,29,38,1001,1003,0,0,24.6,22.6,0,0.2,0
22,22-03-2013,Nhil,12.5,18.3,0.2,0,0,WNW,43,WNW,WNW,11,24,64,47,1014.5,1014.6,0,0,14.5,17.6,0,0.2,0
23,23-03-2013,Nhil,10.3,24.7,0.2,0,0,WNW,48,NNW,WNW,20,26,85,40,1017.2,1015.1,0,0,12.3,23.2,0,0,0
24,24-03-2013,Nhil,12.2,24.3,0,0,0,W,56,NW,W,24,31,74,56,1014.5,1014.6,0,0,17.2,22.1,0,0,0
25,25-03-2013,Nhil,9.8,23,0,0,0,NW,26,0,NW,0,11,87,43,1019.3,1017.4,0,0,14.2,22,0,0,0
26,26-03-2013,Nhil,11,33.5,0,0,0,NNW,39,NNE,N,9,24,60,23,1015.5,1010.7,0,0,17.2,32.3,0,0,0
27,27-03-2013,Nhil,17.1,31.5,0,0,0,NW,63,NNE,WNW,15,26,23,30,1006.8,1007.8,0,0,25.3,28.6,0,4.2,1
28,28-03-2013,Nhil,12.4,20.2,4.2,0,0,WSW,70,WNW,WSW,15,37,82,47,1017.8,1018.8,0,0,13.8,18.6,1,0.2,0
29,29-03-2013,Nhil,6.8,19.6,0.2,0,0,WNW,26,NNW,W,9,13,84,49,1023.6,1021,0,0,9.1,18.4,0,0,0
30,30-03-2013,Nhil,9.1,20.9,0,0,0,WNW,43,NW,WNW,11,30,87,55,1017.1,1014.5,0,0,13.8,19.5,0,0.4,0
31,31-03-2013,Nhil,10.7,22.1,0.4,0,0,SW,41,WSW,WSW,15,24,92,49,1015.9,1015.9,0,0,13,19.8,0,0,0
32,01-04-2013,Nhil,11.4,22.1,0,0,0,W,39,W,W,4,24,80,49,1020.3,1018.8,0,0,13.3,19.5,0,0,0
33,02-04-2013,Nhil,11.7,23.8,0,0,0,S,44,WNW,WSW,13,26,84,46,1020.1,1018.8,0,0,14.9,23.6,0,0.2,0
34,03-04-2013,Nhil,5.1,20.5,0.2,0,0,SSE,44,S,SSE,13,24,91,35,1026.5,1024.7,0,0,8.4,19.3,0,0,0
35,04-04-2013,Nhil,4.6,23.9,0,0,0,ESE,33,SSE,ESE,13,17,84,30,1028.3,1025.9,0,0,8.1,22.1,0,0,0
36,05-04-2013,Nhil,8,28.4,0,0,0,ENE,41,E,NE,31,19,66,27,1027.4,1024.2,0,0,14.1,26.8,0,0,0
37,06-04-2013,Nhil,14.1,31.1,0,0,0,NNW,31,ENE,NNW,17,11,60,23,1023.5,1019.6,0,0,16.6,29.5,0,0,0
38,07-04-2013,Nhil,12,30.1,0,0,0,SSW,33,ENE,W,7,17,39,25,1022.1,1019.1,0,0,20.6,29.3,0,0,0
39,08-04-2013,Nhil,10.6,27.4,0,0,0,SE,33,SSE,SW,17,15,71,24,1025.2,1022.3,0,0,14.9,26.7,0,0,0
40,09-04-2013,Nhil,9.1,28,0,0,0,SW,28,SE,SSE,17,7,73,27,1025.9,1021.9,0,0,16.8,26.9,0,0,0
41,10-04-2013,Nhil,8.9,28.8,0,0,0,SSW,30,SE,WSW,9,9,60,13,1023.4,1020.2,0,0,18.9,28.2,0,0,0
42,11-04-2013,Nhil,10.3,28.7,0,0,0,S,33,SE,SW,11,11,42,29,1024,1021.6,0,0,19.3,27,0,0,0
43,12-04-2013,Nhil,13.6,30.4,0,0,0,NNW,28,ENE,N,15,13,57,21,1022.9,1017.4,0,0,19.2,29.5,0,0,0
44,13-04-2013,Nhil,17.2,25.4,0,0,0,W,41,NW,W,26,24,28,38,1013.6,1012,0,0,22,24.3,0,0,0
45,14-04-2013,Nhil,12.7,23.8,0,0,0,WSW,44,S,WSW,11,28,78,50,1012.8,1010,0,0,15.5,21,0,0,0
46,15-04-2013,Nhil,8.1,20.6,0,0,0,SSW,44,0,SW,0,19,88,35,1014.5,1013.1,0,0,13,19.9,0,0,0
47,16-04-2013,Nhil,3.5,19.9,0,0,0,S,30,S,SSE,6,20,74,31,1019.5,1016.3,0,0,9.6,19.2,0,0,0
48,17-04-2013,Nhil,6.6,20.8,0,0,0,SSW,35,SSE,S,6,20,68,30,1018.7,1016.3,0,0,11.5,19.9,0,0,0
49,18-04-2013,Nhil,6.9,22,0,0,0,S,48,S,S,9,26,93,35,1021.8,1020.5,0,0,11.3,20.3,0,0,0
50,19-04-2013,Nhil,2.2,18.5,0,0,0,SE,41,SSE,SSE,17,22,69,25,1027.6,1024,0,0,9.1,17.8,0,0,0
51,20-04-2013,Nhil,4.1,20.3,0,0,0,E,33,ESE,NE,24,15,64,28,1022.8,1017.7,0,0,11.3,19.3,0,0,0
52,21-04-2013,Nhil,5.6,17.4,0,0,0,NNW,61,NE,N,13,15,48,81,1011.1,1006.5,0,0,11.2,10.3,0,9.8,1
53,22-04-2013,Nhil,9.9,19.4,9.8,0,0,NW,43,WNW,NW,15,28,86,64,1009,1008.4,0,0,12.6,18,1,0.4,0
54,23-04-2013,Nhil,8,17.4,0.4,0,0,SSW,35,SW,WSW,13,20,84,55,1017.4,1017.3,0,0,11.7,16.1,0,0,0
55,24-04-2013,Nhil,9.8,19.8,0,0,0,W,37,WNW,SW,13,9,77,71,1021.2,1018.9,0,0,12.8,17.3,0,1.2,1
56,25-04-2013,Nhil,9.6,20.8,1.2,0,0,WNW,54,NW,W,20,33,90,44,1022.8,1021.2,0,0,12.7,20.5,1,0,0
57,26-04-2013,Nhil,11.9,22.6,0,0,0,W,33,WNW,W,17,17,94,51,1024.7,1022.4,0,0,14.4,22,0,0,0
58,27-04-2013,Nhil,12.5,27.8,0,0,0,NW,59,N,NNW,24,33,58,20,1018.3,1012.3,0,0,16.7,27.3,0,0,0
59,28-04-2013,Nhil,13.9,18.6,0,0,0,WNW,33,SW,WSW,22,19,78,57,1016.9,1017.1,0,0,15.5,18,0,0,0
60,29-04-2013,Nhil,12.2,19.1,0,0,0,W,30,0,WNW,0,11,65,39,1024.9,1024,0,0,13.6,18.5,0,0,0
61,30-04-2013,Nhil,7.9,19.9,0,0,0,NE,24,ENE,NW,17,7,62,36,1026.1,1022.7,0,0,12.5,19.4,0,0,0
62,01-05-2013,Nhil,7.7,20.3,0,0,0,SW,50,SW,SW,7,37,79,39,1024.4,1022.9,0,0,11.2,18.8,0,0,0
63,02-05-2013,Nhil,0.5,18.4,0,0,0,NE,31,ESE,NNE,11,9,73,31,1029,1025.4,0,0,9.7,17.8,0,0,0
64,03-05-2013,Nhil,5.4,22.4,0,0,0,NNW,41,NNE,N,15,24,51,21,1021.5,1016.1,0,0,9.7,21.8,0,0,0
65,04-05-2013,Nhil,6.9,17.4,0,0,0,SSE,43,SSE,SSE,19,20,65,33,1027.3,1025.1,0,0,10.8,16.6,0,0,0
66,05-05-2013,Nhil,0.5,16.9,0,0,0,SE,31,SE,ESE,7,13,77,35,1027.9,1024.3,0,0,7.9,16.1,0,0,0
67,06-05-2013,Nhil,7.8,12.2,0,0,0,E,33,E,E,9,13,66,69,1026.1,1023,0,0,9.5,11.8,0,1.2,1
68,07-05-2013,Nhil,8.4,23.9,1.2,0,0,NE,31,ENE,NE,19,17,70,28,1023.8,1021.4,0,0,10.9,23.5,1,0,0
69,08-05-2013,Nhil,8.8,26.3,0,0,0,ENE,31,ENE,NNE,20,11,75,27,1026.7,1023.8,0,0,11.9,25.9,0,0,0
70,09-05-2013,Nhil,9.6,27.9,0,0,0,NNE,37,ENE,N,17,13,66,24,1028.3,1025.5,0,0,14.8,27.3,0,0,0
71,10-05-2013,Nhil,12,26.3,0,0,0,N,33,NE,N,19,17,66,26,1028.4,1024.8,0,0,13.7,25.4,0,0,0
72,11-05-2013,Nhil,12.6,26.3,0,0,0,NNW,44,NNE,N,13,19,47,23,1025,1020,0,0,16.5,25.1,0,0,0
73,12-05-2013,Nhil,12.6,16.9,0,0,0,WSW,37,NNW,N,11,20,80,82,1018.4,1015.3,0,0,13.2,16.2,0,8.4,1
74,13-05-2013,Nhil,6.6,13.8,8.4,0,0,WSW,52,W,W,26,30,83,57,1015.4,1014.9,0,0,9.4,12.2,1,0.8,0
75,14-05-2013,Nhil,4.9,14.6,0.8,0,0,SSW,43,NNW,WNW,15,26,88,56,1013.6,1010.9,0,0,7.8,14.4,0,3.8,1
76,15-05-2013,Nhil,7.7,15.8,3.8,0,0,WSW,65,WNW,WSW,22,37,89,69,1010.3,1007.8,0,0,10.7,14.3,1,1.8,1
77,16-05-2013,Nhil,7.1,17.3,1.8,0,0,WSW,43,W,W,17,31,86,52,1013.2,1012.6,0,0,9.6,16.1,1,0,0
78,17-05-2013,Nhil,4.8,14.9,0,0,0,SW,30,WNW,WSW,7,19,93,60,1019.3,1017.7,0,0,8.4,14.3,0,0,0
79,18-05-2013,Nhil,4.6,14.7,0,0,0,WSW,26,W,WSW,6,19,93,59,1020.3,1018.2,0,0,6.7,14.2,0,0.2,0
80,19-05-2013,Nhil,3.5,19.1,0.2,0,0,SW,59,WSW,NNW,2,20,93,43,1020.4,1016.1,0,0,8.2,18.4,0,0.4,0
81,20-05-2013,Nhil,6.6,15.6,0.4,0,0,W,26,NNW,W,13,17,79,78,1016.8,1015.4,0,0,9.9,14.7,0,4.8,1
82,21-05-2013,Nhil,6.3,14.8,4.8,0,0,ENE,35,ENE,ENE,15,20,87,66,1017.8,1014.2,0,0,8.2,14.3,1,1.4,1
83,22-05-2013,Nhil,8.1,12.9,1.4,0,0,ENE,31,E,E,20,19,90,82,1011.2,1010.1,0,0,8.8,11.9,1,2,1
84,23-05-2013,Nhil,4.8,16.6,2,0,0,SE,39,SSE,SSE,15,24,93,49,1020.9,1020.6,0,0,6.7,16.3,1,0,0
85,24-05-2013,Nhil,2.2,17,0,0,0,WSW,31,SW,WSW,7,22,92,62,1026.8,1025.2,0,0,6,16.5,0,0,0
86,25-05-2013,Nhil,5.8,18.4,0,0,0,W,41,WNW,WSW,11,17,90,55,1028.6,1026.7,0,0,10.4,17.9,0,0.4,0
87,26-05-2013,Nhil,6.6,14.8,0.4,0,0,S,31,NW,SSW,7,17,94,64,1030.7,1028.9,0,0,9.4,14.3,0,0,0
88,27-05-2013,Nhil,8.4,16,0,0,0,E,22,SSE,NE,6,6,93,54,1031,1028.5,0,0,10.4,14.9,0,0,0
89,28-05-2013,Nhil,5.7,16.3,0,0,0,ENE,20,ENE,ENE,9,11,86,54,1028.4,1024.7,0,0,7.6,15.9,0,0,0
90,29-05-2013,Nhil,6.6,18.1,0,0,0,N,28,NNE,N,9,13,79,42,1024.4,1021,0,0,8.2,17.5,0,1,0
91,30-05-2013,Nhil,8.2,17.3,1,0,0,NNE,30,N,N,15,17,84,76,1021.6,1019.5,0,0,12.8,17,0,0.8,0
92,31-05-2013,Nhil,12.7,14.9,0.8,0,0,NNE,28,NNE,NE,11,15,94,91,1021.1,1018.6,0,0,13.2,14.6,0,14.4,1
93,01-06-2013,Nhil,13.2,15.5,14.4,0,0,S,50,NW,SE,7,20,93,91,1013.3,1010.4,0,0,13.8,14.4,1,11.2,1
94,02-06-2013,Nhil,8,15.5,11.2,0,0,S,46,SSW,SSW,24,22,85,70,1021.2,1022.4,0,0,9.9,14.7,1,0,0
95,03-06-2013,Nhil,8.6,14.9,0,0,0,S,31,WSW,S,17,17,93,69,1027.5,1026.5,0,0,10.9,14.1,0,0,0
96,04-06-2013,Nhil,10.7,13.4,0,0,0,NW,17,WNW,W,7,6,78,70,1028.1,1025,0,0,12.1,13.3,0,0,0
97,05-06-2013,Nhil,9.2,13.6,0,0,0,NNW,33,N,NNW,9,20,84,69,1022.9,1018.5,0,0,9.6,13.2,0,0.2,0
98,06-06-2013,Nhil,9.6,17.2,0.2,0,0,NW,41,N,NW,13,28,85,59,1016.9,1014.5,0,0,11.3,16.3,0,1.8,1
99,07-06-2013,Nhil,9,14.6,1.8,0,0,NNW,50,WSW,SW,17,22,81,56,1022.4,1024.8,0,0,9.9,13.4,1,0,0
100,08-06-2013,Nhil,1.6,13.5,0,0,0,WNW,26,0,WNW,0,13,92,58,1031.1,1028.4,0,0,4.2,13,0,0,0
101,09-06-2013,Nhil,4.2,15,0,0,0,N,24,NNE,N,7,13,81,51,1026.6,1022.2,0,0,7.1,14,0,0,0
102,10-06-2013,Nhil,5.9,19.2,0,0,0,N,33,N,NNW,13,22,77,50,1018.8,1015.9,0,0,7.7,18.1,0,0.6,0
103,11-06-2013,Nhil,7.7,17.1,0.6,0,0,E,35,ENE,E,11,19,88,76,1017.1,1013.4,0,0,10.1,16.2,0,65.6,1
104,12-06-2013,Nhil,10.1,11.9,65.6,0,0,SE,54,SE,S,30,28,92,91,1010.3,1008.2,0,0,10.8,10.9,1,20,1
105,13-06-2013,Nhil,10.6,14.2,20,0,0,SSE,43,S,S,30,24,81,74,1010.7,1011.4,0,0,11.8,13.7,1,0.2,0
106,14-06-2013,Nhil,9,13.3,0.2,0,0,S,54,SSW,S,22,26,82,73,1016.6,1017.1,0,0,9.3,12,0,0,0
107,15-06-2013,Nhil,5.5,14.9,0,0,0,S,35,SSW,S,11,24,92,59,1022.7,1021.4,0,0,7.3,13.9,0,0.2,0
108,16-06-2013,Nhil,2.2,14.2,0.2,0,0,SSE,28,SSE,S,13,13,93,57,1023.1,1019.5,0,0,4.3,13.7,0,0.2,0
109,17-06-2013,Nhil,1.6,12.4,0.2,0,0,WSW,22,SE,SW,4,13,94,65,1017.8,1014.9,0,0,3.8,11.8,0,0.2,0
110,18-06-2013,Nhil,1.8,14.6,0.2,0,0,S,28,SSE,SSE,11,19,93,55,1019.8,1019.4,0,0,4.8,13.8,0,0,0
111,19-06-2013,Nhil,1.7,13.3,0,0,0,E,31,SE,ESE,19,19,87,52,1026.9,1025.1,0,0,7.1,12.8,0,0,0
112,20-06-2013,Nhil,3.3,12.8,0,0,0,E,24,E,NNE,15,9,87,67,1025,1021.2,0,0,4.5,12.6,0,0.2,0
113,21-06-2013,Nhil,4.3,13.4,0.2,0,0,ENE,39,NE,NNE,11,7,85,73,1017.8,1015.7,0,0,6.1,11.4,0,9,1
114,22-06-2013,Nhil,6.1,13.9,9,0,0,ENE,46,ENE,ENE,22,28,86,65,1021.3,1021.8,0,0,7.3,13.5,1,0.6,0
115,23-06-2013,Nhil,4.7,13.4,0.6,0,0,E,37,E,ENE,24,24,82,66,1028.3,1026.6,0,0,6,13.2,0,0,0
116,24-06-2013,Nhil,3.3,14.4,0,0,0,E,28,E,ESE,17,7,73,53,1028.3,1026.1,0,0,6.3,13.6,0,0,0
117,25-06-2013,Nhil,0.9,14.5,0,0,0,WSW,15,0,WSW,0,9,93,54,1026,1023.6,0,0,3,14.1,0,0.2,0
118,26-06-2013,Nhil,1,15.3,0.2,0,0,ENE,17,ENE,N,9,6,93,54,1023.7,1021.6,0,0,4.8,14.8,0,0,0
119,27-06-2013,Nhil,2.4,17,0,0,0,N,13,0,NW,0,6,91,50,1022.3,1020.3,0,0,5,16.1,0,0,0
120,28-06-2013,Nhil,2.3,16.9,0,0,0,W,15,E,W,6,7,91,54,1024.7,1023.4,0,0,3.8,16.8,0,0.4,0
121,29-06-2013,Nhil,3.5,15.1,0.4,0,0,SSW,35,S,SSW,4,22,93,58,1029.1,1027.9,0,0,4.7,14.5,0,0,0
122,30-06-2013,Nhil,4.7,16.6,0,0,0,WSW,33,W,W,13,20,94,67,1029.4,1026.7,0,0,9.5,15.9,0,3,1
123,01-07-2013,Nhil,9.5,16.7,3,0,0,W,46,NW,WNW,15,33,92,71,1025.9,1023.7,0,0,12.3,16.4,1,0.2,0
124,02-07-2013,Nhil,8.7,16.5,0.2,0,0,W,48,NW,W,19,35,92,53,1025.4,1022.9,0,0,9.6,15.9,0,0,0
125,03-07-2013,Nhil,6.1,16.5,0,0,0,NNW,41,NNW,NNW,17,31,87,42,1022.9,1017.6,0,0,7.3,16,0,0.2,0
126,04-07-2013,Nhil,7.2,16.4,0.2,0,0,NNW,67,NNW,NNW,26,39,67,50,1007.6,1002.7,0,0,9.5,15.6,0,2.6,1
127,05-07-2013,Nhil,4.8,12.3,2.6,0,0,W,72,NW,WNW,19,33,87,68,1012.1,1013.1,0,0,5.8,11.9,1,1.4,1
128,06-07-2013,Nhil,5.7,13.5,1.4,0,0,W,43,NNW,WNW,17,22,91,70,1019.1,1018.7,0,0,7.4,13,1,2.2,1
129,07-07-2013,Nhil,4.2,13.3,2.2,0,0,W,30,NW,W,11,17,92,66,1025.6,1025.5,0,0,6.2,13,1,0,0
130,08-07-2013,Nhil,1.6,14,0,0,0,W,26,NNW,W,6,15,93,56,1033.5,1033.3,0,0,3.7,13,0,0.2,0
131,09-07-2013,Nhil,0.7,11.7,0.2,0,0,E,20,E,NNE,15,11,92,69,1035.9,1032.7,0,0,4.4,11.3,0,0.2,0
132,10-07-2013,Nhil,1.1,12.7,0.2,0,0,NE,20,NE,NNE,15,9,94,56,1031.6,1029.8,0,0,2,12,0,0,0
133,11-07-2013,Nhil,2,13.4,0,0,0,NE,28,ENE,ENE,13,20,88,74,1031.9,1028.6,0,0,4.3,12.4,0,0.2,0
134,12-07-2013,Nhil,3.9,14.3,0.2,0,0,ENE,28,ENE,NE,20,17,93,77,1028.6,1025.9,0,0,5.3,14,0,8,1
135,13-07-2013,Nhil,5.3,13.4,8,0,0,NE,43,NE,NE,17,19,93,92,1022.7,1018.7,0,0,12,13.3,1,14,1
