,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-01-2009,0rfolkIsland,20.4,25.8,0,6,12.4,NNW,31,NNW,NW,13,19,84,71,1014.5,1013.6,3,1,23.3,24.7,0,0.2,0
2,02-01-2009,0rfolkIsland,20.9,26.7,0.2,8,10.3,N,31,NNE,NE,15,6,79,77,1016.3,1015.5,2,5,25,25.1,0,0,0
3,03-01-2009,0rfolkIsland,22.3,26.3,0,3.2,2,E,35,ENE,SE,6,19,87,90,1014.6,1014.3,7,7,24.7,23.8,0,1.2,1
4,04-01-2009,0rfolkIsland,21.6,22.2,1.2,2.8,0,ESE,41,ESE,ESE,20,22,92,95,1016,1015.3,8,8,22.1,21.2,1,2.6,1
5,05-01-2009,0rfolkIsland,20.4,23.5,2.6,2.2,2.9,ESE,52,ESE,ESE,24,28,86,86,1015.3,1013.7,7,7,21.8,21.6,1,0,0
6,06-01-2009,0rfolkIsland,20.4,24.4,0,3,8.7,E,48,ESE,ESE,30,24,84,79,1014.5,1012.7,5,3,21.4,23.3,0,0,0
7,07-01-2009,0rfolkIsland,20.2,24.2,0,7.2,6,ESE,52,ESE,ESE,28,31,86,79,1014.1,1013,6,2,21.9,23.3,0,0,0
8,08-01-2009,0rfolkIsland,20.5,24,0,4.4,6,E,52,ESE,SE,28,28,82,82,1011.5,1009.4,6,6,22.5,22.8,0,0,0
9,09-01-2009,0rfolkIsland,20.9,22,0,5,0,SSE,61,SSE,SSE,28,33,92,95,1003.9,1000.4,8,8,21.9,21.6,0,45.2,1
10,10-01-2009,0rfolkIsland,18.5,23.1,45.2,15,3,SE,81,SE,ESE,46,33,77,64,1001.7,1001.2,7,6,19.8,22.1,1,0.4,0
11,11-01-2009,0rfolkIsland,19.7,22.8,0.4,5.4,1.2,SE,54,SE,SE,30,28,83,82,1006.4,1006.9,7,7,21.6,22.1,0,0,0
12,12-01-2009,0rfolkIsland,19.8,23.8,0,4,12,SE,37,SE,SE,24,22,78,78,1011.2,1010.5,5,5,21.6,22,0,0,0
13,13-01-2009,0rfolkIsland,19.2,23.2,0,7.2,7.1,SSE,35,S,SE,22,20,77,77,1011.4,1010.4,7,7,21.2,22,0,1.6,1
14,14-01-2009,0rfolkIsland,17.3,22.5,1.6,5,10.4,SSE,46,SSE,SE,26,22,74,55,1013.2,1012.4,4,1,19.9,21.7,1,0,0
15,15-01-2009,0rfolkIsland,18.5,23.6,0,8,12.7,SE,37,SSE,SE,24,24,64,69,1015.3,1015,1,2,21.4,22.4,0,0,0
16,16-01-2009,0rfolkIsland,17.3,22.8,0,5.2,11.9,SSE,26,SE,SSE,13,15,63,61,1016.9,1016.2,1,1,21.3,21.6,0,0,0
17,17-01-2009,0rfolkIsland,16.2,23.4,0,5.8,9.6,NW,30,WNW,N,13,13,65,62,1015,1013.4,1,7,21,22.1,0,12.8,1
