,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-01-2009,Nuriootpa,13.3,22.7,0,0,12.2,WSW,61,SW,W,22,28,66,37,1010.4,1011.4,7,2,16.7,21.1,0,0,0
2,02-01-2009,Nuriootpa,7,22.4,0,8,12.8,SE,41,ESE,ESE,20,17,47,25,1020.1,1017.8,3,2,13.7,20.8,0,0,0
3,03-01-2009,Nuriootpa,10.5,28.9,0,8,12.9,SE,41,ENE,ESE,19,7,35,13,1018,1014.5,4,5,16.8,26.4,0,0,0
4,04-01-2009,Nuriootpa,9.8,33.1,0,8,11.7,WSW,37,ENE,WNW,15,22,23,7,1014.1,1011.8,6,5,23.5,32.8,0,0,0
5,05-01-2009,Nuriootpa,12.5,32.6,0,11.2,13.3,W,35,ESE,W,9,17,26,12,1015,1012.4,0,1,22,31,0,0,0
6,06-01-2009,Nuriootpa,12.1,33.8,0,10,13.7,SW,50,NE,WSW,7,22,23,14,1012.1,1008.9,0,0,24.3,32.5,0,0,0
7,07-01-2009,Nuriootpa,11.7,26,0,11.6,11.8,WSW,43,SW,SW,11,17,0,44,1012.7,1012.4,4,3,18.2,24.7,0,0,0
8,08-01-2009,Nuriootpa,9,23.3,0,8,13.2,SE,43,SSE,SSE,17,20,49,29,1019.3,1018.4,4,6,16,21.8,0,0,0
9,09-01-2009,Nuriootpa,9.8,24.9,0,9,8.7,SE,46,E,ENE,22,13,43,22,1018.6,1014.7,7,7,14.3,22.3,0,0,0
10,10-01-2009,Nuriootpa,12,29.4,0,7.6,13.1,SSE,41,ESE,NNE,13,9,43,15,1012.1,1008.9,1,0,18.4,27.8,0,0,0
11,11-01-2009,Nuriootpa,11.2,28.3,0,7.6,12.2,SE,52,SE,SW,11,20,61,20,1012.1,1010.3,2,1,17.4,27.6,0,0,0
12,12-01-2009,Nuriootpa,13,32.4,0,8.8,13.2,SE,44,E,N,20,7,47,19,1016.9,1014.1,1,0,19,30,0,0,0
13,13-01-2009,Nuriootpa,17.9,40.3,0,10.6,13.7,NNW,48,N,NW,20,33,11,4,1011.3,1008.2,0,0,31,38.7,0,0,0
14,14-01-2009,Nuriootpa,17.2,34.8,0,14.8,11.6,WNW,35,NW,WNW,2,17,75,19,1012,1009.8,2,2,20.6,33.8,0,0,0
15,15-01-2009,Nuriootpa,10.8,27.3,0,9.6,11.8,SSW,39,SSW,SSW,11,17,61,25,1018.5,1017.2,4,4,16.8,26.4,0,0,0
16,16-01-2009,Nuriootpa,7.9,27.5,0,8,12.9,SSE,41,SSE,SW,17,20,57,22,1022.3,1020.1,2,0,16.9,26.6,0,0,0
17,17-01-2009,Nuriootpa,10.2,26.6,0,8,13,ESE,39,E,SSE,17,13,48,16,1023,1019.8,4,2,14.2,25.2,0,0,0
18,18-01-2009,Nuriootpa,14.2,31.6,0,10,13.3,SE,35,E,ENE,15,17,29,10,1019.2,1015.7,3,3,21.1,30.1,0,0,0
19,19-01-2009,Nuriootpa,12.3,38,0,10.2,13.4,WSW,48,NE,WSW,9,24,17,5,1012.4,1008.7,0,0,28.1,37.2,0,0,0
20,20-01-2009,Nuriootpa,13.5,36.3,0,14,12.6,WSW,52,NE,SW,9,19,20,10,1007.6,1008.5,2,5,29.2,33.9,0,0,0
21,21-01-2009,Nuriootpa,14.1,30.7,0,12.6,12.5,WSW,37,ENE,SW,11,15,54,30,1010.9,1007.3,1,1,19.5,29.6,0,0,0
22,22-01-2009,Nuriootpa,11.9,29.5,0,10.2,11.4,WSW,67,WNW,W,30,37,20,44,1003,1003.3,6,6,24.2,26,0,0,0
23,23-01-2009,Nuriootpa,9.4,29,0,10.6,12.5,W,56,NNE,WNW,17,26,51,22,1008.1,1004.2,2,0,17.2,29,0,1,0
24,24-01-2009,Nuriootpa,14.6,27,1,10.4,11.4,W,50,WSW,SW,20,17,63,30,1012.6,1012.7,7,0,16.8,24.4,0,0,0
25,25-01-2009,Nuriootpa,10.7,32.9,0,9.4,13.1,SE,26,ENE,WSW,15,13,54,13,1017.4,1016,0,0,17.7,30.9,0,0,0
26,26-01-2009,Nuriootpa,13.7,33.9,0,9.8,13.2,SE,39,E,ESE,20,17,49,16,1019.8,1016.9,0,0,20.1,31.2,0,0,0
27,27-01-2009,Nuriootpa,16.1,41.7,0,11.4,12.2,NE,31,NE,NNW,13,11,20,5,1014.8,1010.7,1,3,29.9,40,0,0,0
28,28-01-2009,Nuriootpa,21.1,44.1,0,15.2,11.6,N,70,NNE,NW,19,17,11,8,1009.2,1006.6,2,6,35.8,41.8,0,0,0
29,29-01-2009,Nuriootpa,26.9,42.5,0,15.2,10.9,NW,48,NNW,N,15,15,17,9,1010.7,1008.5,3,3,34.9,41.4,0,0,0
30,30-01-2009,Nuriootpa,22,41.9,0,14.8,12.7,NNW,54,N,NNE,9,15,19,9,1011.4,1008.6,2,3,34.4,40.4,0,0,0
31,31-01-2009,Nuriootpa,23.1,41,0,14.9,9.8,SE,59,NE,SSE,9,13,30,11,1012.9,1010.3,6,6,31.7,41,0,0,0
32,01-02-2009,Nuriootpa,23.2,39.8,0,14.8,7.1,ESE,54,ENE,WSW,15,11,45,17,1013.7,1010.6,7,6,25.9,38,0,0.6,0
33,02-02-2009,Nuriootpa,24.9,37.4,0.6,11.8,9.1,SSE,52,ESE,SE,19,26,33,22,1011.7,1009.7,7,4,28.8,35,0,0,0
34,03-02-2009,Nuriootpa,18.2,37.7,0,12,12.6,WSW,31,E,SE,15,11,52,24,1010.8,1007.5,3,3,25.3,35.3,0,0,0
35,04-02-2009,Nuriootpa,12.8,35.6,0,11.4,13.1,W,39,W,WSW,6,22,62,23,1008.5,1005.5,0,0,22.3,33.8,0,0,0
36,05-02-2009,Nuriootpa,12.6,36.1,0,10.6,12.3,W,30,NE,W,9,15,63,26,1008,1007.5,0,0,22.2,34.7,0,0,0
37,06-02-2009,Nuriootpa,17.7,41.7,0,9.8,10,NE,41,ENE,NNE,17,19,39,13,1007.9,1004.2,0,5,27.2,40.6,0,0,0
38,07-02-2009,Nuriootpa,19.8,43.9,0,11.4,12.4,NW,76,NNW,WSW,31,35,11,29,1002.9,1004.1,0,3,37.7,35.3,0,0,0
39,08-02-2009,Nuriootpa,16.9,24.6,0,18.2,5,SSE,43,SSE,S,13,17,70,36,1013.6,1014.3,6,7,19.4,24,0,0,0
40,09-02-2009,Nuriootpa,10.2,22.9,0,6,10.6,SSE,46,SE,S,20,22,52,26,1019.3,1016.7,4,4,14.1,21.9,0,0,0
41,10-02-2009,Nuriootpa,9.4,20.4,0,8,7.9,SSE,44,SSE,SSE,17,26,57,38,1020.5,1019.2,6,7,13.2,17.6,0,0,0
42,11-02-2009,Nuriootpa,7.2,20.6,0,7.2,10.6,SSE,50,SSE,SSE,17,28,46,32,1022.7,1020,3,2,13.1,19.7,0,0,0
43,12-02-2009,Nuriootpa,9.2,0,0,6.2,12.5,0,0,SE,SE,24,24,62,21,1022,1019.1,4,0,13,21.4,0,0,0
44,13-02-2009,Nuriootpa,0,26.2,0,8,12.5,SE,54,ESE,E,19,24,49,26,1021.5,1019,4,3,16.2,23.6,0,0,0
45,14-02-2009,Nuriootpa,13.9,29.8,0,10.8,12.3,ESE,54,E,SE,19,20,46,21,1020.4,1017.7,2,5,21,27.2,0,0,0
46,15-02-2009,Nuriootpa,14.5,30,0,12,10.9,SE,44,E,N,4,7,46,18,1017.1,1014.2,6,4,19,29.4,0,0,0
