,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-01-2009,PerthAirport,18.8,37.2,0,11.6,13.1,E,56,E,ENE,30,15,48,22,1011,1007.9,0,0,22.2,35,0,0,0
2,02-01-2009,PerthAirport,21.9,36.1,0,12.8,13.2,E,59,NE,W,11,20,39,31,1008.7,1007.9,0,1,27.5,33.9,0,0,0
3,03-01-2009,PerthAirport,20.3,34.4,0,11.8,12.7,SSW,44,S,W,17,24,57,34,1012.8,1010.7,4,1,23.5,33,0,0,0
4,04-01-2009,PerthAirport,18.5,36.5,0,11.2,13.3,SE,39,E,E,11,13,48,20,1017.1,1013.1,0,0,22.5,34.9,0,0,0
5,05-01-2009,PerthAirport,21.8,37.2,0,11.4,13.2,E,57,E,W,19,22,38,21,1014.7,1010.8,0,0,25.3,36.4,0,0,0
6,06-01-2009,PerthAirport,19.7,36.4,0,12,13.2,WSW,43,ESE,W,15,26,54,35,1014.5,1009.7,0,0,24.6,33.9,0,0,0
7,07-01-2009,PerthAirport,18.9,36.3,0,12,13.2,E,52,SE,SSE,15,17,50,23,1014.7,1011.1,1,1,23.1,34.3,0,0,0
8,08-01-2009,PerthAirport,20.3,37.2,0,10.8,13.2,ESE,41,ESE,SSE,15,13,48,24,1014.7,1011.4,0,0,24.2,36.3,0,0,0
9,09-01-2009,PerthAirport,19.1,37.1,0,12.6,13.3,SW,46,SSE,W,13,26,50,32,1015.7,1011.4,0,1,24.4,34.6,0,0,0
10,10-01-2009,PerthAirport,20.5,35.7,0,11.2,13.1,SW,48,ESE,SW,13,33,43,26,1013.1,1010.5,1,0,26,33.3,0,0,0
11,11-01-2009,PerthAirport,21.2,39.1,0,12,13.1,SW,41,ENE,WSW,20,20,41,15,1009.6,1005.4,0,0,25.6,38,0,0,0
12,12-01-2009,PerthAirport,13.5,28.4,0,11.4,11.3,SW,57,SW,WSW,24,35,54,52,1007.7,1009,1,6,23.8,26.6,0,0,0
13,13-01-2009,PerthAirport,10.3,26.9,0,9.4,11.2,SW,48,NNE,W,2,28,60,37,1017.8,1014.9,6,1,18.1,25,0,0,0
14,14-01-2009,PerthAirport,14.6,31.7,0,9.6,10.2,W,37,ESE,WSW,17,22,49,35,1017.5,1014.6,4,6,21.4,30,0,0,0
15,15-01-2009,PerthAirport,19,39.8,0,10.6,13.1,E,72,ENE,ESE,35,20,45,16,1016.4,1012,0,0,22.7,37.2,0,0,0
16,16-01-2009,PerthAirport,22.5,43,0,13.8,13.1,NE,50,NE,WNW,31,20,12,18,1011.1,1010.1,0,1,34,37.3,0,0,0
17,17-01-2009,PerthAirport,17.9,32.6,0,13.2,7.2,W,41,SW,SW,9,17,57,31,1015.5,1013.9,2,7,22.1,31.6,0,0,0
18,18-01-2009,PerthAirport,21.9,33.5,0,8.6,4.8,SSE,46,SSE,SSE,15,11,47,31,1015.2,1012,7,7,23.9,31,0,12.6,1
