,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-12-2008,Penrith,15.2,32.6,0,0,0,WNW,59,NNE,W,13,22,35,23,0,0,0,0,24.4,31.3,0,0,0
2,02-12-2008,Penrith,15,31.7,0,0,0,ENE,28,NNE,N,13,15,64,38,0,0,0,0,20.4,30.1,0,0,0
3,03-12-2008,Penrith,15.9,33.4,0,0,0,NW,52,N,NW,9,30,63,16,0,0,0,0,21,31.4,0,0,0
4,04-12-2008,Penrith,17.2,24.8,0,0,0,E,35,SSE,E,9,19,71,55,0,0,0,0,19.5,22.7,0,0,0
5,05-12-2008,Penrith,17.8,32.2,0,0,0,ENE,28,NE,ENE,7,15,97,48,0,0,0,0,19.8,29.6,0,0.2,0
6,06-12-2008,Penrith,18.1,36.2,0.2,0,0,W,46,NW,W,7,24,75,26,0,0,0,0,25.9,35.7,0,0,0
7,07-12-2008,Penrith,19.3,27.8,0,0,0,S,50,NE,SE,4,24,99,89,0,0,0,0,20.3,21.7,0,12,1
8,08-12-2008,Penrith,17.2,26.9,12,0,0,NNE,37,W,NNE,6,11,84,99,0,0,0,0,20.5,19.6,1,4.8,1
9,09-12-2008,Penrith,15.9,33,4.8,0,0,NNW,35,NNE,WNW,7,15,89,21,0,0,0,0,20,32.2,1,0,0
10,11-12-2008,Penrith,0,18.7,0,0,0,ESE,31,S,ESE,13,11,100,84,0,0,0,0,17.4,18.6,0,6.8,1
11,12-12-2008,Penrith,15.5,21.1,6.8,0,0,SSW,17,E,SSW,7,9,100,0,0,0,0,0,15.8,16.7,1,42.2,1
12,13-12-2008,Penrith,15.8,32.7,42.2,0,0,NW,76,NNW,WNW,9,31,100,35,0,0,0,0,21.1,32,1,0,0
13,14-12-2008,Penrith,19.1,25.5,0,0,0,WSW,61,W,WSW,26,30,42,37,0,0,0,0,21.8,23.3,0,0,0
14,15-12-2008,Penrith,15.1,27.3,0,0,0,S,43,SSW,SE,19,9,42,34,0,0,0,0,20,25.8,0,0,0
15,16-12-2008,Penrith,12.9,30.5,0,0,0,E,24,SSE,E,2,13,70,32,0,0,0,0,18.4,29.2,0,0,0
16,17-12-2008,Penrith,14.8,31.6,0,0,0,SE,50,N,N,4,13,69,30,0,0,0,0,21.9,30.4,0,0,0
17,18-12-2008,Penrith,18.6,33.5,0,0,0,NW,56,NNE,NW,7,30,60,26,0,0,0,0,23.3,32.1,0,0,0
18,19-12-2008,Penrith,15.8,28.5,0,0,0,SE,54,SE,SE,6,20,44,27,0,0,0,0,23,28,0,0,0
19,20-12-2008,Penrith,14.2,24.1,0,0,0,SSE,39,S,SE,19,20,52,55,0,0,0,0,18.3,20.6,0,0,0
20,21-12-2008,Penrith,10.7,25.8,0,0,0,ENE,30,SSW,E,6,13,66,40,0,0,0,0,18.6,24.1,0,0,0
21,22-12-2008,Penrith,13.3,30.1,0,0,0,ENE,33,N,NE,7,17,72,33,0,0,0,0,19.5,29,0,0,0
22,23-12-2008,Penrith,16.3,29.4,0,0,0,SE,35,S,ESE,17,7,82,47,0,0,0,0,21.2,29.4,0,0,0
23,24-12-2008,Penrith,18.3,19.9,0,0,0,S,24,SSE,WSW,9,7,86,99,0,0,0,0,18.9,19.1,0,0.6,0
24,25-12-2008,Penrith,17.6,27.8,0.6,0,0,NE,33,NNE,NNE,7,15,99,56,0,0,0,0,19,26.4,0,0,0
25,26-12-2008,Penrith,19,34.7,0,0,0,E,37,NW,NE,6,22,81,35,0,0,0,0,23,32.7,0,0,0
26,27-12-2008,Penrith,18.9,33,0,0,0,W,59,NW,NNE,4,28,93,48,0,0,0,0,23.7,30.2,0,1.8,1
27,28-12-2008,Penrith,17.2,34.9,1.8,0,0,NE,35,E,NNE,7,13,79,34,0,0,0,0,23.1,33.2,1,0,0
28,29-12-2008,Penrith,18.9,29.3,0,0,0,ESE,35,S,ESE,7,19,79,68,0,0,0,0,25,24.3,0,1.4,1
29,30-12-2008,Penrith,17.5,32.9,1.4,0,0,WNW,57,NNW,W,11,28,99,21,0,0,0,0,19.9,31.6,1,0.2,0
30,31-12-2008,Penrith,17.8,33.2,0.2,0,0,WNW,46,W,WNW,26,24,31,13,0,0,0,0,25.7,32.6,0,0,0
31,01-01-2009,Penrith,14.8,35.4,0,0,0,NW,59,NNE,WNW,9,28,65,17,0,0,0,0,21.9,34.4,0,0,0
32,02-01-2009,Penrith,16.9,28.5,0,0,0,SE,43,SE,SE,7,28,65,50,0,0,0,0,20.4,23.5,0,0,0
33,03-01-2009,Penrith,14.1,23.2,0,0,0,ENE,28,SSW,NNE,7,11,60,51,0,0,0,0,18.1,22.6,0,0,0
34,04-01-2009,Penrith,18.1,31.7,0,0,0,NE,39,NW,NNE,11,17,74,43,0,0,0,0,21.2,29.6,0,0,0
35,05-01-2009,Penrith,17.5,39.3,0,0,0,NW,48,SSE,W,6,26,71,20,0,0,0,0,23.6,39,0,0,0
36,06-01-2009,Penrith,16.5,41.6,0,0,0,NW,46,NNW,NE,6,11,71,9,0,0,0,0,24.2,40,0,0,0
37,08-01-2009,Penrith,20.4,22.6,0,0,0,SE,35,S,SE,11,24,82,99,0,0,0,0,21.6,19.3,0,1.4,1
38,09-01-2009,Penrith,15.3,21.8,1.4,0,0,E,30,S,ENE,19,11,71,45,0,0,0,0,18.1,21.3,1,0,0
39,10-01-2009,Penrith,14.3,26.8,0,0,0,NE,35,SSE,E,4,13,58,39,0,0,0,0,18.7,25.4,0,0,0
40,11-01-2009,Penrith,14.3,30.9,0,0,0,ENE,37,NE,E,6,13,61,37,0,0,0,0,21.4,29.8,0,8.4,1
41,12-01-2009,Penrith,17.4,29.9,8.4,0,0,SE,37,NNW,SE,6,24,100,55,0,0,0,0,20.2,27.3,1,0,0
42,13-01-2009,Penrith,19.9,32.9,0,0,0,NNW,37,ENE,NE,7,15,89,39,0,0,0,0,22.1,31.1,0,0,0
43,14-01-2009,Penrith,18.1,40,0,0,0,NE,37,SE,NE,6,13,70,19,0,0,0,0,24,39.6,0,0,0
44,15-01-2009,Penrith,20.3,43.3,0,0,0,SE,54,S,W,6,22,49,17,0,0,0,0,28.4,42.2,0,1,0
45,16-01-2009,Penrith,17.1,37.2,1,0,0,SSE,54,SE,NNE,2,9,55,30,0,0,0,0,21.5,32.4,0,0.2,0
46,17-01-2009,Penrith,16.6,23.2,0.2,0,0,ESE,31,S,ENE,11,13,62,42,0,0,0,0,17.9,21.7,0,0,0
47,18-01-2009,Penrith,12.9,29.3,0,0,0,ENE,35,NNE,ENE,4,9,56,30,0,0,0,0,19.5,28.3,0,0,0
48,19-01-2009,Penrith,13.8,33.6,0,0,0,ENE,39,N,NE,7,17,65,23,0,0,0,0,19.8,32.5,0,0,0
49,20-01-2009,Penrith,17.1,39.5,0,0,0,NE,44,SSE,NW,6,17,59,18,0,0,0,0,23.8,39.2,0,0,0
50,21-01-2009,Penrith,22.8,39.8,0,0,0,S,57,N,WNW,9,9,64,25,0,0,0,0,26,37.5,0,2.2,1
51,22-01-2009,Penrith,21.7,33.5,2.2,0,0,N,54,N,N,17,35,67,41,0,0,0,0,26.4,32.2,1,0.2,0
52,23-01-2009,Penrith,22.2,36.8,0.2,0,0,NNE,43,SE,ENE,6,20,61,35,0,0,0,0,28.8,36.6,0,0,0
53,24-01-2009,Penrith,23.1,42.1,0,0,0,WNW,67,NNW,W,2,35,61,14,0,0,0,0,29.1,40.4,0,0,0
54,25-01-2009,Penrith,19.7,29.4,0,0,0,SSE,31,SSE,SE,9,13,59,38,0,0,0,0,21.4,28.1,0,0,0
55,26-01-2009,Penrith,20.7,31.4,0,0,0,SE,39,S,ESE,7,17,64,53,0,0,0,0,23,29.6,0,5.6,1
56,27-01-2009,Penrith,19.7,29.5,5.6,0,0,ENE,35,SSW,SSE,13,7,98,66,0,0,0,0,20.4,27,1,0.2,0
57,28-01-2009,Penrith,18.6,35.8,0.2,0,0,ENE,31,NE,NE,4,15,94,38,0,0,0,0,20.9,33.5,0,0,0
58,29-01-2009,Penrith,18.6,36,0,0,0,ESE,37,WNW,NNE,4,15,72,21,0,0,0,0,24.4,34.6,0,0,0
59,30-01-2009,Penrith,19.8,35.4,0,0,0,E,33,SSE,NNE,9,13,70,29,0,0,0,0,24,34.2,0,0,0
60,31-01-2009,Penrith,18.9,38.6,0,0,0,ENE,33,SE,SE,7,17,68,28,0,0,0,0,24.3,37.5,0,0,0
61,01-02-2009,Penrith,20.5,33,0,0,0,SE,37,SSE,SE,15,22,70,46,0,0,0,0,25.5,31.2,0,0,0
62,02-02-2009,Penrith,21.2,35.4,0,0,0,ENE,39,NE,NE,4,13,71,36,0,0,0,0,25.4,34.1,0,0.2,0
63,03-02-2009,Penrith,21.8,34.8,0.2,0,0,SE,39,SSE,ESE,9,28,68,34,0,0,0,0,24.7,32.6,0,0,0
