,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-01-2009,Portland,12.5,16.6,0,4.8,6.5,SW,59,SW,SW,28,28,97,99,1006.7,1010.5,0,6,13.7,14.5,0,1.6,1
2,02-01-2009,Portland,8.6,15.2,1.6,4.8,11.7,SSW,39,SW,S,20,17,60,61,1020,1021.3,6,2,11.9,14,1,0.2,0
3,03-01-2009,Portland,1.6,18,0.2,4.6,11.9,S,30,NE,ESE,9,15,67,52,1020.4,1018.3,6,3,11.6,17.5,0,0,0
4,04-01-2009,Portland,4.8,20.1,0,4.8,13.8,S,28,E,S,11,17,73,63,1016.4,1015.2,1,1,14.7,18.1,0,0,0
5,05-01-2009,Portland,4.4,18.8,0,5.6,13.6,W,46,W,W,20,31,72,68,1014,1013.4,4,3,14.9,18,0,0,0
6,06-01-2009,Portland,0,20,0,5.4,8.5,0,0,WNW,W,17,26,99,81,1010.9,1010.8,8,6,15.4,18.9,0,1.4,1
7,07-01-2009,Portland,12.8,18.6,1.4,4.8,8,WSW,50,SW,W,9,28,88,57,1011.5,1012.8,8,6,14.6,17.9,1,0,0
8,08-01-2009,Portland,10.8,16.2,0,5.8,11.7,S,39,SSW,S,20,22,58,50,1019.8,1021.5,6,3,12.9,15,0,0,0
9,09-01-2009,Portland,10.9,18,0,5.2,9.9,SE,35,SE,ESE,17,19,56,51,1022.2,1019.7,7,3,14.1,17.2,0,0,0
10,10-01-2009,Portland,11.8,18.5,0,5.2,13.8,ESE,33,E,SSE,15,19,71,56,1014.5,1013,6,0,15.4,17.7,0,0,0
11,11-01-2009,Portland,7.4,18.6,0,6.4,11.2,W,35,0,WSW,0,24,75,51,1012.7,1013.1,7,1,14,17.5,0,0.2,0
12,12-01-2009,Portland,13.4,21.6,0.2,4.8,11.6,S,24,WNW,SSE,9,13,89,64,1018.3,1017.5,8,2,16.2,20.8,0,0,0
13,13-01-2009,Portland,11,36.8,0,6,13,NW,48,N,W,15,30,51,14,1010.9,1006.7,1,1,21.4,36.3,0,0,0
14,14-01-2009,Portland,15.2,18.5,0,15.2,5.8,W,43,SSW,S,17,15,90,71,1011.5,1012.7,8,7,15.4,17.2,0,0,0
15,15-01-2009,Portland,10.5,20,0,5,12.1,WSW,54,W,WSW,20,30,61,58,1015.8,1017.5,2,3,16.7,18.2,0,0,0
16,16-01-2009,Portland,13,17.6,0,6.6,12,WSW,52,SW,SW,28,26,51,47,1020.3,1022.7,2,5,14.6,15.7,0,0,0
17,17-01-2009,Portland,7.4,18.5,0,5.4,13.4,SSW,41,SE,SE,9,15,59,52,1024.4,1023.9,6,3,14.5,17.2,0,0,0
18,18-01-2009,Portland,2.7,22.6,0,5.4,13.8,E,28,ENE,ESE,13,19,67,50,1021.8,1019.7,1,0,14.1,20.9,0,0,0
19,19-01-2009,Portland,8.4,29.4,0,7.2,13.4,WSW,39,E,SSW,9,20,72,28,1012.3,1010.3,2,5,16.9,26,0,0,0
20,20-01-2009,Portland,13.2,27.8,0,8.4,12,W,56,WSW,NNW,9,20,78,27,1006.3,1007.6,6,6,18,24.6,0,0,0
21,21-01-2009,Portland,8.4,22.4,0,7,10.8,W,43,NW,W,17,35,79,53,1011.3,1008.2,3,3,16.3,21.2,0,0,0
22,22-01-2009,Portland,13.5,23.2,0,8.2,5.2,WNW,83,NW,W,44,41,46,63,994.6,998.9,5,7,21.7,17.8,0,0.2,0
23,23-01-2009,Portland,8.1,23.3,0.2,6.6,7.4,WNW,57,N,W,15,31,75,50,1006.6,1003.1,7,2,12.8,21.4,0,7.4,1
24,24-01-2009,Portland,12.6,18.3,7.4,5.6,11.6,W,57,WSW,WSW,28,28,60,48,1008.8,1013.6,6,0,15.3,17.3,1,0,0
25,25-01-2009,Portland,6.5,20.4,0,5.2,13.3,W,39,N,W,7,24,78,54,1018.5,1018.9,4,2,13.8,19.6,0,0,0
