,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-01-2009,PearceRAAF,18.8,38.4,0,0,13.1,E,50,ESE,SE,22,13,46,20,1010.4,1007.2,0,0,23.1,35.6,0,0,0
2,02-01-2009,PearceRAAF,22,39.1,0,0,13.2,E,52,NW,SW,4,31,38,23,1008.3,1007.4,0,0,27.1,36,0,0,0
3,03-01-2009,PearceRAAF,15.9,35.6,0,0,12.7,0,0,S,SSW,13,28,58,29,1012.1,1010.2,0,0,24,34.8,0,0,0
4,04-01-2009,PearceRAAF,0,37,0,0,13.3,SE,43,SE,ESE,24,20,45,19,1016.6,1012.6,0,0,22.7,35.2,0,0,0
5,05-01-2009,PearceRAAF,21.8,38.6,0,0,13.2,E,59,ESE,SSE,15,15,35,15,1014.1,1010.1,0,0,26.8,37.3,0,0,0
6,06-01-2009,PearceRAAF,19.9,38,0,0,13.2,SSW,43,SE,SSE,24,20,50,20,1013.5,1009.1,0,0,24.9,37.1,0,0,0
7,07-01-2009,PearceRAAF,18.8,36.6,0,0,13.2,E,69,E,ESE,26,22,49,23,1013.8,1010.5,0,0,23.2,34.3,0,0,0
8,08-01-2009,PearceRAAF,19.6,38.1,0,0,13.2,SE,44,ESE,S,19,26,49,22,1014.1,1010.7,0,0,23.9,36.6,0,0,0
9,09-01-2009,PearceRAAF,19.4,38.3,0,0,13.3,0,0,SE,SSW,11,22,49,23,1015,1010.8,0,0,24.1,37.3,0,0,0
10,10-01-2009,PearceRAAF,0,37.4,0,0,13.1,SSE,50,SE,SSW,17,30,41,22,1012.7,1009.7,0,0,26,35.9,0,0,0
11,11-01-2009,PearceRAAF,19.8,40.6,0,0,13.1,E,61,ENE,WSW,31,13,31,12,1008.6,1004.9,0,0,26.6,39,0,0,0
12,12-01-2009,PearceRAAF,13.3,28.8,0,0,11.3,SSW,59,SSW,SW,11,31,64,49,1007.3,1008.6,0,5,22.1,27.2,0,0,0
13,13-01-2009,PearceRAAF,9.1,27.8,0,0,11.2,SSW,48,S,S,11,17,50,27,1017.4,1014.5,2,1,19.8,26.5,0,0,0
14,14-01-2009,PearceRAAF,12,32.7,0,0,10.2,W,41,SE,SE,15,13,49,19,1016.8,1013.7,3,3,21,31.9,0,0,0
15,15-01-2009,PearceRAAF,0,39.5,0,0,13.1,0,0,E,E,31,17,41,15,1015.4,1011.5,0,0,23.2,37.8,0,0,0
16,16-01-2009,PearceRAAF,23.2,43.7,0,0,13.1,0,0,NE,WNW,24,15,13,23,1010.5,1010,0,0,32.8,34.4,0,0,0
17,17-01-2009,PearceRAAF,17,33.7,0,0,7.2,SSE,44,S,SSW,11,19,59,28,1015.1,1013.4,0,0,21.9,33.2,0,0,0
18,18-01-2009,PearceRAAF,21.7,33.2,0,0,4.8,ESE,59,S,SSW,11,20,48,31,1015.3,1011.5,0,0,23.1,31.4,0,0,0
19,19-01-2009,PearceRAAF,16.8,30.8,0,0,13.2,ESE,72,S,SSE,20,13,60,35,1016,1013.3,1,1,20.2,28.4,0,0,0
20,20-01-2009,PearceRAAF,15.7,31.8,0,0,13,SW,46,ESE,SSW,24,20,50,24,1018,1014.2,0,1,18.8,31.2,0,0,0
21,21-01-2009,PearceRAAF,13.6,30.3,0,0,13,S,52,S,WSW,17,28,68,34,1015.7,1012.4,0,2,19.4,28.4,0,0,0
22,22-01-2009,PearceRAAF,17.1,30.6,0,0,11.1,SW,46,S,SW,17,22,75,41,1013.4,1011.1,8,0,20.4,29.7,0,0,0
23,23-01-2009,PearceRAAF,19.5,29.8,0,0,10.7,SW,39,SSE,SSW,17,24,71,45,1013.6,1011.1,8,1,21.3,28.8,0,0,0
24,24-01-2009,PearceRAAF,11.9,33.8,0,0,13,WSW,41,W,SW,7,24,73,32,1013.4,1010.6,0,0,19.6,33.2,0,0,0
25,25-01-2009,PearceRAAF,15.4,0,0,0,13.2,0,0,SE,ESE,15,13,26,16,1011.9,1007.6,0,0,25.8,38.7,0,0,0
26,26-01-2009,PearceRAAF,0,32.5,0,0,13,SW,39,WNW,SW,7,26,95,37,1007.9,1007.4,8,0,20.2,31.2,0,0,0
27,27-01-2009,PearceRAAF,16.1,35.2,0,0,12.6,SW,43,E,ENE,20,9,57,33,1007.8,1003.6,2,6,23.2,33.8,0,0,0
28,28-01-2009,PearceRAAF,20.1,32.6,0,0,6.5,WSW,43,SE,SW,13,11,71,51,1003.4,1000.7,7,6,23.7,29.9,0,0,0
