,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-01-2009,Richmond,12,33.1,0,0,0,W,61,ENE,W,9,31,0,0,1005.5,1001,0,0,20,32.1,0,0,0
2,02-01-2009,Richmond,15.9,25.8,0,19,0,SE,50,ENE,SE,13,35,0,0,1012.6,1012.1,0,0,20,23.7,0,0,0
3,03-01-2009,Richmond,13.6,20.8,0,0,0,E,24,SSW,NNE,7,9,0,0,1021.9,1019.1,0,0,16.8,20,0,0,0
4,04-01-2009,Richmond,16.3,30.1,0,0,0,NE,33,ENE,NE,4,17,0,0,1018.7,1013.5,0,0,19.6,29.3,0,0,0
5,05-01-2009,Richmond,14.6,36.5,0,15.2,0,W,57,NNE,WSW,7,24,0,0,1013.1,1007.7,0,0,21.2,36.1,0,0,0
6,06-01-2009,Richmond,14,38.2,0,0,0,NNW,59,ESE,NE,6,11,0,0,1011.8,1006.1,0,0,22.5,38,0,0,0
7,07-01-2009,Richmond,15.6,38.2,0,0,0,W,48,NE,NW,9,19,0,0,1010,1004.2,0,0,22.2,35.8,0,0,0
8,08-01-2009,Richmond,19.4,21.4,0,0,0,SE,43,SSE,SE,11,19,0,0,1012.4,1013.4,0,0,20.2,18.3,0,1.4,1
9,09-01-2009,Richmond,14.2,21.2,1.4,24,0,E,37,SSW,E,17,13,0,0,1020.3,1018.5,0,0,16.9,19.9,1,0,0
10,10-01-2009,Richmond,11.3,25.1,0,0,0,NE,35,SSE,E,6,19,0,0,1017.1,1012.7,0,0,17.2,23.3,0,0,0
11,11-01-2009,Richmond,11.8,28.5,0,0,0,ESE,37,W,NE,2,17,0,0,1014.3,1009.8,0,0,19.4,27.8,0,3.4,1
12,12-01-2009,Richmond,15.4,28.3,3.4,13.4,0,ENE,50,W,ESE,4,30,0,0,1015.8,1014.8,0,0,17.8,26.4,1,0.2,0
