,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-01-2009,Sale,10.7,22.1,0,10,11.5,WSW,76,W,WSW,41,31,46,62,1001.7,1003.4,4,6,18.4,16.7,0,0,0
2,02-01-2009,Sale,8,18.9,0,0,11.7,W,50,W,WSW,30,33,61,36,1016.2,1017.3,3,6,12.5,16.7,0,0,0
3,03-01-2009,Sale,4.2,20,0,4,9.1,ESE,33,WNW,ESE,7,15,63,43,1020.9,1018,1,6,12.9,18.8,0,0,0
4,04-01-2009,Sale,6.7,24.3,0,5,10.5,ESE,33,SSW,E,6,19,70,47,1017,1013.4,3,5,16.4,23.2,0,0,0
5,05-01-2009,Sale,8.9,27.9,0,6.8,10.8,ENE,37,WNW,SE,11,24,79,52,1011.4,1008.9,6,1,15.9,25.5,0,0,0
6,06-01-2009,Sale,10.8,32.2,0,6.6,13.4,SE,44,W,SE,13,30,58,45,1010,1006.9,0,1,19.7,26.3,0,0,0
7,07-01-2009,Sale,15.3,20.2,0,7.8,0.5,W,30,SSW,SE,15,15,84,74,1008.6,1008.3,8,7,17.8,19.6,0,0,0
8,08-01-2009,Sale,11.4,20.4,0,2.8,9.5,SSW,43,W,SW,20,28,59,49,1016,1017.2,4,6,16.3,16.8,0,0,0
9,09-01-2009,Sale,4.7,21.1,0,4,12.8,E,43,NW,E,9,20,66,33,1021.6,1018.6,1,0,13.6,20.4,0,0,0
10,10-01-2009,Sale,10.6,26.3,0,8.2,9.8,S,44,NW,SSE,11,22,73,54,1012.8,1009.8,7,6,16.2,22.9,0,0,0
11,11-01-2009,Sale,11,22.5,0,6.6,5,SE,33,S,SE,11,13,73,61,1011.4,1009.7,7,7,19.3,21.4,0,0,0
12,12-01-2009,Sale,7.7,23.3,0,5,13.3,ESE,35,WNW,ESE,11,20,68,52,1018.4,1017.9,3,3,16.2,22.9,0,0,0
13,13-01-2009,Sale,11.9,34.7,0,5.8,12.5,ESE,37,ENE,SSE,6,15,74,27,1014.8,1010.1,1,1,18.4,33.1,0,0,0
14,14-01-2009,Sale,13.4,39.3,0,0,9.8,NW,56,E,SE,4,19,48,41,1006.3,1005.7,4,6,25.8,30.7,0,0,0
15,15-01-2009,Sale,15.1,25.7,0,10,7.3,W,54,WSW,W,31,26,65,36,1013,1012.7,7,7,16.8,23.1,0,0.4,0
16,16-01-2009,Sale,12.7,21.2,0.4,8.4,8.7,WSW,69,W,W,28,39,91,25,1014.8,1015.7,7,4,13,20.3,0,0.4,0
17,17-01-2009,Sale,9.3,22.4,0.4,7.4,10.3,SE,35,W,SE,15,24,60,40,1023.2,1021.8,7,1,14.1,20.7,0,0,0
18,18-01-2009,Sale,6.7,24.3,0,4.6,13.6,ESE,35,NW,ESE,9,24,72,46,1022.1,1018.9,0,0,13.8,22.7,0,0,0
19,19-01-2009,Sale,8.4,28.3,0,6.8,13.2,ESE,37,NNE,ESE,4,28,76,46,1014.6,1011.1,1,1,16.8,26.9,0,0,0
20,20-01-2009,Sale,12.5,39.7,0,7.6,11.8,WNW,57,NNE,W,7,35,53,11,1005.8,1002.5,1,4,22.8,39.3,0,0,0
21,21-01-2009,Sale,12,27.2,0,13.2,13.2,ESE,41,NNE,ESE,9,22,56,47,1010.6,1007.8,3,3,19.4,24.6,0,0,0
22,22-01-2009,Sale,13.8,33.3,0,7.8,5.5,NNW,70,N,NW,24,33,53,59,998.3,995,7,8,27,26.8,0,1.2,1
23,23-01-2009,Sale,15.2,24,1.2,6.6,11.8,E,43,SW,E,13,33,46,49,1008.2,1004.5,2,2,18,22.5,1,1.2,1
24,24-01-2009,Sale,13.2,23.7,1.2,8.6,10.9,WNW,76,WSW,WSW,37,39,69,35,1003.8,1009.9,7,3,18.5,22.7,1,0,0
25,25-01-2009,Sale,6.6,25,0,9,12.6,ESE,37,NNW,E,7,26,65,48,1018.2,1017.4,0,0,15.1,23,0,0,0
