,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-01-2009,SalmonGums,14.8,31.8,0.4,0,0,E,46,ESE,SE,28,20,62,28,0,0,0,0,18.2,30.1,0,0,0
2,02-01-2009,SalmonGums,14.7,37.6,0,0,0,NNE,43,NE,NNW,24,17,58,22,0,0,0,0,21.2,35.7,0,0,0
3,03-01-2009,SalmonGums,15.8,32,0,0,0,SSW,54,SSW,SSW,15,30,60,37,0,0,0,0,23.5,30.4,0,0,0
4,04-01-2009,SalmonGums,17,30.8,0,0,0,E,50,SE,ESE,24,22,66,29,0,0,0,0,19,28.7,0,0,0
5,05-01-2009,SalmonGums,11,35.9,0,0,0,SSE,41,NE,E,15,11,61,21,0,0,0,0,19.7,33.2,0,0,0
6,06-01-2009,SalmonGums,15.6,31.8,0,0,0,SSE,44,SE,ESE,19,19,67,32,0,0,0,0,20.3,30.4,0,0,0
7,07-01-2009,SalmonGums,16.2,30.9,0,0,0,ENE,46,ENE,E,28,24,68,33,0,0,0,0,19.2,28.7,0,0,0
8,08-01-2009,SalmonGums,15.9,34.3,0,0,0,ESE,44,ENE,E,24,22,60,30,0,0,0,0,20.7,31.9,0,0,0
9,09-01-2009,SalmonGums,15.1,34.5,0,0,0,SE,46,ENE,ENE,22,9,59,25,0,0,0,0,20.7,32.6,0,0,0
10,10-01-2009,SalmonGums,14.3,35.3,0,0,0,SSE,50,NE,SSE,15,11,52,23,0,0,0,0,21.1,34.2,0,0,0
11,11-01-2009,SalmonGums,10.2,38,0,0,0,NNW,39,NNE,WNW,19,19,47,19,0,0,0,0,23.1,35.7,0,0,0
12,12-01-2009,SalmonGums,23,42.5,0,0,0,NW,76,N,SSW,35,41,18,34,0,0,0,0,32,30.2,0,0.8,0
13,13-01-2009,SalmonGums,14.1,26.9,0.8,0,0,SSE,39,SSW,W,17,13,62,31,0,0,0,0,19.4,25.5,0,0,0
