,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-12-2008,Townsville,24.4,31.4,23.6,4.6,11.6,ENE,33,NE,ENE,11,26,72,74,1011.9,1008.9,5,4,30.1,30.1,1,0.6,0
2,02-12-2008,Townsville,25.9,31.7,0.6,7.6,11.3,ENE,37,E,ENE,19,28,72,70,1012.4,1008.9,2,2,29.7,30.4,0,2.4,1
3,03-12-2008,Townsville,26.1,32,2.4,11,12.5,ENE,33,ENE,NNE,20,9,59,44,1013.5,1010.4,2,1,29.4,31.2,1,0,0
4,04-12-2008,Townsville,23.9,31.2,0,8.6,12.6,NE,41,ENE,NE,11,26,63,62,1014.2,1011.9,2,1,29,30.5,0,0,0
5,05-12-2008,Townsville,24.2,32.3,0,9.8,12.2,ENE,39,ESE,ENE,20,26,65,65,1015.1,1012.3,3,2,29.8,30.7,0,1.4,1
6,06-12-2008,Townsville,26.2,31.8,1.4,10.4,10.8,ENE,35,NE,ENE,22,28,74,66,1013.2,1009.2,5,2,29.9,30.9,1,0,0
7,07-12-2008,Townsville,26.7,32.4,0,9,10.6,NNE,39,N,N,20,24,71,65,1010.6,1006.4,6,2,29.3,31.5,0,76.8,1
8,08-12-2008,Townsville,22.5,30.9,76.8,0,6,SSW,54,NE,ENE,2,13,93,70,1011,1006.3,7,3,24.4,30.4,1,3.8,1
9,09-12-2008,Townsville,23.8,32.2,3.8,6,9.4,ESE,59,E,ENE,17,28,76,71,1010.3,1006.3,4,4,29.2,30.8,1,0,0
10,10-12-2008,Townsville,27.5,31.5,0,6.2,11.4,ENE,39,ENE,ENE,20,28,72,73,1010.4,1007.2,2,4,30.2,30.7,0,0,0
11,11-12-2008,Townsville,27.3,31.6,0,9.4,11.5,NE,33,ENE,ENE,20,26,70,63,1010.8,1007.1,4,2,29.9,31,0,0,0
12,12-12-2008,Townsville,25.2,31.4,0,10,11.1,ENE,39,NE,ENE,15,22,61,57,1011,1008.1,4,1,29.8,30.3,0,0,0
13,13-12-2008,Townsville,26.2,32.2,0,8.6,9.2,N,33,N,N,17,20,71,61,1009.7,1005.9,7,5,29.5,31.7,0,0,0
14,14-12-2008,Townsville,27.5,34,0,7,7.8,WSW,80,NNW,N,13,15,74,66,1006.7,1002.2,7,2,29.9,33,0,21.2,1
15,15-12-2008,Townsville,23.4,33.8,21.2,8.4,10.6,ENE,28,SW,NE,17,17,36,42,1007.8,1004.8,7,5,30.7,32.3,1,0,0
