,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-12-2008,Tuggera0ng,13.1,24.2,0,0,0,WNW,61,NW,WNW,22,33,36,34,1005.6,1003.6,0,0,19.6,23.1,0,0,0
2,02-12-2008,Tuggera0ng,5.7,24.2,0,0,0,WNW,48,NNW,WNW,17,26,38,25,1008.8,1006.3,0,0,16.4,22.9,0,0,0
3,03-12-2008,Tuggera0ng,9.4,25.7,0,0,0,WNW,50,NNW,NW,11,24,35,26,1005.7,1005.9,0,0,19.4,24.6,0,0,0
4,04-12-2008,Tuggera0ng,11.6,24.8,0,0,0,NE,43,ENE,NE,17,17,59,32,1017.7,1014,0,0,16.3,23.6,0,0.4,0
5,05-12-2008,Tuggera0ng,14.6,29.1,0.4,0,0,WSW,35,E,WSW,6,11,91,47,1011.7,1007.7,0,0,15.5,25.6,0,0,0
6,06-12-2008,Tuggera0ng,13.8,28.8,0,0,0,NW,46,N,NW,11,24,48,21,1007.6,1004.8,0,0,20.8,27,0,0,0
7,07-12-2008,Tuggera0ng,16.5,26.4,0,0,0,WSW,56,W,W,15,24,38,12,1007,1005.2,0,0,20.8,26.2,0,0,0
8,08-12-2008,Tuggera0ng,12.2,26.4,0,0,0,NW,39,WNW,NW,11,20,55,16,1012.7,1008.1,0,0,16.2,25,0,0,0
9,09-12-2008,Tuggera0ng,10,28.1,0,0,0,W,41,NNE,WNW,6,19,69,14,1009.5,1004.6,0,0,17.1,26,0,0.4,0
10,10-12-2008,Tuggera0ng,14.7,22.7,0.4,0,0,SE,39,NNW,ESE,6,19,53,48,1006.5,1007,0,0,19.2,22.7,0,0,0
11,11-12-2008,Tuggera0ng,13.9,23.2,0,0,0,ENE,41,E,ENE,9,20,68,49,1012.4,1011,0,0,15.9,21,0,4.8,1
12,12-12-2008,Tuggera0ng,12.5,20.7,4.8,0,0,ENE,46,E,E,6,11,92,90,1012.7,1006.7,0,0,12.9,14.4,1,55.6,1
13,13-12-2008,Tuggera0ng,12.8,22.1,55.6,0,0,WNW,67,NW,WNW,33,37,61,65,992.8,992.6,0,0,20.5,17.9,1,0,0
14,14-12-2008,Tuggera0ng,12.7,20,0,0,0,WSW,44,WSW,W,24,26,52,41,996.2,996.8,0,0,15.4,19,0,0,0
15,15-12-2008,Tuggera0ng,10.7,23.2,0,0,0,WNW,41,SSE,NNE,20,13,48,39,1006.5,1005.6,0,0,14.9,22.1,0,0,0
16,16-12-2008,Tuggera0ng,7.5,24.6,0,0,0,NW,39,NW,WNW,9,19,55,34,1011.2,1008.6,0,0,14.9,24.5,0,0,0
17,17-12-2008,Tuggera0ng,10.2,24.8,0,0,0,NW,37,NW,S,4,11,54,83,1010.5,1008.7,0,0,19.1,17.1,0,8,1
18,18-12-2008,Tuggera0ng,13,24.1,8,0,0,W,46,WNW,W,13,26,72,39,1003.8,1000.5,0,0,17.5,22.9,1,0.6,0
19,19-12-2008,Tuggera0ng,8.2,20.8,0.6,0,0,SSE,46,S,SE,9,20,46,35,1005.2,1006.3,0,0,15.1,19.4,0,0,0
20,20-12-2008,Tuggera0ng,8,21.4,0,0,0,SSE,41,SSW,NNE,13,13,57,36,1018.3,1016.2,0,0,11.8,20.9,0,0,0
21,21-12-2008,Tuggera0ng,9.6,25,0,0,0,E,33,E,SSE,7,11,56,30,1020.1,1015.8,0,0,14.8,23.5,0,0,0
22,22-12-2008,Tuggera0ng,11.1,29.3,0,0,0,W,37,E,WNW,9,22,61,33,1016.2,1011.2,0,0,16.5,27.1,0,1.8,1
23,23-12-2008,Tuggera0ng,16.3,25.7,1.8,0,0,SSE,37,NE,N,9,19,79,53,1010.3,1007.8,0,0,19.1,24,1,8.8,1
24,24-12-2008,Tuggera0ng,14.4,19.8,8.8,0,0,NE,26,N,NE,4,15,76,69,1012.6,1010.9,0,0,16.1,18.7,1,0,0
25,25-12-2008,Tuggera0ng,15.4,29,0,0,0,ENE,31,WSW,NW,7,17,71,28,1013.3,1010.3,0,0,18.1,27.4,0,0,0
26,26-12-2008,Tuggera0ng,14.1,30.9,0,0,0,W,35,0,WNW,0,17,78,22,1012.6,1008.9,0,0,18,30.3,0,0,0
27,27-12-2008,Tuggera0ng,14.7,27.3,0,0,0,W,59,WNW,ENE,2,7,61,64,1008.4,1005.1,0,0,22.3,22.9,0,24.8,1
28,28-12-2008,Tuggera0ng,14.1,29.4,24.8,0,0,W,44,N,WNW,17,28,81,38,1006.2,1002.1,0,0,19.7,28,1,0,0
29,29-12-2008,Tuggera0ng,11.7,26.5,0,0,0,WNW,56,SSE,WNW,2,26,53,35,1003.7,1001.1,0,0,19.3,26.2,0,0,0
30,30-12-2008,Tuggera0ng,11.5,21.1,0,0,0,W,50,NNW,NW,20,20,55,49,1001.6,1001.6,0,0,18.3,18.2,0,0,0
31,31-12-2008,Tuggera0ng,13.2,23.4,0,0,0,WNW,48,NW,WNW,17,28,41,32,1001.7,1001.7,0,0,17.5,22.5,0,0,0
32,01-01-2009,Tuggera0ng,12,26.5,0,0,0,WNW,65,WNW,WNW,22,31,41,29,1002.3,1000.6,0,0,20.2,25.6,0,0,0
33,02-01-2009,Tuggera0ng,11,25.2,0,0,0,E,43,WNW,NNE,4,19,39,18,1009.7,1009,0,0,16.1,24.2,0,0,0
34,03-01-2009,Tuggera0ng,9.9,26,0,0,0,ENE,35,ENE,NNE,13,13,60,35,1019,1014.8,0,0,14,23.1,0,0,0
35,04-01-2009,Tuggera0ng,10.9,30.8,0,0,0,NW,31,SE,WNW,9,15,64,35,1015.9,1011.9,0,0,18.5,29.4,0,0,0
36,05-01-2009,Tuggera0ng,13.3,32.3,0,0,0,WNW,39,NNW,W,6,26,58,17,1012.3,1009.2,0,0,22.2,30.9,0,0,0
37,06-01-2009,Tuggera0ng,10.6,35,0,0,0,WNW,48,0,W,0,26,37,12,1011.6,1008,0,0,21.5,33.8,0,0,0
38,07-01-2009,Tuggera0ng,11.9,36.6,0,0,0,NW,52,SSE,WNW,2,22,34,16,1008.8,1003.4,0,0,22.7,35.3,0,1.2,1
39,08-01-2009,Tuggera0ng,15.1,28.3,1.2,0,0,ESE,46,NE,E,13,26,72,41,1010.8,1007.6,0,0,18.5,27,1,0,0
40,09-01-2009,Tuggera0ng,11.7,22.4,0,0,0,ENE,37,SE,N,15,15,61,35,1018.6,1015.1,0,0,13.6,20.8,0,0,0
