,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-03-2013,Uluru,19.7,30,0.8,0,0,ESE,48,E,E,30,24,76,54,1010.6,1007.5,0,0,21.7,28.4,0,0,0
2,02-03-2013,Uluru,21.6,33.1,0,0,0,E,33,E,N,22,11,44,33,1010.5,1006.5,0,0,24.6,31.3,0,0,0
3,03-03-2013,Uluru,21.3,36.1,0,0,0,E,33,ENE,SSE,24,13,39,27,1006.9,1002.7,0,0,27.6,34.5,0,0,0
4,04-03-2013,Uluru,22.9,37.7,0,0,0,ENE,39,E,SSE,28,13,35,22,1006,1002.1,0,0,28.7,35.4,0,0,0
5,05-03-2013,Uluru,24,39,0,0,0,S,39,E,S,20,19,33,21,1006.9,1003.5,0,0,29.9,37.3,0,0,0
6,06-03-2013,Uluru,24.3,39.7,0,0,0,S,46,E,SW,22,15,36,17,1007.9,1003.9,0,0,30.4,38.1,0,0,0
7,07-03-2013,Uluru,26.6,38.6,0,0,0,WSW,33,E,SSE,24,15,41,21,1008.3,1004.5,0,0,29.9,37.1,0,0,0
8,08-03-2013,Uluru,26.9,39.4,0,0,0,SSE,54,E,SSW,13,15,39,24,1008.9,1005.1,0,0,30.9,36.8,0,0,0
9,09-03-2013,Uluru,24.4,40,0,0,0,SE,54,ESE,NE,22,9,54,24,1010.4,1005.9,0,0,28.6,37.5,0,0,0
10,10-03-2013,Uluru,25.4,39.8,0,0,0,NE,37,E,SE,24,13,40,20,1010.7,1006.8,0,0,31,37.7,0,0,0
11,11-03-2013,Uluru,23.9,39.5,0,0,0,ENE,41,NNE,E,17,19,26,13,1010.3,1006,0,0,31.9,37.9,0,0,0
12,12-03-2013,Uluru,20.6,40.9,0,0,0,S,57,ENE,NE,15,7,22,13,1009.2,1005.3,0,0,32,39.7,0,0,0
13,13-03-2013,Uluru,22.3,37.3,0,0,0,S,52,SSE,SSW,28,19,56,24,1012.6,1008.5,0,0,24.1,34.6,0,0,0
14,14-03-2013,Uluru,19.8,33.8,0,0,0,ESE,39,ESE,SE,26,11,34,24,1013.8,1009.4,0,0,23.3,32.7,0,0,0
15,15-03-2013,Uluru,17.2,35.9,0,0,0,E,35,E,E,24,7,29,13,1015.3,1010.7,0,0,23.5,34.6,0,0,0
16,16-03-2013,Uluru,19.1,37.9,0,0,0,SE,43,E,ESE,22,22,20,10,1016.1,1012.7,0,0,27.9,36.9,0,0,0
17,17-03-2013,Uluru,21.9,35.4,0,0,0,ESE,46,ESE,SE,33,17,33,20,1018.6,1013.7,0,0,26.4,34.2,0,0,0
18,18-03-2013,Uluru,19.6,34.9,0,0,0,E,35,E,SSE,26,17,32,20,1016.3,1012,0,0,24.4,33.5,0,0,0
19,19-03-2013,Uluru,20,36.6,0,0,0,E,30,E,ENE,22,19,17,15,1015.6,1011.5,0,0,25.5,34.9,0,0,0
20,20-03-2013,Uluru,19.7,39.6,0,0,0,WSW,30,ENE,NNW,9,11,17,13,1014.8,1009.3,0,0,27.5,37.8,0,0,0
21,21-03-2013,Uluru,25.9,39.8,0,0,0,SSW,39,S,SW,22,19,25,17,1010.4,1006.7,0,0,33.2,38.7,0,0,0
22,22-03-2013,Uluru,22.9,37.8,0,0,0,S,35,SE,SSE,20,17,39,17,1013.9,1010.2,0,0,25.5,36.1,0,0.4,0
23,23-03-2013,Uluru,22.4,34.6,0.4,0,0,E,46,E,ESE,28,22,41,25,1014.9,1012.2,0,0,24.5,32.6,0,0,0
24,24-03-2013,Uluru,22.5,37.2,0,0,0,SSW,61,E,NNE,26,20,28,21,1015.6,1011.1,0,0,28.1,35.4,0,0,0
25,25-03-2013,Uluru,21.3,32.5,0,0,0,SSW,48,SE,NNE,9,19,55,54,1015.3,1011.1,0,0,23.5,26.9,0,0,0
26,26-03-2013,Uluru,19.6,38,0,0,0,N,46,ENE,N,26,26,20,22,1010.1,1004.5,0,0,28.4,36.7,0,0,0
27,27-03-2013,Uluru,25.4,34.7,0,0,0,SW,50,S,SW,15,17,61,39,1009.7,1006.6,0,0,26.8,32.7,0,40.2,1
28,28-03-2013,Uluru,16.9,20,40.2,0,0,ESE,46,SE,ESE,22,30,98,71,1018.1,1016.6,0,0,17.7,19.5,1,0.4,0
29,29-03-2013,Uluru,14.9,26.5,0.4,0,0,E,50,E,ESE,31,22,58,49,1017,1012.9,0,0,17.5,24.7,0,7.2,1
30,31-03-2013,Uluru,14.4,23.4,0,0,0,ESE,43,0,ESE,0,24,0,56,0,1015.2,0,0,0,21.7,0,0,0
31,01-04-2013,Uluru,13.6,27.3,0,0,0,E,44,ESE,ESE,24,26,61,36,1020.1,1016.6,0,0,19.3,25.8,0,0,0
32,02-04-2013,Uluru,16,27.7,0,0,0,E,44,E,SE,28,20,46,29,1019.9,1016.3,0,0,20.9,25.9,0,0,0
33,03-04-2013,Uluru,15,29.9,0,0,0,E,46,ESE,ENE,26,22,43,23,1019.1,1014.8,0,0,21.5,28.8,0,0,0
34,04-04-2013,Uluru,15.4,29.7,0,0,0,ENE,44,E,ESE,22,13,40,23,1019.6,1015.5,0,0,21.9,28.2,0,0,0
35,05-04-2013,Uluru,19.3,29.1,0,0,0,ENE,35,E,NE,24,6,36,28,1019.4,1015.8,0,0,23,28.8,0,0,0
36,06-04-2013,Uluru,14.5,31.5,0,0,0,NE,39,SE,E,6,24,51,25,1018.7,1014,0,0,22.4,30.2,0,0,0
37,07-04-2013,Uluru,17.4,32.7,0,0,0,E,39,ESE,E,17,15,33,18,1017.9,1014.3,0,0,24.4,31.2,0,0,0
38,08-04-2013,Uluru,17.2,32.3,0,0,0,E,43,E,SE,20,24,35,18,1019.7,1015.8,0,0,24.3,32,0,0,0
39,09-04-2013,Uluru,17.1,31.7,0,0,0,E,46,E,ESE,19,26,31,16,1020.7,1016.3,0,0,24.2,30.3,0,0,0
