,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-01-2009,Walpole,15.7,24.5,0,0,0,ESE,44,E,SE,17,28,73,66,1016.5,1014,0,0,18,23.1,0,0,0
2,02-01-2009,Walpole,13.2,25.7,0,0,0,S,35,E,S,11,13,78,71,1013.4,1011.1,0,0,20,24.7,0,0,0
3,03-01-2009,Walpole,17.1,21.8,0,0,0,SE,33,SSE,SSE,13,15,73,66,1017,1016.6,0,0,19.1,20.7,0,0,0
4,04-01-2009,Walpole,12.9,24.9,0,0,0,SE,31,ESE,S,4,13,74,53,1019.7,1017.4,0,0,19.8,23.9,0,0,0
5,05-01-2009,Walpole,14.3,24.5,0,0,0,SW,31,NE,SSE,9,15,71,75,1017.5,1015.5,0,0,20.4,22.4,0,0,0
6,06-01-2009,Walpole,17.4,23.3,0,0,0,SE,39,SE,SSE,9,19,73,90,1018,1017.3,0,0,20.5,18.6,0,0,0
7,07-01-2009,Walpole,12.5,23.4,0,0,0,SE,46,E,SE,15,30,68,55,1020.4,1017,0,0,17.3,22.2,0,0,0
8,08-01-2009,Walpole,13.1,25.6,0,0,0,SE,41,E,SE,19,24,75,64,1020.1,1017.6,0,0,18.9,24.3,0,0,0
9,09-01-2009,Walpole,13.9,25.6,0,0,0,SSE,35,E,SSE,15,17,70,67,1019.6,1017,0,0,19.9,22.8,0,0,0
10,10-01-2009,Walpole,13.3,24.1,0,0,0,SSE,30,W,SSE,4,17,98,66,1016.1,1015.1,0,0,15.9,23.2,0,0,0
11,11-01-2009,Walpole,13.2,31.3,0,0,0,SSE,30,N,SSE,9,15,84,64,1011.1,1007.1,0,0,19.3,25.9,0,0,0
12,12-01-2009,Walpole,16,22.6,0,0,0,W,41,NW,WSW,15,17,85,92,1005.5,1008.3,0,0,21.1,16.7,0,1,0
13,13-01-2009,Walpole,13,22.2,1,0,0,WSW,33,SW,WSW,17,15,60,51,1016.3,1016.3,0,0,18.5,21,0,0,0
14,14-01-2009,Walpole,11.6,23.5,0,0,0,SSW,33,WNW,S,9,15,74,49,1019.6,1019.3,0,0,17,22.3,0,0,0
15,15-01-2009,Walpole,13.1,29.4,0,0,0,SE,37,ENE,SE,17,24,75,50,1021.3,1017.2,0,0,18.9,27.3,0,0,0
16,16-01-2009,Walpole,16.9,38.4,0,0,0,NW,41,NE,SSE,9,13,51,46,1013.3,1009.6,0,0,25.5,30.9,0,0,0
17,17-01-2009,Walpole,17.2,23.8,0,0,0,SSE,33,SE,SSE,20,17,73,71,1018.3,1017.7,0,0,21.1,22.8,0,0,0
18,18-01-2009,Walpole,16.4,19.9,0,0,0,SE,44,SE,SE,19,30,78,70,1019.4,1018.9,0,0,17.4,18.1,0,0,0
19,19-01-2009,Walpole,13.5,21,0,0,0,SE,41,SE,S,17,15,61,50,1021.3,1019.3,0,0,16.7,20,0,0,0
20,20-01-2009,Walpole,12.3,23.1,0,0,0,WSW,33,NW,WNW,15,20,75,70,1018.5,1017.4,0,0,17.5,20.5,0,0,0
21,21-01-2009,Walpole,16.3,24.8,0,0,0,W,57,NW,W,22,30,70,61,1012.9,1011,0,0,19.2,23.6,0,4.2,1
22,22-01-2009,Walpole,15.7,23.5,4.2,0,0,WNW,46,WSW,WNW,13,28,78,63,1011.7,1010.6,0,0,19.4,22.4,1,1,0
23,23-01-2009,Walpole,17.7,23.6,1,0,0,WSW,41,W,SW,17,19,91,55,1011.4,1012.1,0,0,18.4,23,0,0.2,0
24,24-01-2009,Walpole,11.7,26.5,0.2,0,0,WNW,28,NW,WSW,15,17,73,39,1014.8,1013.7,0,0,17.7,25.1,0,0,0
25,25-01-2009,Walpole,17.2,25.6,0,0,0,SE,33,SE,SSE,11,20,72,64,1016.4,1013.4,0,0,20.4,24.4,0,0,0
26,26-01-2009,Walpole,15.4,25.2,0,0,0,SSW,30,0,SSW,0,17,96,74,1008.6,1008.7,0,0,18.7,21.7,0,0,0
27,27-01-2009,Walpole,14.4,20.9,0,0,0,SE,37,ESE,SSE,13,20,83,61,1012.9,1011.1,0,0,17.4,20.2,0,0,0
28,28-01-2009,Walpole,16.5,20.1,0,0,0,SSE,33,SE,SE,15,17,70,73,1008.4,1007.2,0,0,18.2,18.3,0,0,0
29,29-01-2009,Walpole,15.6,22.7,0,0,0,ESE,28,SSE,SSE,11,15,58,49,1010.2,1010.7,0,0,20,21.9,0,0,0
30,30-01-2009,Walpole,12.2,20.9,0,0,0,SSE,35,ESE,SE,9,19,69,82,1013.8,1012.7,0,0,19.9,19.4,0,0,0
31,31-01-2009,Walpole,16.9,31.3,0,0,0,NE,33,E,SE,13,19,77,53,1012.4,1009,0,0,20.7,29.4,0,0,0
32,01-02-2009,Walpole,18.9,29.1,0,0,0,SE,31,N,SSE,7,15,83,65,1013.7,1012.1,0,0,22.4,27.7,0,0,0
33,02-02-2009,Walpole,18.7,29.9,0,0,0,SSW,28,E,S,11,15,93,60,1011.9,1009,0,0,20.8,29,0,0.6,0
34,04-02-2009,Walpole,15.5,22.8,0,0,0,S,35,SSW,S,24,20,77,55,1015.5,1015.8,0,0,18.1,21.1,0,0,0
35,05-02-2009,Walpole,13.3,22.7,0,0,0,SSW,31,S,SSE,4,15,79,53,1014.8,1012,0,0,16.8,21.2,0,0,0
36,06-02-2009,Walpole,13.7,21,0,0,0,WSW,50,WNW,WSW,9,22,70,51,1009.7,1008,0,0,16.8,20.3,0,1.8,1
37,07-02-2009,Walpole,13.7,20.6,1.8,0,0,W,37,SW,S,13,15,61,45,1014.3,1016.7,0,0,16.6,18.5,1,0,0
38,08-02-2009,Walpole,13.9,22.6,0,0,0,SE,43,E,SE,11,24,64,51,1022.8,1021.4,0,0,17.6,21.5,0,0,0
39,09-02-2009,Walpole,15.6,25.6,0,0,0,SE,52,ENE,SE,20,33,62,57,1023.5,1020.8,0,0,19.6,24.3,0,0,0
40,10-02-2009,Walpole,15.2,30.8,0,0,0,ENE,46,NE,ENE,22,20,62,32,1021.5,1017.4,0,0,18.9,28.2,0,0,0
41,11-02-2009,Walpole,16.9,35.4,0,0,0,NE,43,NE,SSW,20,20,57,33,1014,1010.3,0,0,21.2,32.7,0,0,0
