,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-01-2009,Watsonia,13.9,20,0,5.6,8.8,SSW,61,W,SW,19,31,56,48,1004.8,1006,7,7,16.9,18,0,0.8,0
2,02-01-2009,Watsonia,8.9,18.4,0.8,7.2,12.9,SW,52,SW,SW,13,24,75,41,1017.8,1019,6,7,11.7,17.1,0,0,0
3,03-01-2009,Watsonia,5.2,21.4,0,6.2,10.5,SSW,28,SE,SW,6,17,59,44,1020.7,1017.4,1,7,12.9,19.9,0,0,0
4,04-01-2009,Watsonia,7.7,30.5,0,6.4,12.5,SSW,30,NNE,SSW,6,13,73,16,1016.4,1012.7,5,4,13.7,29,0,0,0
5,05-01-2009,Watsonia,10.6,29.9,0,7.4,12.3,SW,33,ENE,SW,4,13,66,27,1011.5,1010.1,6,2,18.8,28.4,0,0,0
6,06-01-2009,Watsonia,12.8,31.7,0,7.2,13.7,SSW,48,E,SSW,6,24,53,36,1010.4,1007.4,0,1,20.9,29.7,0,0,0
7,07-01-2009,Watsonia,16.5,22.6,0,8.8,4.4,SSW,39,SSE,SW,7,24,89,58,1009.7,1009.9,8,7,16.9,21.9,0,0,0
8,08-01-2009,Watsonia,11.4,19.3,0,5.2,11.5,S,52,SW,SSW,19,30,59,42,1017.2,1018.6,2,5,15.1,17.7,0,0,0
9,09-01-2009,Watsonia,9.6,22.4,0,5.6,12.6,SW,43,SSE,SSE,13,15,52,36,1021.4,1017.3,2,7,15,21.4,0,0,0
10,10-01-2009,Watsonia,10.8,25.6,0,7.2,10.2,SW,39,NW,SSW,4,22,69,46,1013.6,1009.6,7,1,15.2,23.2,0,0,0
11,11-01-2009,Watsonia,13.4,25.4,0,6.6,10.2,SW,41,E,SSW,6,17,85,51,1011.8,1009.4,8,1,15.1,23.8,0,0,0
12,12-01-2009,Watsonia,10,26,0,5.2,7.8,S,30,E,S,2,13,75,44,1018.4,1017.1,8,5,14.7,23.9,0,0,0
13,13-01-2009,Watsonia,11.4,37.2,0,6.8,13.5,NNW,43,NE,NNW,9,17,62,15,1013.9,1009.8,0,0,20.5,34.4,0,0,0
14,14-01-2009,Watsonia,20.5,34.5,0,18.6,12.3,N,46,N,WSW,28,17,12,44,1006.9,1008.5,3,4,33.3,27.5,0,0,0
15,15-01-2009,Watsonia,14.4,24.4,0,9.2,10.1,SW,44,WSW,SW,17,20,63,41,1015.6,1014.4,7,5,16.6,22.3,0,0,0
16,16-01-2009,Watsonia,14,20.3,0,8.6,9.9,SSW,57,WSW,SSW,24,26,51,39,1017,1018.4,7,6,17,20,0,0,0
17,17-01-2009,Watsonia,12.6,21.5,0,8.8,12.1,SW,44,S,SW,15,22,53,43,1022.7,1022.2,4,2,15.1,19.6,0,0,0
18,18-01-2009,Watsonia,8.2,27.8,0,6.6,13,SW,30,ESE,SW,6,19,64,39,1021.7,1018.5,1,0,14.9,24.7,0,0,0
19,19-01-2009,Watsonia,10.9,37.2,0,7.8,13.4,N,37,NE,NNW,11,17,51,10,1013.8,1008.9,1,1,20.8,35.9,0,0,0
20,20-01-2009,Watsonia,16.6,40.6,0,15.8,12,W,65,NE,SSW,4,33,37,26,1005.5,1005.3,1,3,25.8,29,0,0,0
21,21-01-2009,Watsonia,14.5,29.7,0,14.4,10.9,S,33,E,SSW,6,20,66,37,1010.3,1006.1,7,6,18.9,28.5,0,0,0
22,22-01-2009,Watsonia,15.7,35.8,0,8,7.6,W,76,N,WNW,31,31,58,14,998.3,993.9,8,7,27.8,35.3,0,0,0
23,23-01-2009,Watsonia,11.9,32.1,0,15.6,12.3,NW,56,W,N,6,22,46,13,1008.2,1002.5,3,2,17.4,30.7,0,0,0
24,24-01-2009,Watsonia,16.1,23.6,0,12.8,11.4,W,50,WSW,SSW,20,22,56,37,1007.7,1011.2,6,2,18,22.8,0,0,0
25,25-01-2009,Watsonia,9.3,30.6,0,8,13.3,SW,39,NE,S,4,9,62,18,1018.3,1016.3,0,0,15.1,28.6,0,0,0
26,26-01-2009,Watsonia,11.6,27.2,0,7.2,12.7,SSW,39,S,SW,11,20,72,47,1022,1019.9,7,1,16.7,26,0,0,0
27,27-01-2009,Watsonia,14.4,37.5,0,7.6,12.3,N,39,NE,SW,7,19,74,14,1017.6,1013.4,1,1,18.8,36,0,0,0
28,28-01-2009,Watsonia,15.9,42.9,0,12,13.4,N,31,ENE,NNW,9,11,36,10,1012.2,1009.2,0,1,24.9,41.5,0,0,0
29,29-01-2009,Watsonia,24.9,44.7,0,20.4,10.3,SSW,57,N,NW,24,19,18,12,1011.4,1009.2,1,4,36.4,43.1,0,0,0
30,30-01-2009,Watsonia,22.7,44,0,18.6,12.8,N,44,ENE,NNW,9,15,42,10,1011.9,1008.9,1,1,29.2,42.7,0,0,0
31,31-01-2009,Watsonia,19.5,33.2,0,14.2,10.8,S,43,ENE,SW,6,19,57,52,1013.4,1013.5,1,6,25.2,29.2,0,0,0
