,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-01-2009,Witchcliffe,11.9,28.3,0,0,0,SSE,39,ESE,SSE,19,22,66,49,1015,1012,0,0,17.5,27.7,0,0,0
2,02-01-2009,Witchcliffe,15.1,28.8,0,0,0,SSE,50,SE,SSE,11,22,65,48,1012.4,1011.4,0,0,21,27.9,0,0,0
3,03-01-2009,Witchcliffe,16.6,24.7,0,0,0,SE,44,SE,S,24,22,66,54,1016.9,1016.2,0,0,20.3,23.7,0,0,0
4,04-01-2009,Witchcliffe,13.9,29.9,0,0,0,SSE,44,SE,SSE,13,20,62,44,1020.1,1016.9,0,0,19.8,29.1,0,0,0
5,05-01-2009,Witchcliffe,15.6,30.1,0,0,0,SSE,44,SE,SSE,13,24,71,56,1017.5,1015.5,0,0,20.7,26.5,0,0,0
6,06-01-2009,Witchcliffe,17.5,26.1,0,0,0,SSE,54,SE,SSE,20,24,66,58,1018.1,1016.2,0,0,19.9,23.8,0,0,0
7,07-01-2009,Witchcliffe,13.9,27.2,0,0,0,SSE,50,ESE,SSE,20,28,63,45,1019,1015.9,0,0,18.1,25.2,0,0,0
8,08-01-2009,Witchcliffe,13,27.3,0,0,0,SSE,48,SE,SE,17,22,69,50,1018.9,1017,0,0,17.6,26.2,0,0,0
9,09-01-2009,Witchcliffe,14.6,28.7,0,0,0,S,39,SE,S,13,24,74,47,1019.2,1016.9,0,0,18.7,26.9,0,0,0
10,10-01-2009,Witchcliffe,15.6,26.7,0,0,0,S,37,SSE,SE,13,19,99,50,1016.3,1015,0,0,17.6,26,0,0.2,0
11,11-01-2009,Witchcliffe,12.7,32.6,0.2,0,0,WNW,31,NNE,WNW,9,19,68,30,1011.3,1008.4,0,0,21.8,30.5,0,0.6,0
12,12-01-2009,Witchcliffe,14.4,21.8,0.6,0,0,WSW,43,WNW,SW,9,22,93,72,1007.5,1010.1,0,0,20.1,19.8,0,2,1
13,13-01-2009,Witchcliffe,9.4,23.3,2,0,0,SW,31,SSW,SW,17,17,51,47,1017.8,1017.4,0,0,18.9,22.3,1,0,0
14,14-01-2009,Witchcliffe,10.4,24.6,0,0,0,SSE,43,SE,SE,9,15,64,41,1020.4,1019,0,0,18,23.4,0,0,0
15,15-01-2009,Witchcliffe,12.8,32.2,0,0,0,0,0,E,SSE,17,19,70,33,1019.5,1015.9,0,0,18.6,31.8,0,0,0
16,16-01-2009,Witchcliffe,0,37.8,0,0,0,WNW,39,E,W,7,22,50,27,1012.6,1011.5,0,0,25.5,32.4,0,0,0
