,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,03-12-2008,Wollongong,0,27.4,0,0,0,SSE,70,0,E,0,19,0,63,1007.8,1005.8,0,0,0,23.9,0,0.4,0
2,04-12-2008,Wollongong,15.7,21.5,0.4,0,0,NE,39,E,ENE,20,22,67,65,1020.3,1018.9,8,7,18.1,19.5,0,0,0
3,05-12-2008,Wollongong,18,27.7,0,0,0,ENE,41,NNE,NNE,22,19,79,75,1014.3,1009.2,8,0,20.1,23.4,0,0.2,0
4,06-12-2008,Wollongong,18.6,32.5,0.2,0,0,SSE,44,SE,SSE,6,22,57,81,1006,1004.4,0,4,27.6,21.2,0,0.6,0
5,07-12-2008,Wollongong,17.9,23.6,0.6,0,0,SSE,50,WNW,SSE,28,28,67,80,1007.2,1008.9,8,7,21,20.4,0,11.2,1
6,08-12-2008,Wollongong,15.3,21.9,11.2,0,0,ENE,54,S,ENE,11,37,79,77,1014.8,1011.9,8,8,18.7,20.4,1,3,1
7,09-12-2008,Wollongong,17.1,23.4,3,0,0,NE,57,ENE,NE,15,44,74,78,1010.2,1005.8,0,4,21.4,22.9,1,0,0
8,10-12-2008,Wollongong,17.8,20.2,0,0,0,SSW,59,SSE,SSE,44,37,77,80,1008.6,1010.8,8,7,20.1,18.5,0,15,1
9,11-12-2008,Wollongong,15.6,18.5,15,0,0,E,33,E,E,13,20,93,72,1014.9,1015.9,8,8,16.5,17.9,1,3.4,1
10,12-12-2008,Wollongong,16.3,22.8,3.4,0,0,NNE,67,NNE,NE,28,24,89,94,1015.5,1010,8,8,17.1,17.5,1,48.4,1
11,13-12-2008,Wollongong,16.1,31.6,48.4,0,0,NW,91,N,W,22,30,84,30,994,990.7,0,0,22.5,31.2,1,0,0
12,14-12-2008,Wollongong,18.2,25,0,0,0,WNW,85,WSW,W,30,33,43,33,996.1,996.8,0,3,20.5,24.6,0,0.6,0
13,15-12-2008,Wollongong,15.4,20.7,0.6,0,0,SSW,56,SSW,SSE,31,28,47,54,1007,1007.6,0,0,18.9,19.7,0,0,0
14,16-12-2008,Wollongong,14.8,23.1,0,0,0,ENE,39,NE,NNE,9,17,62,67,1012.5,1010.1,0,0,20.6,22.1,0,0,0
15,17-12-2008,Wollongong,16.3,23.1,0,0,0,S,50,ENE,SE,9,9,74,80,1011.7,1008.7,0,7,20.6,20.9,0,0,0
16,18-12-2008,Wollongong,17.3,29,0,0,0,NW,67,E,NE,13,9,73,79,1004.5,1000.3,0,0,21.4,22.5,0,0.8,0
17,19-12-2008,Wollongong,14.8,23.8,0.8,0,0,S,56,SSE,SSE,9,33,52,61,1005.6,1008.2,0,6,20.7,18.9,0,0,0
18,20-12-2008,Wollongong,14.1,19,0,0,0,SSE,56,S,SSE,26,30,58,73,1019.7,1020,3,8,17.1,17.1,0,0,0
19,21-12-2008,Wollongong,12.8,21.6,0,0,0,ENE,35,ESE,ENE,6,22,59,61,1022.1,1020.2,0,0,19,21.1,0,0,0
20,22-12-2008,Wollongong,16.4,22.9,0,0,0,NE,63,N,NE,31,52,63,67,1018.4,1014.2,0,0,20.6,21.7,0,0,0
21,23-12-2008,Wollongong,18.5,24.4,0,0,0,SSE,52,NNE,ESE,19,9,74,82,1008.5,1008.4,2,4,21.9,22.4,0,1.2,1
22,24-12-2008,Wollongong,17.8,19.5,1.2,0,0,S,43,SSE,SSE,20,11,78,92,1013.8,1013.2,8,8,18.9,17.8,1,0.2,0
23,25-12-2008,Wollongong,17.4,22.9,0.2,0,0,NE,24,NNE,NE,13,19,85,68,1014.5,1013.6,8,0,19,22.4,0,0,0
24,26-12-2008,Wollongong,18.2,24.7,0,0,0,NE,48,NNE,NE,19,31,80,80,1013.4,1010.6,4,0,21.8,23.6,0,0,0
25,27-12-2008,Wollongong,20.3,24.1,0,0,0,W,54,NE,NNE,24,24,87,87,1008.2,1004.3,0,0,21.9,21.7,0,6,1
26,28-12-2008,Wollongong,19.4,24.6,6,0,0,NE,48,ENE,N,13,11,77,77,1005.7,1003.1,0,1,23,23.8,1,0,0
27,29-12-2008,Wollongong,19.4,22.2,0,0,0,SE,44,SE,SE,31,19,76,78,1004.4,1004.4,1,8,20.6,20.7,0,2.6,1
28,30-12-2008,Wollongong,16.4,27.7,2.6,0,0,NW,41,N,ENE,9,28,78,77,1004.1,999.6,7,6,19.9,22.4,1,0,0
29,31-12-2008,Wollongong,18.4,29,0,0,0,W,44,SW,E,11,17,30,57,1002.4,1002.4,0,0,23.8,23.9,0,0,0
30,01-01-2009,Wollongong,17.2,32.3,0,0,0,SSE,70,ENE,NE,9,33,56,51,1004.3,1000.3,0,0,23.3,25.8,0,0,0
31,02-01-2009,Wollongong,17.7,19.9,0,0,0,SE,54,SE,SE,17,24,67,67,1013.2,1015.5,8,8,19.3,17.4,0,0,0
32,03-01-2009,Wollongong,16.5,22.1,0,0,0,NNE,33,E,ENE,15,17,60,61,1021.9,1019.9,8,8,18,19.7,0,0,0
33,04-01-2009,Wollongong,18,23.8,0,0,0,NE,63,NNE,NE,28,48,65,72,1018.2,1015,0,0,22,22.6,0,0,0
34,05-01-2009,Wollongong,18.9,25.4,0,0,0,NNE,37,NNE,NE,22,22,76,71,1012.1,1008.3,0,0,21.6,25,0,0,0
35,06-01-2009,Wollongong,17.5,24.6,0,0,0,N,28,NNE,NE,13,17,82,75,1011.2,1008.2,0,0,22,24.1,0,0,0
36,07-01-2009,Wollongong,19.5,32.8,0,0,0,SE,52,E,SE,13,7,77,85,1009.3,1005.5,0,3,22.3,22,0,0.4,0
37,08-01-2009,Wollongong,18.9,20.1,0.4,0,0,SSW,52,SSE,SSE,26,35,86,82,1013,1014.5,8,8,19.1,18.4,0,0.6,0
38,09-01-2009,Wollongong,16,21.3,0.6,0,0,SE,46,SSE,SE,26,17,69,53,1020.9,1019.7,8,1,17.4,20.6,0,0.6,0
