,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-01-2009,Woomera,16.8,29.7,0,0,0,S,54,S,S,28,26,56,18,1010.9,1010.1,0,0,18.9,27.5,0,0,0
2,02-01-2009,Woomera,13.3,28.6,0,0,0,SE,52,SSE,SSE,30,19,46,13,1016.4,1014.4,0,0,16.5,26.3,0,0,0
3,03-01-2009,Woomera,14.9,32,0,0,12.8,SE,31,E,ESE,22,11,14,6,1015.7,1012.3,0,0,22.4,29.9,0,0,0
4,04-01-2009,Woomera,16.3,36.3,0,11.8,14.2,E,43,E,ESE,20,20,12,2,1012.2,1010.5,0,1,25.7,34.9,0,0,0
5,05-01-2009,Woomera,20,38.4,0,16,0,WNW,41,SE,NW,22,11,29,5,1012.5,1009.5,0,0,25.6,37.1,0,0,0
6,06-01-2009,Woomera,20.2,40.2,0,15.6,13.9,SSE,54,SE,S,17,19,35,8,1010.6,1006.8,0,2,25.9,39.6,0,0,0
7,07-01-2009,Woomera,19.7,33.3,0,19.8,13.3,S,57,S,S,24,26,61,20,1011.1,1010.4,0,0,22.3,31.2,0,0,0
8,08-01-2009,Woomera,15.2,31.4,0,19.4,13.4,SSE,56,SE,SSE,35,24,45,14,1015.8,1014.2,0,1,18.4,28.3,0,0,0
9,09-01-2009,Woomera,15.8,33.3,0,15.6,13.5,SSE,41,ESE,SSW,28,9,28,11,1014.5,1011.3,1,0,21.5,30.9,0,0,0
10,10-01-2009,Woomera,17.5,33.9,0,13.6,0,SW,43,SSE,SW,15,9,38,11,1009.8,1007.3,0,1,22.1,32.5,0,0,0
11,11-01-2009,Woomera,18.1,33.3,0,14.2,13.2,SSE,44,S,SSW,24,7,42,15,1009.9,1008.2,1,0,21.9,31.7,0,0,0
12,12-01-2009,Woomera,17.4,38.4,0,16.2,13.3,SSE,43,ESE,N,28,11,33,8,1013.1,1010.6,0,0,23.7,35.6,0,0,0
13,13-01-2009,Woomera,22,42.2,0,16.4,13.2,N,48,NNE,W,24,15,9,4,1010.4,1008.1,0,0,31.8,40.5,0,0,0
14,14-01-2009,Woomera,23.6,40.7,0,18.8,13.2,SSE,50,S,W,28,17,43,13,1010.3,1008.9,0,0,25.8,38.4,0,0,0
15,15-01-2009,Woomera,19,31.5,0,18,11.4,SSE,52,SSE,SSE,35,31,58,21,1016.4,1015.2,3,1,20.3,29.7,0,0,0
16,16-01-2009,Woomera,15.7,32.7,0,16,13.3,SSE,52,SSE,ESE,28,24,51,12,1019.7,1018,0,0,18.7,30.5,0,0,0
17,17-01-2009,Woomera,16.6,33.5,0,17.6,13.3,SSE,44,SE,S,31,17,31,8,1019.3,1016.3,1,0,21.2,31.4,0,0,0
18,18-01-2009,Woomera,18.5,35.6,0,15.2,13.5,SE,31,ENE,W,20,7,12,8,1016.3,1013,0,1,25.8,34,0,0,0
19,19-01-2009,Woomera,20.5,39.6,0,13.2,13.5,WSW,37,NW,WSW,9,7,11,6,1011.9,1008.3,1,1,29.1,38,0,0,0
20,20-01-2009,Woomera,23.4,40.2,0,16.4,12.1,NW,50,NNW,W,26,13,26,10,1009.7,1007,0,2,29.5,39.2,0,0,0
