,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-01-2009,Williamtown,15.2,34,0,11.6,9.2,NW,41,WNW,SE,17,20,62,36,1005.2,1001.5,3,6,23.7,28.7,0,0,0
2,02-01-2009,Williamtown,18.3,24.5,0,8.8,9.4,S,54,S,E,13,30,61,57,1012.1,1011.7,3,2,21.6,23.4,0,0.4,0
3,03-01-2009,Williamtown,16.8,23.5,0.4,8.4,0.4,NE,37,ESE,ENE,19,22,60,58,1020.4,1018.4,7,7,20.1,21.7,0,0,0
4,04-01-2009,Williamtown,17.5,27.8,0,5,12,E,50,NE,ENE,19,35,60,51,1018.4,1014.6,1,1,22.7,26.4,0,0,0
5,05-01-2009,Williamtown,14.8,36,0,8.6,11.9,ENE,37,NNW,ENE,15,26,67,39,1013.6,1008.7,2,3,22.5,33.8,0,0,0
6,06-01-2009,Williamtown,18.6,33.7,0,9.2,13,ENE,39,SSE,ESE,13,19,68,49,1011.1,1008.1,1,1,26.3,29.2,0,0,0
7,07-01-2009,Williamtown,19.7,35.5,0,11,5.3,NE,30,S,ENE,15,19,81,40,1009.9,1005.8,4,7,24.1,33.8,0,0,0
8,08-01-2009,Williamtown,20.7,23.8,0,7.8,0.1,SSW,48,SSW,S,35,24,83,79,1010.3,1011.9,7,8,21.7,21.8,0,1.4,1
9,09-01-2009,Williamtown,17.6,23,1.4,8.6,1.9,S,43,SE,SSE,24,28,61,51,1018.7,1017.6,8,6,19.1,21.9,1,0,0
10,10-01-2009,Williamtown,13.3,24.9,0,4.2,10.1,ESE,44,NE,ESE,7,30,57,46,1016.2,1012.8,6,6,20.6,22.9,0,0,0
11,11-01-2009,Williamtown,12.9,27.9,0,9.2,11.7,0,0,NE,ENE,17,28,56,45,1013.3,1010.3,2,2,22.7,26.6,0,0,0
12,12-01-2009,Williamtown,16.1,28.2,0,8.4,13,SE,43,ENE,ESE,6,31,64,61,1014.4,1014.5,1,2,24,27.1,0,0,0
13,13-01-2009,Williamtown,16.6,28.2,0,9.6,13.1,ENE,46,NE,ENE,17,26,62,50,1018.8,1016.1,1,1,23.7,27.7,0,0,0
14,14-01-2009,Williamtown,16.7,35.2,0,9,13.1,ENE,39,N,ENE,13,26,67,33,1015.2,1011.5,0,1,24.3,34.5,0,0,0
15,15-01-2009,Williamtown,17.1,42,0,10.4,11.8,SSW,57,N,WNW,11,22,51,15,1010.4,1006.2,0,2,26.8,40.5,0,6,1
16,16-01-2009,Williamtown,19.3,26.2,6,13.8,7.2,SE,46,S,SE,17,22,80,64,1012.1,1009.1,7,1,20.2,25.1,1,0,0
17,17-01-2009,Williamtown,18.8,23.2,0,9,2.8,SSE,48,SSE,SSE,30,30,57,52,1019,1019.4,7,6,19.8,20.9,0,0,0
18,18-01-2009,Williamtown,11.5,24.2,0,6,11.8,E,39,W,ESE,7,28,69,45,1021.5,1019.6,1,1,19.7,23.1,0,0,0
19,19-01-2009,Williamtown,11.1,30,0,7.6,10,ENE,35,NE,ENE,13,22,59,46,1019,1014.8,7,7,21.2,26.3,0,0,0
20,20-01-2009,Williamtown,14,34.9,0,7.6,13.3,NE,44,N,NE,9,24,59,34,1014.4,1010.3,2,2,24.5,33.3,0,0,0
21,21-01-2009,Williamtown,20.5,38.8,0,10.8,7.2,N,50,NW,NE,11,19,69,40,1012.6,1008.3,5,6,25.4,33.6,0,0,0
22,22-01-2009,Williamtown,21.8,28.8,0,11.2,1.3,NW,41,N,NNW,11,13,67,84,1010.1,1008,7,7,25.7,24.9,0,1,0
23,23-01-2009,Williamtown,20.1,35.7,1,4.4,12.2,NE,41,WNW,E,13,22,62,44,1010.1,1007,1,5,27.9,33.3,0,0,0
24,24-01-2009,Williamtown,22.8,40.8,0,9,9.5,SSW,61,NNW,WNW,11,24,60,32,1006,1003.5,2,6,29.6,38.9,0,10.4,1
25,25-01-2009,Williamtown,18.6,23.5,10.4,12.8,0,S,57,S,SSE,22,26,72,68,1018.2,1017.6,7,7,21,22.1,1,1,0
26,26-01-2009,Williamtown,19.1,24.5,1,2.8,0,S,37,W,S,11,22,99,87,1018.3,1017.8,7,7,20.1,24,0,0.4,0
27,27-01-2009,Williamtown,20,27.9,0.4,1.8,10.4,ESE,37,ENE,ESE,13,24,86,69,1019.9,1018.5,7,3,24.1,27.3,0,0,0
28,28-01-2009,Williamtown,16.7,30.3,0,7.6,12.3,ENE,39,NNE,ESE,15,28,82,52,1018.1,1015.3,3,1,23.6,29.5,0,0,0
29,29-01-2009,Williamtown,17.6,31.7,0,7.4,12.8,ENE,50,NNE,ENE,15,37,74,60,1017.7,1015.6,3,0,25.5,29,0,0,0
30,30-01-2009,Williamtown,16.7,32.3,0,9.8,12.9,NE,52,NNE,E,17,33,57,53,1017.9,1014.5,0,1,25,30.3,0,0,0
31,31-01-2009,Williamtown,19,33.7,0,9.8,12,ENE,54,N,ENE,13,28,61,44,1017.2,1013.6,1,3,26.1,32.2,0,0,0
32,01-02-2009,Williamtown,18.1,31.7,0,9.6,12.5,ENE,54,NE,E,9,33,66,47,1014.8,1013,0,1,25.2,30,0,0,0
33,02-02-2009,Williamtown,18.5,30.9,0,9.4,12.1,ENE,48,NNE,ENE,13,28,74,53,1015.3,1011.7,3,6,25.3,28.7,0,0,0
