,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1,01-01-2009,WaggaWagga,9.9,28.4,0,9.8,13.5,WNW,59,NW,W,7,35,37,24,1005.2,1003.5,1,1,20.8,27,0,0,0
2,02-01-2009,WaggaWagga,8.9,25.3,0,14.8,13.7,WSW,48,SW,SW,22,28,37,10,1013.9,1012.9,1,0,14.7,23.2,0,0,0
3,03-01-2009,WaggaWagga,11,30.7,0,9.8,13.7,NE,39,ENE,NNE,26,9,43,18,1017.8,1014.3,0,1,18.9,28,0,0,0
4,04-01-2009,WaggaWagga,14.7,35.2,0,9.4,12.1,N,39,NE,NW,17,13,46,19,1014.8,1010.6,1,4,24.7,33.7,0,0,0
5,05-01-2009,WaggaWagga,11.8,36.5,0,11.6,13.4,W,43,NNE,SW,7,19,23,5,1013.1,1009.8,1,1,23.6,34.6,0,0,0
6,06-01-2009,WaggaWagga,12.5,39.1,0,13,13.6,SW,72,NE,W,6,30,23,3,1011.4,1007.4,0,0,25.8,37.4,0,0,0
7,07-01-2009,WaggaWagga,15.6,41.8,0,15.2,9.3,NNW,59,ESE,W,13,30,17,5,1006.4,1002.5,1,6,29.1,39.4,0,0,0
8,08-01-2009,WaggaWagga,14.5,30.4,0,17,12.9,W,54,WSW,WSW,19,28,38,8,1011.9,1010.9,1,0,18.9,28.5,0,0,0
9,09-01-2009,WaggaWagga,14.8,28.7,0,14,12.8,ENE,78,E,NE,30,20,46,18,1016.9,1013.5,0,4,19,27.2,0,0,0
10,10-01-2009,WaggaWagga,15.9,29.7,0,11.4,12.7,ENE,61,ENE,ENE,26,20,43,31,1013.4,1008.8,2,6,19.3,27.1,0,0,0
11,11-01-2009,WaggaWagga,18.1,31.3,0,10.4,10.1,E,33,ENE,NNW,20,9,51,38,1010.1,1007.3,1,7,22.6,29.1,0,0,0
12,12-01-2009,WaggaWagga,16.5,35.4,0,7.2,13.5,NE,39,ENE,WSW,9,15,53,17,1013.9,1011.8,1,1,24.9,33.9,0,0,0
13,13-01-2009,WaggaWagga,19.4,38.3,0,12.8,13.4,ENE,41,ENE,N,15,13,50,16,1016.1,1011.2,0,1,25,36.1,0,0,0
14,14-01-2009,WaggaWagga,20.9,42,0,12,13.4,WNW,50,N,W,13,24,29,10,1012.3,1008.1,1,1,31,41,0,0,0
15,15-01-2009,WaggaWagga,25.6,36.9,0,16.8,10.1,W,48,W,WSW,26,26,19,7,1008.6,1009,1,4,32.4,35,0,0,0
16,16-01-2009,WaggaWagga,14,28.4,0,15.4,13.3,SW,61,WSW,SW,24,37,35,15,1014.6,1012.3,1,1,20,26.7,0,0,0
17,17-01-2009,WaggaWagga,10.8,29.3,0,15,13.4,E,35,ESE,NE,15,11,27,14,1018.4,1016.6,1,1,18.1,26.6,0,0,0
18,18-01-2009,WaggaWagga,13.7,31.8,0,10.2,12.9,E,30,ENE,NNE,17,9,45,14,1020.1,1016.7,1,1,18.9,29.9,0,0,0
19,19-01-2009,WaggaWagga,15.9,36.4,0,9.6,12.5,W,46,ENE,W,13,20,36,10,1016,1011,5,1,25.2,35,0,0,0
20,20-01-2009,WaggaWagga,21.8,40,0,10.2,8.4,W,115,N,NNE,17,20,41,19,1011,1006,0,6,30.9,37.2,0,15.8,1
